"Average of sea level at some stations by Station and Year"

"Station";"2013";"2014";"2015";"2016"
"Co To";198;199;206;209
"Cua Ong";248;249;249;252
"Bai Chay";216;213;213;215
"Hon Dau";200;199;199;202
"Bach Long Vi";153;153;150;154
"Sam Son";195;194;193;193
"Hon Ngu";157;168;168;172
"Con Co";82;77;77;81
"Son Tra";101;98;95;102
"Quy Nhon";162;157;153;158
"Phu Quy";224;222;219;221
"Truong Sa";242;241;237;239
"Vung Tau";272;266;264;270
"Con Dao";256;254;252;...
"Tho Chu";89;85;81;...
"Phu Quoc";115;94;94;...
