"Land use (As of 31 Februarry 2015)(*) by Type of land and Use"

"Type of land";"Total area";"Land was allocated for users";"Land was allocated for managers"
"WHOLE COUNTRY";33123.1;26802.1;6321.0
"Agricultural land";27302.2;24446.2;2856.0
"Agricultural production land";11530.2;11435.5;94.7
"Annual crop land";6998.0;6948.7;49.3
"Paddy land";4143.1;4125.0;18.1
"Weed land for animal raising";..;..;..
"Other annual crop land";2854.9;2823.7;31.2
"Perennial crop land";4532.2;4486.8;45.4
"Forestry land";14923.6;12170.4;2753.2
"Productive forest";7460.3;6083.5;1376.8
"Protective forest";5287.4;4000.7;1286.7
"Specially used forest";2175.9;2086.2;89.7
"Water surface land for fishing";797.7;790.3;7.4
"Land for salt production";17.5;17.1;0.4
"Others";33.2;32.9;0.3
"Non-agricultural land";3697.8;1829.7;1868.1
"Homestead land";698.6;696.7;1.9
"Urban";152.2;151.4;0.8
"Rural";546.4;545.3;1.1
"Specially used land";1839.2;906.6;932.6
"Land used by offices and non-profit agencies";92.8;90.8;2.0
"Security and defence land";297.9;297.8;0.1
"Land for non-agricultural production and business";261.5;259.4;2.1
"Public land";1187.0;258.6;928.4
"Religious land";18.3;18.3;..
"Cemetery";103.6;93.2;10.4
"Rivers and specialized water surfaces";987.0;64.1;922.9
"Others'";51.1;50.8;0.3
"Unused land";2123.0;526.1;1596.9
"Unused flat land";222.5;24.8;197.7
"Unused mountainous land";1719.4;492.1;1227.3
"Non tree rocky mountain";181.1;9.2;171.9
