"Land use by province (As of 31 December 2015)(*) by Cities, provincies and Land use"

"Cities, provincies";"Total area";"Agricultural production land";"Forestry land";"Specially used land";"Homestead land"
"WHOLE COUNTRY";33123.1;11530.2;14923.6;1839.2;698.6
"Red River Delta";2126.0;799.0;494.4;313.8;143.9
"Ha Noi";335.9;157.1;22.3;62.8;40.1
"Vinh Phuc";123.5;55.8;32.3;17.1;7.7
"Bac Ninh";82.3;43.8;0.6;16.9;10.2
"Quang Ninh";617.8;61.5;373.0;43.2;8.1
"Hai Duong";166.8;86.4;9.4;31.1;16.6
"Hai Phong";156.2;51.0;19.3;27.5;14.4
"Hung Yen";93.0;54.1;..;17.2;9.6
"Thai Binh";158.7;93.7;0.9;29.4;13.4
"Ha Nam";86.2;42.6;5.3;18.6;6.1
"Nam Dinh";166.9;91.4;2.9;30.0;11.1
"Ninh Binh";138.7;61.6;28.4;20.0;6.6
"Northern midlands and mountain areas";9520.0;2116.7;5419.5;322.0;110.5
"Ha Giang";792.9;198.6;436.7;16.5;7.1
"Cao Bang";670.0;109.4;508.8;17.0;5.5
"Bac Kan";486.0;44.2;413.6;11.4;2.6
"Tuyen Quang";586.8;95.1;441.8;23.0;6.1
"Lao Cai";636.4;135.4;348.7;18.3;5.0
"Yen Bai";688.8;119.3;466.8;16.7;5.3
"Thai Nguyen";352.7;112.8;186.0;22.0;11.9
"Lang Son";831.0;111.5;574.6;28.3;8.1
"Bac Giang";389.5;148.2;146.0;47.3;18.3
"Phu Tho";353.4;118.5;170.7;25.6;10.5
"Dien Bien";954.1;370.8;353.8;9.6;4.9
"Lai Chau";907.0;108.4;412.6;14.5;3.0
"Son La";1412.3;355.8;662.9;41.1;8.3
"Hoa Binh";459.1;88.7;296.5;30.7;13.9
"North Central area and Central coastal area";9564.9;2205.5;5741.5;546.2;182.2
"Thanh Hoa";1111.5;249.9;647.7;72.3;54.7
"Nghe An";1648.1;303.9;1148.5;74.9;22.6
"Ha Tinh";599.1;152.2;322.0;41.7;11.8
"Quang Binh";800.0;90.0;628.2;29.9;6.1
"Quang Tri";462.2;120.4;257.3;17.7;4.3
"Thua Thien Hue";490.2;69.2;324.2;33.0;9.4
"Da Nang";128.5;6.8;63.0;43.2;7.3
"Quang Nam";1057.5;220.1;667.6;43.1;20.3
"Quang Ngai";515.2;151.5;299.2;22.5;11.1
"Bình Dinh";606.6;138.9;369.2;34.6;9.2
"Phu Yen";502.3;156.2;254.0;29.7;5.3
"Khanh Hoa";513.8;100.9;227.3;35.1;6.4
"Ninh Thuan";335.5;83.7;189.1;19.3;4.9
"Binh Thuan";794.4;361.8;344.2;49.2;8.8
"Central Highlands";5450.8;2420.6;2494.1;191.9;59.0
"Kon Tum";967.4;264.5;611.1;31.5;8.2
"Gia Lai";1551.1;801.4;588.0;52.4;18.1
"Dak Lak";1303.1;627.0;520.0;53.1;14.9
"Dak Nong";650.9;360.0;235.3;26.7;5.4
"Lam Dong";978.3;367.7;539.7;28.2;12.4
"South East";2351.9;1363.4;502.1;221.0;76.3
"Binh Phuoc";687.7;446.3;172.9;46.7;6.1
"Tay Ninh";404.1;271.2;72.0;23.6;9.0
"Binh Duong";269.5;195.2;10.5;36.1;9.4
"Dong Nai";586.4;278.4;180.2;47.8;17.4
"Ba Ria - Vung Tau";198.1;105.5;33.8;32.8;7.0
"TP.Ho Chi Minh";206.1;66.8;32.7;34.0;27.4
"Mekong River Delta";4081.6;2623.9;248.6;244.2;126.7
"Long An";449.5;318.7;29.4;38.3;26.2
"Tien Giang";251.0;179.8;3.2;13.8;9.9
"Ben Tre";239.5;140.7;6.9;10.8;8.1
"Tra Vinh";235.8;147.9;7.7;13.7;4.8
"Vinh Long";152.6;119.9;..;10.1;5.9
"Dong Thap";338.4;260.6;11.1;25.7;14.5
"An Giang";353.7;282.8;11.6;24.2;13.5
"Kien Giang";634.9;463.1;71.1;29.6;13.8
"Can Tho";143.9;112.3;..;11.7;8.4
"Hau Giang";162.1;136.0;4.3;11.2;4.4
"Soc Trang";331.2;213.4;9.8;20.5;5.7
"Bac Lieu";266.9;101.8;3.7;10.8;5.0
"Ca Mau";522.1;146.9;89.8;23.8;6.5
"NEC.";27.9;1.1;23.4;0.1;..
