"Number of administrative units as of 31 December by province by Cities, provincies, Years and Administrative units"

"Cities, provincies";"2009 Cities under provinces";"2009 Urban districts";"2009 Towns";"2009 Rural districts";"2009 Wards";"2009 Town districts";"2009 Communes";"2010 Cities under provinces";"2010 Urban districts";"2010 Towns";"2010 Rural districts";"2010 Wards";"2010 Town districts";"2010 Communes";"2011 Cities under provinces";"2011 Urban districts";"2011 Towns";"2011 Rural districts";"2011 Wards";"2011 Town districts";"2011 Communes";"2012 Cities under provinces";"2012 Urban districts";"2012 Towns";"2012 Rural districts";"2012 Wards";"2012 Town districts";"2012 Communes";"2013 Cities under provinces";"2013 Urban districts";"2013 Towns";"2013 Rural districts";"2013 Wards";"2013 Town districts";"2013 Communes";"2014 Cities under provinces";"2014 Urban districts";"2014 Towns";"2014 Rural districts";"2014 Wards";"2014 Town districts";"2014 Communes";"2015 Cities under provinces";"2015 Urban districts";"2015 Towns";"2015 Rural districts";"2015 Wards";"2015 Town districts";"2015 Communes";"2016 Cities under provinces";"2016 Urban districts";"2016 Towns";"2016 Rural districts";"2016 Wards";"2016 Town districts";"2016 Communes"
"WHOLE COUNTRY";48;47;46;556;1366;625;9121;54;47;43;553;1403;624;9084;55;47;48;548;1448;623;9050;59;47;45;549;1457;620;9068;64;49;47;548;1545;615;9001;64;49;47;548;1545;615;9001;67;49;51;546;1581;603;8978;67;49;51;546;1581;603;8978
"Red River Delta";10;17;6;96;373;124;1955;10;17;7;95;387;121;1944;11;17;7;94;400;120;1932;12;17;6;94;400;120;1931;12;19;6;93;433;119;1906;12;19;6;93;433;119;1906;13;19;6;92;440;117;1901;13;19;6;92;440;117;1901
"Ha Noi";..;10;1;18;154;22;401;..;10;1;18;154;22;401;..;10;1;18;154;22;401;..;10;1;18;154;22;401;..;12;1;17;177;21;386;..;12;1;17;177;21;386;..;12;1;17;177;21;386;..;12;1;17;177;21;386
"Vinh Phuc";1;..;1;7;13;12;112;1;..;1;7;13;12;112;1;..;1;7;13;12;112;1;..;1;7;13;12;112;1;..;1;7;13;12;112;1;..;1;7;13;12;112;1;..;1;7;13;12;112;1;..;1;7;13;12;112
"Bac Ninh";1;..;1;6;17;6;103;1;..;1;6;20;6;100;1;..;1;6;20;6;100;1;..;1;6;20;6;100;1;..;1;6;23;6;97;1;..;1;6;23;6;97;1;..;1;6;23;6;97;1;..;1;6;23;6;97
"Quang Ninh";2;..;2;10;45;11;130;2;..;2;10;48;11;127;3;..;2;9;61;10;115;4;..;1;9;61;10;115;4;..;1;9;61;10;115;4;..;1;9;61;10;115;4;..;2;8;67;8;111;4;..;2;8;67;8;111
"Hai Duong";1;..;..;11;15;16;234;1;..;1;10;23;13;229;1;..;1;10;23;13;229;1;..;1;10;23;13;229;1;..;1;10;25;13;227;1;..;1;10;25;13;227;1;..;1;10;25;13;227;1;..;1;10;25;13;227
"Hai Phong";..;7;..;8;70;10;143;..;7;..;8;70;10;143;..;7;..;8;70;10;143;..;7;..;8;70;10;143;..;7;..;8;70;10;143;..;7;..;8;70;10;143;..;7;..;8;70;10;143;..;7;..;8;70;10;143
"Hung Yen";1;..;..;9;7;9;145;1;..;..;9;7;9;145;1;..;..;9;7;9;145;1;..;..;9;7;9;145;1;..;..;9;7;9;145;1;..;..;9;7;9;145;1;..;..;9;7;9;145;1;..;..;9;7;9;145
"Thai Binh";1;..;..;7;10;9;267;1;..;..;7;10;9;267;1;..;..;7;10;9;267;1;..;..;7;10;9;267;1;..;..;7;10;9;267;1;..;..;7;10;9;267;1;..;..;7;10;9;267;1;..;..;7;10;9;267
