"Planted  area of sweet potatoes by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
" WHOLE COUNTRY";304.6;302.7;267.2;253.5;270.2;254.3;244.6;237.7;219.6;201.8;185.3;181.2;175.5;162.6;146.6;150.8;146.8;141.7;135.0;130.1;127.5;119.0
"Red River Delta";79.9;84.3;73.7;66.7;74.4;70.9;61.1;59.9;54.5;46.7;42.8;39.0;36.5;32.3;22.8;27.0;26.1;24.1;22.4;21.3;21.2;18.7
"Ha Noi";4.8;4.7;3.7;4.0;4.0;3.8;4.1;3.9;3.1;2.9;2.1;1.7;1.4;7.5;4.2;5.9;5.1;4.4;4.0;3.4;4.0;3.5
"Ha Tay";12.9;15.5;12.4;11.7;12.4;11.2;9.7;10.8;10.0;9.0;8.4;7.0;6.6;..;..;..;..;..;..;..;..;..
"Vinh Phuc";8.0;7.9;7.5;7.6;7.9;7.8;8.0;6.3;6.0;5.1;4.6;4.3;3.7;3.2;1.8;3.1;2.8;2.6;2.5;2.7;2.6;2.2
"Bac Ninh";4.6;4.3;3.2;2.2;3.1;3.3;2.1;2.8;2.7;2.2;2.3;1.9;1.5;1.2;0.6;1.0;0.9;0.8;0.6;0.6;0.5;0.3
"Quang Ninh";7.9;7.7;7.4;6.8;6.7;6.7;6.6;6.4;6.3;6.2;5.5;5.3;4.9;4.6;4.3;4.5;4.5;4.2;4.0;4.0;3.9;3.8
"Hai Duong";7.2;8.7;7.5;5.9;7.8;7.7;5.4;6.0;4.7;3.7;3.0;2.7;2.1;1.5;1.3;1.2;1.2;1.0;0.9;0.9;0.8;0.7
"Hai Phong";5.0;4.8;4.5;3.7;4.2;4.1;3.5;3.5;3.0;2.7;2.4;2.1;1.9;1.7;1.5;1.4;1.5;1.3;1.4;1.0;0.9;0.8
"Hung Yen";3.2;3.9;3.4;2.8;3.7;3.7;1.9;2.2;2.0;1.3;1.4;1.5;1.5;1.4;0.7;0.7;0.8;0.7;0.7;0.6;0.5;0.5
"Thai Binh";9.7;10.5;9.5;8.6;9.9;8.9;7.4;6.4;5.4;4.2;4.4;4.3;5.1;4.4;3.5;3.6;3.8;4.0;3.2;3.5;3.5;3.2
"Ha Nam";4.2;4.5;3.8;3.5;3.8;3.4;2.8;2.6;2.4;2.1;1.7;1.4;1.2;0.8;0.5;0.5;0.7;0.8;0.8;0.7;0.6;0.6
"Nam Dinh";7.8;8.5;7.2;6.2;7.0;7.0;5.7;5.6;5.6;4.3;4.2;4.1;3.9;3.5;2.3;2.4;2.1;2.1;1.9;1.8;1.7;1.5
"Ninh Binh";4.6;3.3;3.6;3.7;3.9;3.3;3.9;3.4;3.3;3.0;2.8;2.7;2.7;2.5;2.1;2.7;2.7;2.2;2.4;2.1;2.2;1.6
"Northern midlands and mountain areas";51.6;51.6;45.7;45.7;50.6;49.0;52.2;52.7;50.7;47.5;43.3;44.7;44.2;41.4;38.1;38.9;37.3;34.7;34.9;33.4;33.3;31.3
"Ha Giang";0.7;1.2;1.4;1.4;1.4;1.2;1.4;1.3;1.3;1.3;1.3;1.2;1.3;1.5;1.6;1.4;1.6;1.6;1.5;1.7;2.1;1.9
"Cao Bang";2.9;2.9;2.4;2.3;2.2;2.1;2.1;2.0;1.9;1.8;1.9;1.6;1.8;1.7;1.6;1.6;1.5;1.5;1.5;1.5;1.5;1.4
"Bac Kan";0.3;0.2;0.3;0.5;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.6;0.6;0.5;0.6;0.5;0.5;0.5;0.5;0.5
"Tuyen Quang";1.8;2.3;1.8;2.6;4.9;2.4;4.3;3.5;4.2;4.7;3.8;3.6;4.4;4.5;3.9;4.3;3.8;2.9;3.6;3.5;3.8;3.2
