"Production of aquaculture by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Pre.2016"
" WHOLE COUNTRY";389069.0;423038.2;414593.8;425031.0;480767.0;589595.0;709891.0;844810.0;1003095.0;1202486.0;1478870.0;1693860.0;2124555.0;2465607.0;2589790.0;2728334.0;2933083.0;3115315.0;3215901.0;3412799.0;3532246.0;3640647.0
"Red River Delta";55628.0;64784.4;75976.6;88396.0;100157.0;112957.0;131950.0;166193.0;180666.0;215656.0;234327.0;266415.0;304285.0;322147.0;360795.0;393863.0;420973.0;456105.0;524801.0;542167.0;580915.0;614045.0
"Ha Noi";4985.0;5651.0;5696.0;6492.0;6917.0;7746.0;8722.0;8873.0;8975.0;9659.0;9816.0;10210.0;10802.0;34767.0;41484.0;56735.0;62131.0;67784.0;72823.0;79295.0;85772.0;88792.0
"Ha Tay";6450.0;7585.0;6460.0;7469.0;8480.0;8724.0;9760.0;12098.0;14432.0;17140.0;21639.0;23084.0;27960.0;..;..;..;..;..;..;..;..;..
"Vinh Phuc";3810.0;2504.0;2990.2;3338.0;3518.0;3907.0;4371.0;5325.0;6317.0;7662.0;8523.0;9218.0;10409.0;11818.0;12406.0;12406.0;16195.0;15890.0;16597.0;17190.0;17781.0;17684.0
"Bac Ninh";954.0;1615.0;4014.0;4910.0;5286.0;5544.0;7203.0;8403.0;10514.0;13065.0;16383.0;19388.0;22828.0;23266.0;26136.0;29074.0;31700.0;32626.0;33456.0;34097.0;34662.0;35174.0
"Quang Ninh";2248.0;2470.0;3826.2;2790.0;3168.0;4192.0;8407.0;17046.0;15196.0;20666.0;19165.0;19249.0;26171.0;25208.0;27508.0;28725.0;29615.0;28945.0;33142.0;38266.0;44290.0;48696.0
"Hai Duong";4352.0;6601.0;8231.4;9205.0;10458.0;11653.0;13050.0;16937.0;22002.0;25020.0;28258.0;32548.0;40123.0;46333.0;49558.0;51411.0;55554.0;60498.0;61124.0;61607.0;64859.0;67294.0
"Hai Phong";11589.0;13634.4;14280.8;15164.0;16145.0;19424.0;20617.0;28034.0;33437.0;34548.0;34977.0;38510.0;39942.0;42187.0;43442.0;40175.0;47070.0;49863.0;50840.0;51703.0;46966.0;49433.0
"Hung Yen";1415.0;2351.0;3103.0;3217.0;5248.0;5572.0;6283.0;7315.0;8147.0;9490.0;11236.0;13754.0;15549.0;17389.0;20291.0;23486.0;25360.0;28298.0;29653.0;30913.0;33815.0;36202.0
"Thai Binh";8747.0;8108.0;8709.0;14456.0;16050.0;19016.0;22329.0;24262.0;19770.0;29215.0;32988.0;39188.0;43790.0;52572.0;60925.0;68406.0;53562.0;66743.0;114364.0;107609.0;118472.0;126810.0
"Ha Nam";2666.0;2727.0;2922.0;4261.0;3643.0;4331.0;5790.0;7473.0;9407.0;10299.0;11584.0;12992.0;13933.0;11902.0;17296.0;18208.0;19608.0;20151.0;20793.0;21185.0;21778.0;21932.0
"Nam Dinh";6562.0;9723.0;12897.0;13497.0;16866.0;17627.0;20089.0;22609.0;22714.0;28074.0;28419.0;33571.0;37547.0;39682.0;42199.0;48937.0;53230.0;54037.0;59289.0;66390.0;76973.0;83196.0
"Ninh Binh";1850.0;1815.0;2847.0;3597.0;4378.0;5221.0;5329.0;7818.0;9755.0;10817.0;11339.0;14704.0;15232.0;17022.0;19550.0;16300.0;26948.0;31270.0;32720.0;33912.0;35547.0;38832.0
"Northern midlands and mountain areas";10906.0;12364.9;13644.4;15723.0;16908.0;19601.0;20953.0;25826.0;29487.0;32513.0;37006.0;42526.0;48850.0;50162.0;60148.0;65792.0;72936.0;81066.0;88924.0;95243.0;102762.0;109550.0
"Ha Giang";627.0;681.6;728.5;795.0;836.0;858.0;886.0;984.0;998.0;1045.0;1081.0;1145.0;1203.0;1271.0;1316.0;1341.0;1413.0;1552.0;1683.0;1729.0;1756.0;1802.0
"Cao Bang";85.0;90.7;79.5;134.0;191.0;197.0;201.0;208.0;234.0;247.0;252.0;263.0;289.0;289.0;274.0;265.0;278.0;297.0;323.0;319.0;328.0;331.0
"Bac Kan";195.0;266.0;228.0;242.0;45.0;266.0;215.0;289.0;369.0;378.0;430.0;524.0;648.0;698.0;772.0;834.0;842.0;827.0;860.0;876.0;890.0;902.0
"Tuyen Quang";957.0;1021.0;1048.0;1099.0;1198.0;1309.0;1283.0;1366.0;1508.0;1683.0;1884.0;2120.0;2485.0;2991.0;3122.0;3327.0;3423.0;3782.0;4886.0;5392.0;6051.0;6082.0
"Lao Cai";394.0;428.0;445.0;462.0;480.0;512.0;590.0;847.0;934.0;919.0;1153.0;1739.0;1656.0;1840.0;2791.0;3147.0;3300.0;3622.0;4404.0;4688.0;5162.0;5987.0
"Yen Bai";38.0;422.6;442.0;475.0;644.0;887.0;1202.0;1655.0;2136.0;2517.0;2847.0;3220.0;3543.0;3893.0;4275.0;4759.0;5163.0;5410.0;5711.0;5636.0;5639.0;5891.0
"Thai  Nguyen";1250.0;1259.0;1194.0;2785.0;2700.0;3030.0;2941.0;3282.0;3491.0;3539.0;3627.0;3737.0;4039.0;4166.0;4790.0;5714.0;6022.0;6724.0;7196.0;7620.0;8159.0;9215.0
"Lang Son";77.0;82.4;113.0;314.0;306.0;400.0;629.0;772.0;832.0;884.0;929.0;941.0;958.0;968.0;858.0;884.0;925.0;901.0;1058.0;1104.0;1258.0;1275.0
"Bac Giang";2368.0;2891.0;3060.0;3168.0;2897.0;2964.0;3109.0;3521.0;4812.0;5486.0;6028.0;6874.0;8922.0;10528.0;14898.0;17868.0;21396.0;24320.0;25989.0;28892.0;32413.0;35219.0
"Phu Tho";2990.0;2590.0;3578.6;3572.0;4817.0;6263.0;6430.0;8599.0;9472.0;10312.0;12593.0;14518.0;16585.0;14690.0;17517.0;17503.0;19386.0;22218.0;24636.0;26145.0;27674.0;28849.0
"Dien Bien";..;..;..;..;..;..;..;..;306.0;562.0;736.0;868.0;926.0;1165.0;1203.0;1235.0;1312.0;1432.0;1556.0;1736.0;1969.0;2273.0
"Lai Chau";275.0;188.6;280.3;213.0;240.0;332.0;452.0;490.0;214.0;544.0;631.0;732.0;843.0;965.0;980.0;1004.0;1131.0;1184.0;1373.0;1471.0;1725.0;1822.0
"Son La";1050.0;1595.0;1591.5;1476.0;1578.0;1638.0;1713.0;2248.0;2381.0;2433.0;2582.7;3273.0;4113.0;3971.0;4283.0;4562.0;4861.0;5088.0;5328.0;5480.0;5461.0;5447.0
"Hoa Binh";600.0;849.0;856.0;988.0;976.0;945.0;1302.0;1565.0;1800.0;1964.0;2233.0;2572.0;2640.0;2727.0;3069.0;3349.0;3484.0;3708.0;3921.0;4155.0;4277.0;4455.0
"Northern Central area and Central coastal area";23474.0;26078.6;31806.7;35887.0;37101.0;48140.0;59323.0;66379.0;84810.0;93570.0;114981.0;121561.0;141293.0;154016.0;174407.0;174972.0;189972.0;192870.0;207093.0;224344.0;224701.0;223801.0
"Thanh Hoa";6358.0;6344.1;10770.0;10673.0;11487.0;12448.0;13231.0;15401.0;16714.0;17427.0;19143.0;21406.0;23130.0;24574.0;27862.0;27466.0;31437.0;35761.0;40145.0;45775.0;49237.0;50332.0
"Nghe An";5700.0;5892.7;7115.8;7503.0;7400.0;8335.0;10144.0;11352.0;18378.0;19771.0;22101.0;25109.0;28631.0;31313.0;34835.0;34053.0;39281.0;40257.0;40719.0;45067.0;44675.0;47121.0
"Ha Tinh";1677.0;2197.0;1597.0;1629.0;2225.0;3120.0;3779.0;4743.0;7236.0;7686.0;9569.0;10048.0;10043.0;10602.0;10993.0;9999.0;10324.0;4774.0;11949.0;12690.0;13301.0;12483.0
"Quang Binh";780.0;1123.6;1115.4;1190.0;1488.0;1995.0;2354.0;2658.0;3678.0;4226.0;4962.0;5482.0;6306.0;7585.0;8369.0;8443.0;9133.0;9808.0;10050.0;11216.0;11941.0;11601.0
"Quang Tri";617.0;722.6;770.8;559.0;585.0;744.0;1210.0;1422.0;2310.0;3002.0;3437.0;3706.0;4540.0;5103.0;6828.0;7769.0;7803.0;7567.0;7875.0;8324.0;8464.0;8071.0
"Thua Thien-Hue";469.0;888.0;764.1;1043.0;1084.0;1467.0;2551.0;3242.0;5001.0;5647.0;6296.0;7737.0;8335.0;9251.0;9926.0;9392.0;10740.0;12065.0;13209.0;14910.0;15143.0;14012.0
"Da Nang";279.0;321.6;390.2;327.0;319.0;644.0;737.0;732.0;946.0;1037.0;1063.0;754.0;931.0;979.0;973.0;913.0;687.0;732.0;745.0;788.0;807.0;806.0
