"Production of aquaculture fish by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
" WHOLE COUNTRY";209142.0;255958.1;279323.8;285626.0;335979.1;391053.0;421020.0;486421.0;604400.0;761566.0;971179.0;1157093.0;1530255.0;1863314.0;1962596.0;2101577.0;2255563.0;2402240.0;2351580.0;2458750.0;2536833.0;2576189.0
"Red River Delta";49676.0;54877.1;65414.8;71536.0;79839.9;86672.0;97857.0;115036.0;128714.0;151326.0;174650.0;203143.0;230522.0;243818.0;276590.0;307161.0;332303.0;354124.0;370397.0;389358.0;403990.0;422543.0
"Ha Noi";4985.0;5651.0;5696.0;6492.0;6917.0;7744.0;8688.0;8827.0;8928.0;9614.0;9795.0;10179.0;10774.0;34738.0;41460.0;56708.0;62105.0;67752.0;71793.0;79295.0;85766.0;88787.0
"Ha Tay";6450.0;7585.0;6460.0;7469.0;8480.0;8722.0;9755.0;12097.0;14431.0;16983.0;21634.0;23025.0;27900.0;..;..;..;..;..;..;..;..;..
"Vinh Phuc";3810.0;2504.0;2990.2;3338.0;3514.0;3907.0;4371.0;5325.0;6317.0;7662.0;8513.0;9216.0;10393.0;11805.0;12389.0;12389.0;16184.0;15883.0;16587.0;17183.0;17775.0;17677.0
"Bac Ninh";845.0;1453.0;4009.0;4514.0;4948.0;5201.0;6783.0;7993.0;10120.0;12627.0;15978.0;19013.0;22443.0;22765.0;25754.0;28659.0;31275.0;32212.0;33059.0;33750.0;34249.0;34773.0
"Quang Ninh";1436.0;1591.2;2497.2;1583.0;1699.9;2279.0;2669.0;3564.0;4664.0;5956.0;7133.0;8581.0;9462.0;9406.0;10697.0;10413.0;9083.0;8763.0;12540.0;14687.0;14191.0;15185.0
"Hai Duong";4351.0;6600.0;8160.0;9205.0;10457.0;11651.0;13050.0;16923.0;21986.0;24901.0;28123.0;32380.0;40014.0;46250.0;49465.0;51318.0;55478.0;60419.0;61043.0;61526.0;64805.0;67244.0
"Hai Phong";7702.0;10342.9;10906.4;10566.0;10907.0;11819.0;12291.0;13010.0;13957.0;15812.0;17666.0;20748.0;23047.0;26084.0;27804.0;29726.0;32693.0;37442.0;35977.0;36587.0;30044.0;34253.0
"Hung Yen";1414.0;2350.0;3100.0;3212.0;5223.0;5534.0;5822.0;6650.0;7463.0;8727.0;10357.0;13074.0;14627.0;16573.0;19336.0;22428.0;24676.0;27551.0;28902.0;30186.0;33152.0;35488.0
"Thai Binh";8121.0;6713.0;6721.0;7964.0;9486.0;10695.0;12727.0;14153.0;12157.0;16307.0;19733.0;23835.0;25771.0;28299.0;32559.0;34687.0;35390.0;36211.0;37682.0;38673.0;39934.0;39944.0
"Ha Nam";2254.0;2670.0;2860.0;4100.0;3590.0;4056.0;5553.0;7422.0;9348.0;10200.0;11430.0;12786.0;13699.0;11655.0;16871.0;17718.0;19365.0;20002.0;20642.0;21080.0;21670.0;21871.0
"Nam Dinh";6488.0;5692.0;9403.0;9594.0;10392.0;10088.0;11260.0;12623.0;11262.0;13620.0;15276.0;17268.0;19171.0;21125.0;23974.0;26874.0;28934.0;29908.0;32872.0;35981.0;41571.0;43997.0
"Ninh Binh";1820.0;1725.0;2612.0;3499.0;4226.0;4976.0;4888.0;6449.0;8081.0;8916.0;9012.0;13038.0;13221.0;15118.0;16281.0;16241.0;17120.0;17983.0;19300.0;20411.0;20833.0;23324.0
"Northern midlands and mountain areas";10575.0;11995.7;13261.9;15355.0;16714.7;19394.0;20777.0;25589.0;29220.0;32199.0;34595.0;40042.0;46617.0;48590.0;57722.0;65109.0;72351.0;79092.0;85748.0;93751.0;102099.0;108850.0
"Ha Giang";627.0;680.4;726.8;794.0;835.0;856.0;883.0;980.0;994.0;1041.0;1077.0;1141.0;1198.0;1252.0;1289.0;1304.0;1376.0;1515.0;1654.0;1700.0;1726.0;1772.0
"Cao Bang";85.0;90.7;79.5;134.0;191.0;197.0;201.0;208.0;234.0;247.0;252.0;262.0;283.0;284.0;271.0;264.0;277.0;297.0;322.0;319.0;328.0;331.0
"Bac Kan";184.0;246.0;210.0;223.0;12.0;245.0;205.0;272.0;350.0;360.0;414.0;505.0;625.0;685.0;756.0;822.0;830.0;817.0;847.0;857.0;874.0;885.0
"Tuyen Quang";957.0;1014.0;1040.0;1091.0;1187.0;1296.0;1272.0;1354.0;1495.0;1671.0;1871.0;2108.0;2471.0;2977.0;3106.0;3312.0;3421.0;3780.0;4881.0;5391.0;6049.0;6081.0
"Lao Cai";394.0;428.0;445.0;462.0;480.0;512.0;590.0;847.0;930.0;918.0;1144.0;1728.0;1651.0;1835.0;2787.0;3146.0;3299.0;3622.0;4404.0;4688.0;5162.0;5987.0
"Yen Bai";38.0;422.6;442.0;475.0;644.0;876.0;1196.0;1643.0;2131.0;2510.0;2839.0;3211.0;3533.0;3881.0;4262.0;4744.0;5158.0;5397.0;5697.0;5621.0;5625.0;5877.0
"Thai  Nguyen";1179.0;1196.0;1136.0;2752.0;2564.0;2897.0;2811.0;3141.0;3340.0;3385.0;3469.0;3573.0;3865.0;3990.0;4610.0;5522.0;5825.0;6514.0;6969.0;7395.0;7938.0;8994.0
"Lang Son";75.0;82.4;113.0;314.0;306.0;391.0;629.0;772.0;828.0;875.0;923.0;935.0;948.0;958.0;848.0;879.0;923.0;897.0;1054.0;1096.0;1245.0;1262.0
"Bac Giang";2121.0;2622.0;2780.0;2882.0;2897.0;2964.0;3109.0;3521.0;4812.0;5486.0;6028.0;6874.0;8922.0;10528.0;14873.0;17845.0;21385.0;24300.0;25967.0;28867.0;32390.0;35195.0
"Phu Tho";2990.0;2590.0;3578.6;3568.0;4813.0;6263.0;6430.0;8596.0;9464.0;10295.0;10557.0;12492.0;14785.0;13576.0;15603.0;17341.0;19298.0;20771.0;22110.0;25350.0;27671.0;28822.0
"Dien Bien";..;..;..;..;..;..;..;..;300.0;551.0;692.0;818.0;867.0;1095.0;1150.0;1177.0;1255.0;1379.0;1502.0;1678.0;1920.0;2227.0
"Lai Chau";275.0;181.6;272.5;198.0;235.0;328.0;448.0;485.0;211.0;539.0;624.0;710.0;825.0;945.0;954.0;981.0;1116.0;1171.0;1369.0;1467.0;1720.0;1808.0
