"Production of aquaculture shrimp by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
" WHOLE COUNTRY";55316.0;49749.3;49297.9;54884.4;57452.0;93503.0;154911.0;186216.0;237880.0;281816.0;327194.0;354514.0;384519.0;388359.0;419381.0;449652.0;478694.0;473910.0;560500.0;615164.0;634812.0;663024.0
"Red River Delta";1849.0;2212.7;2669.4;2971.2;3342.1;4450.0;5953.0;9023.0;11645.0;13023.0;13321.0;14098.0;16054.0;14512.0;14981.0;15753.0;15844.0;17263.0;17815.0;19373.0;21577.0;22057.0
"Ha Noi";..;..;..;..;0.4;2.0;34.0;46.0;47.0;45.0;21.0;31.0;28.0;21.0;13.0;14.0;17.0;13.0;10.0;..;..;..
"Ha Tay";..;..;..;..;..;..;1.0;1.0;1.0;..;4.0;8.0;9.0;..;..;..;..;..;..;..;..;..
"Vinh Phuc";..;..;..;..;4.2;..;..;..;..;..;6.0;2.0;2.0;1.0;..;..;..;..;..;..;..;..
"Bac Ninh";..;..;..;391.0;335.0;342.0;360.0;346.0;311.0;308.0;221.0;199.0;203.0;189.0;132.0;139.0;141.0;152.0;149.0;146.0;142.0;139.0
"Quang Ninh";518.0;533.3;776.5;526.1;693.5;854.0;903.0;1748.0;2947.0;4230.0;5038.0;5325.0;7126.0;6287.0;6938.0;7162.0;7010.0;7784.0;7864.0;8332.0;8339.0;8386.0
"Hai Duong";..;..;..;..;..;..;..;14.0;16.0;14.0;17.0;18.0;12.0;15.0;14.0;16.0;15.0;21.0;22.0;17.0;9.0;8.0
"Hai Phong";478.0;627.4;756.9;823.6;967.0;1303.0;1533.0;2232.0;2591.0;2400.0;2266.0;2800.0;2547.0;2613.0;2597.0;3039.0;3282.0;4108.0;4255.0;5047.0;5664.0;4913.0
"Hung Yen";..;..;..;..;25.0;38.0;82.0;186.0;180.0;187.0;269.0;192.0;237.0;196.0;252.0;273.0;210.0;232.0;236.0;234.0;238.0;221.0
"Thai Binh";350.0;425.0;419.0;423.0;396.0;616.0;1357.0;1902.0;2344.0;2683.0;2201.0;2490.0;2727.0;2279.0;1975.0;1938.0;2013.0;2090.0;2046.0;2093.0;2445.0;2671.0
"Ha Nam";79.0;27.0;30.0;..;..;35.0;48.0;50.0;16.0;56.0;129.0;162.0;202.0;212.0;321.0;311.0;112.0;14.0;15.0;16.0;17.0;8.0
"Nam Dinh";394.0;565.0;617.0;721.0;796.0;1039.0;1284.0;1660.0;2075.0;2237.0;1904.0;2008.0;1906.0;1900.0;1896.0;2007.0;2120.0;2351.0;2615.0;2781.0;3967.0;4770.0
"Ninh Binh";30.0;35.0;70.0;86.5;125.0;221.0;351.0;838.0;1117.0;863.0;1245.0;864.0;1055.0;799.0;843.0;854.0;924.0;499.0;604.0;708.0;756.0;941.0
"Northern midlands and mountain areas";30.0;40.2;41.7;50.2;53.5;69.0;57.0;66.0;102.0;123.0;312.0;355.0;388.0;294.0;379.0;328.0;239.0;321.0;337.0;179.0;166.0;191.0
"Ha Giang";..;1.2;1.7;1.2;1.3;2.0;3.0;3.0;4.0;4.0;4.0;4.0;5.0;18.0;23.0;24.0;24.0;23.0;16.0;16.0;16.0;16.0
"Cao Bang";..;..;..;..;..;..;..;..;..;..;..;1.0;6.0;5.0;3.0;1.0;..;..;..;..;..;..
"Bac Kan";3.0;5.0;4.0;4.0;4.0;3.0;1.0;2.0;5.0;5.0;6.0;7.0;8.0;8.0;8.0;5.0;5.0;4.0;5.0;6.0;6.0;6.0
"Tuyen Quang";..;7.0;8.0;8.0;11.0;13.0;11.0;12.0;13.0;12.0;13.0;12.0;14.0;14.0;16.0;11.0;3.0;2.0;1.0;..;..;..
"Lao Cai";..;..;..;..;..;..;..;..;4.0;1.0;2.0;4.0;5.0;5.0;3.0;1.0;1.0;..;..;..;..;..
