"Production of fishery by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
" WHOLE COUNTRY";1584361.0;1701002.3;1730432.1;1782002.0;2006753.0;2250499.0;2434649.0;2647408.0;2859200.0;3142478.0;3466804.0;3720459.0;4199082.0;4602026.0;4870317.0;5142745.0;5447418.0;5820754.0;6019747.0;6333165.0;6582139.0;6803929.0
"Red River Delta";125731.0;152512.5;154360.5;172501.0;195121.0;219505.0;245023.0;287706.0;314353.0;353894.0;379300.0;414828.0;460888.0;497197.0;549748.0;592266.0;625670.0;666026.0;741592.0;773753.0;826369.0;870458.0
"Ha Noi";6940.0;7811.0;7515.5;7582.0;7803.0;8600.0;9633.0;9824.0;9902.0;10317.0;10430.0;10808.0;11355.0;37797.0;44359.0;59548.0;64984.0;71384.0;76724.0;83290.0;88001.0;91023.0
"Ha Tay";13402.0;12520.0;11864.0;11714.0;12381.0;12471.0;13591.0;15625.0;17876.0;20160.0;24012.0;25002.0;29811.0;..;..;..;..;..;..;..;..;..
"Vinh Phuc";6805.0;9311.0;6960.5;6449.0;5451.0;5853.0;6157.0;6889.0;7889.0;9087.0;9877.0;10545.0;11853.0;13268.0;14111.0;14111.0;17845.0;17934.0;18520.0;19201.0;19758.0;19712.0
"Bac Ninh";2320.0;3615.0;5260.0;6260.0;6606.0;6826.0;8493.0;9675.0;11654.0;14239.0;17607.0;20456.0;23854.0;24781.0;27728.0;30652.0;33231.0;34155.0;35021.0;35623.0;36137.0;36528.0
"Quang Ninh";15386.0;16950.5;19244.3;20689.0;22614.0;25509.0;31838.0;43745.0;45771.0;55924.0;54864.0;57179.0;66320.0;72407.0;78763.0;82154.0;85637.0;85735.0;87898.0;94157.0;96912.0;102361.0
"Hai Duong";9010.0;11044.6;8940.9;10829.0;12256.0;13430.0;14847.0;18892.0;24129.0;27341.0;30594.0;34854.0;42425.0;48629.0;51845.0;53655.0;57757.0;62684.0;63269.0;64387.0;66673.0;69073.0
"Hai Phong";26589.0;29834.4;29283.3;31966.0;36369.0;42588.0;47084.0;56187.0;62390.0;66269.0;70256.0;72517.0;75809.0;81879.0;86544.0;85379.0;93393.0;97716.0;100772.0;106913.0;115758.0;122387.0
"Hung Yen";3980.0;4879.0;5750.0;5929.0;7463.0;7580.0;7784.0;8910.0;9806.0;10923.0;12704.0;14905.0;16583.0;18385.0;21225.0;24371.0;26144.0;29072.0;30417.0;31670.0;34552.0;36907.0
"Thai Binh";20116.0;31303.0;27376.0;32119.0;35375.0;40182.0;44007.0;47825.0;47652.0;54893.0;62529.0;71765.0;77845.0;88899.0;101705.0;113204.0;100505.0;116345.0;168533.0;166292.0;182953.0;195726.0
"Ha Nam";2666.0;2965.0;3169.0;4663.0;4118.0;4910.0;6212.0;8118.0;9983.0;10923.0;12266.0;13698.0;14669.0;13299.0;18587.0;19232.0;20588.0;21110.0;21541.0;21855.0;22367.0;22506.0
