"Production of fishery caught by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Pre. 2016"
" WHOLE COUNTRY";1195292.0;1277964.1;1315838.3;1356971.0;1525986.0;1660904.0;1724758.0;1802599.0;1856105.0;1939992.0;1987934.0;2026600.0;2074526.0;2136408.0;2280527.0;2414411.0;2514335.0;2705439.0;2803846.0;2920366.0;3049944.0;3163309.0
"Red River Delta";70103.0;87728.1;78383.9;84105.0;94964.0;106547.0;113073.0;121513.0;133687.0;138238.0;144973.0;148413.0;156602.0;175051.0;188953.0;198403.0;204697.0;209921.0;216791.0;231587.0;245455.0;256413.0
"Ha Noi";1955.0;2160.0;1819.5;1090.0;886.0;854.0;911.0;951.0;927.0;658.0;614.0;598.0;553.0;3030.0;2875.0;2813.0;2854.0;3600.0;3901.0;3995.0;2229.0;2231.0
"Ha Tay";6952.0;4935.0;5404.0;4245.0;3901.0;3747.0;3831.0;3527.0;3444.0;3020.0;2373.0;1918.0;1851.0;..;..;..;..;..;..;..;..;..
"Vinh Phuc";2995.0;6807.0;3970.3;3111.0;1933.0;1947.0;1785.0;1564.0;1572.0;1425.0;1364.0;1327.0;1458.0;1449.0;1705.0;1705.0;1650.0;2044.0;1923.0;2011.0;1977.0;2028.0
"Bac Ninh";1366.0;2000.0;1246.0;1350.0;1320.0;1282.0;1290.0;1272.0;1140.0;1174.0;1214.0;1068.0;1011.0;1515.0;1592.0;1578.0;1531.0;1529.0;1565.0;1526.0;1475.0;1354.0
"Quang Ninh";13138.0;14480.5;15418.1;17899.0;19446.0;21316.0;23432.0;26698.0;30575.0;35258.0;35700.0;37931.0;40149.0;47199.0;51255.0;53429.0;56022.0;56790.0;54756.0;55892.0;52622.0;53665.0
"Hai Duong";4658.0;4443.6;709.5;1624.0;1798.0;1777.0;1797.0;1955.0;2127.0;2321.0;2336.0;2306.0;2302.0;2296.0;2287.0;2244.0;2203.0;2186.0;2145.0;2780.0;1814.0;1779.0
"Hai Phong";15000.0;16200.0;15002.5;16802.0;20224.0;23163.0;26467.0;28154.0;28953.0;31721.0;35279.0;34007.0;35867.0;39692.0;43102.0;45204.0;46323.0;47853.0;49932.0;55211.0;68793.0;72954.0
"Hung Yen";2565.0;2528.0;2647.0;2712.0;2215.0;2008.0;1501.0;1595.0;1659.0;1433.0;1468.0;1151.0;1034.0;996.0;934.0;885.0;784.0;774.0;764.0;757.0;737.0;705.0
"Thai Binh";11369.0;23195.0;18667.0;17663.0;19325.0;21166.0;21678.0;23563.0;27882.0;25678.0;29541.0;32577.0;34055.0;36327.0;40780.0;44798.0;46943.0;49602.0;54169.0;58683.0;64481.0;68916.0
"Ha Nam";..;238.0;247.0;402.0;475.0;579.0;422.0;645.0;576.0;624.0;682.0;706.0;737.0;1397.0;1291.0;1024.0;979.0;959.0;748.0;670.0;589.0;574.0
"Nam Dinh";9343.0;9420.0;11660.0;15479.0;21518.0;26319.0;26761.0;29000.0;32357.0;32157.0;31699.0;31683.0;34008.0;36513.0;38564.0;39890.0;40149.0;40174.0;41216.0;44208.0;44579.0;45842.0
"Ninh Binh";762.0;1321.0;1593.0;1728.0;1923.0;2389.0;3198.0;2589.0;2475.0;2770.0;2703.0;3141.0;3577.0;4636.0;4568.0;4833.0;5259.0;4410.0;5673.0;5855.0;6159.0;6365.0
