"Kindergarten education as of 30 September by Items, Indicator and Year"

"Items";"Indicator";"1995-1996";"1996-1997";"1997-1998";"1998-1999";"1999-2000";"2000-2001";"2001-2002";"2002-2003";"2003-2004";"2004-2005";"2005-2006";"2006-2007";"2007-2008";"2008-2009";"2009-2010";"2010-2011";"2011-2012";"2012-2013";"2013-2014";"2014-2015";"2015-2016";"Prel. 2016-2017"
"Total";"School";..;..;..;..;..;8933.0;9262.0;9558.0;9975.0;10376.0;10927.0;11582.0;11696.0;12071.0;12265.0;12678.0;13144.0;13548.0;13841.0;14179.0;14513.0;14863.0
"Total";"Class";66.9;74.1;79.8;82.6;84.5;87.1;87.3;87.4;88.7;93.0;93.9;97.5;99.7;103.9;106.6;119.4;118.0;122.0;125.5;133.5;147.2;150.3
"Total";"Teacher";75.0;84.4;92.9;93.7;98.1;103.3;103.8;103.7;106.7;112.8;117.2;122.9;130.4;138.1;144.5;157.5;174.0;188.2;204.9;215.5;231.9;250.8
"Total";"Pupil";1931.6;2092.7;2257.7;2248.2;2199.5;2212.0;2171.8;2143.9;2172.9;2329.8;2426.9;2524.3;2593.3;2774.0;2909.0;3061.3;3320.3;3551.1;3614.1;3755.0;3978.5;4409.6
"Total";"Pupils per class";28.9;28.2;28.3;27.2;26.1;25.4;24.9;24.5;24.4;25.0;25.8;25.9;26.0;26.7;27.0;26.0;28.0;29.0;29.0;28.0;27.0;29.0
"Total";"Pupils per teacher";25.7;24.8;24.3;24.0;22.5;21.4;20.9;20.7;20.4;20.6;20.7;20.5;19.9;20.1;20.0;19.0;19.0;19.0;18.0;17.0;17.0;18.0
"Index (Previous year = 100) - %";"School";..;..;..;..;..;103.4;103.7;103.2;104.4;104.0;105.3;106.0;101.0;103.2;101.6;103.4;103.7;103.1;102.2;102.4;102.4;102.4
"Index (Previous year = 100) - %";"Class";105.5;110.7;107.8;103.5;101.9;103.4;100.2;100.1;101.4;104.8;101.0;103.8;102.3;104.2;102.6;112.0;98.8;103.4;102.9;106.4;110.3;102.1
"Index (Previous year = 100) - %";"Teacher";108.2;112.5;110.1;101.2;104.4;105.6;100.5;99.9;102.8;105.7;103.9;104.9;106.1;105.9;104.7;109.0;110.5;108.1;108.9;105.2;107.6;108.1
"Index (Previous year = 100) - %";"Pupil";104.9;108.3;107.9;99.6;97.8;100.6;98.2;98.7;101.4;107.2;104.2;104.0;102.7;107.0;104.9;105.2;108.5;107.0;101.8;103.9;106.0;110.8
"Index (Previous year = 100) - %";"Pupils per class";99.5;108.3;107.9;99.6;96.0;97.2;98.0;98.4;99.6;102.3;103.2;100.4;100.4;102.7;102.2;93.9;109.8;103.4;98.9;97.7;96.1;108.6
"Index (Previous year = 100) - %";"Pupils per teacher";96.8;96.3;98.0;98.4;93.7;95.2;97.7;99.0;98.5;101.4;100.5;99.0;97.1;101.0;100.0;96.7;98.2;97.3;93.4;98.8;98.5;102.5
