"Average collected solid waste treated per day by province by Cities, provincies, Year and Collected solid waste"

"Cities, provincies";"2015 Total of collected solid waste";"2015 Total of collected solid waste treated in accordance with corresponding defined national criteria";"2016 Total of collected solid waste";"2016 Total of collected solid waste treated in accordance with corresponding defined national criteria"
" WHOLE COUNTRY";32415;24319;33167;27067
"Red River Delta";9400;7923;10017;8902
"Ha Noi";5400;5300;5906;5806
"Vinh Phuc";296;296;235;180
"Bac Ninh";300;..;335;131
"Quang Ninh";737;587;815;663
"Hai Duong";243;180;360;287
"Hai Phong";1408;998;1086;1003
"Hung Yen";257;77;338;230
"Thai Binh";307;110;487;171
"Ha Nam";105;100;145;140
"Nam Dinh";219;212;193;191
"Ninh Binh";128;73;117;100
"Northern midlands and mountain areas";2277;1034;2457;1386
"Ha Giang";147;70;139;107
"Cao Bang";63;40;52;46
"Bac Kan";68;33;68;..
"Tuyen Quang";134;91;103;88
"Lao Cai";182;..;166;120
"Yen Bai";196;98;167;129
"Thai Nguyen";237;177;452;210
"Lang Son";200;100;251;..
"Bac Giang";231;134;200;135
"Phu Tho";257;152;294;281
"Dien Bien";93;50;98;32
"Lai Chau";68;..;102;102
"Son La";277;80;277;80
"Hoa Binh";123;9;89;56
"Northern Central area and Central coastal area";5143;3021;4907;3036
"Thanh Hoa";762;127;768;168
"Nghe An";640;397;392;280
"Ha Tinh";149;135;214;190
"Quang Binh";204;92;133;133
"Quang Tri";187;66;198;116
"Thua Thien-Hue";289;244;310;307
"Da Nang";730;730;751;751
"Quang  Nam";455;240;520;55
"Quang  Ngai";171;130;225;96
"Binh Dinh";216;204;300;210
"Phu Yen";209;150;209;150
"Khanh  Hoa";475;285;475;320
"Ninh  Thuan";177;177;205;205
"Binh Thuan";479;43;207;55
"Central Highlands";1062;627;1126;646
"Kon Tum";145;104;92;54
"Gia Lai";160;100;252;123
"Dak Lak";363;193;347;229
"Dak Nong";91;30;56;40
"Lam Dong";303;200;379;200
"South East";10878;10192;10995;10932
"Binh Phuoc";206;70;175;112
"Tay Ninh";131;15;98;98
"Binh Duong";1074;1074;1221;1221
"Dong Nai";1365;1019;1442;1442
"Ba Ria - Vung Tau";602;514;409;409
"Ho Chi Minh city";7500;7500;7650;7650
"Mekong River Delta";3655;1522;3665;2165
"Long An";192;82;300;300
"Tien Giang";332;70;291;..
"Ben Tre";147;110;163;145
"Tra Vinh";297;30;111;36
"Vinh Long";142;90;118;100
"Dong Thap";368;165;414;271
"An Giang";349;99;542;21
"Kien  Giang";396;250;433;345
"Can Tho";650;281;518;480
"Hau Giang";212;111;212;152
"Soc Trang";236;..;288;74
"Bac Lieu";188;128;134;100
"Ca Mau";147;106;141;141
