"Average dwelling area per capita by type of house and by province by Cities, provincies, Year and Type of house"

"Cities, provincies";"2014 Total";"2014 Permanent house";"2014 Semi-Permanent house";"2014 Less-temporary house";"2014 Simple permanent house";"Pre. 2016 Total";"Pre. 2016 Permanent house";"Pre. 2016 Semi-Permanent house";"Pre. 2016 Less-temporary house";"Pre. 2016 Simple permanent house"
" WHOLE COUNTRY";21.4;23.6;20.2;14.9;14.3;22.2;24.7;20.8;14.8;13.8
"Red River Delta";23.2;23.7;17.1;11.9;8.2;24.6;25.0;19.0;15.4;17.8
"Ha Noi";25.1;25.6;18.9;8.6;8.5;25.8;26.2;21.1;19.2;..
"Vinh Phuc";23.3;23.6;19.5;6.7;..;25.3;25.7;22.5;10.0;..
"Bac Ninh";25.0;25.4;17.9;..;..;28.3;28.9;22.7;21.0;..
"Quang Ninh";24.1;25.3;11.9;13.4;6.1;25.8;26.3;21.2;14.5;18.5
"Hai Duong";22.5;22.8;16.2;..;..;24.6;24.9;17.1;..;..
"Hai Phong";18.5;19.7;13.5;8.5;..;19.1;20.1;12.8;..;..
"Hung Yen";22.2;21.9;26.9;..;4.7;25.6;26.1;15.6;..;..
"Thai Binh";24.1;24.1;16.9;..;32.0;23.9;24.0;20.7;..;10.0
"Ha Nam";22.4;22.7;16.1;9.4;15.0;23.9;24.3;16.3;11.7;..
"Nam Dinh";20.8;21.1;14.6;..;9.5;22.6;22.8;15.3;35.0;..
"Ninh Binh";21.0;21.1;15.0;..;..;22.4;22.5;16.7;..;..
"Northern midlands and mountain areas";19.3;22.7;17.1;14.6;14.4;20.2;24.5;17.5;14.5;13.1
"Ha Giang";18.4;31.8;17.9;15.5;14.3;18.7;28.4;17.3;15.6;14.1
"Cao Bang";20.9;22.5;21.0;17.0;14.0;22.3;23.5;21.9;18.8;20.2
"Bac Kan";21.0;25.7;20.9;17.3;14.0;21.8;25.1;22.4;16.2;14.4
"Tuyen Quang";20.1;24.2;19.6;14.4;16.6;19.6;24.4;18.7;15.6;13.8
"Lao Cai";19.5;31.5;17.8;13.8;14.5;20.4;34.2;17.6;13.7;11.8
"Yen Bai";18.3;26.8;17.4;15.9;14.3;17.4;27.4;16.6;14.3;13.3
"Thai Nguyen";23.1;24.2;21.0;18.0;17.6;23.8;25.5;20.2;21.1;15.0
"Lang Son";20.1;20.7;20.4;17.4;16.3;21.3;22.3;21.1;18.4;16.9
"Bac Giang";20.8;22.0;16.4;13.6;5.2;23.8;24.7;18.6;15.9;..
"Phu Tho";22.3;23.8;20.6;18.2;16.5;23.9;26.8;19.4;17.9;17.2
"Dien Bien";13.8;20.6;12.5;10.6;10.1;15.0;23.8;13.8;11.3;11.1
"Lai Chau";13.0;19.9;11.8;10.3;9.7;14.7;23.6;14.0;9.2;10.2
"Son La";14.9;17.5;13.9;12.0;9.3;15.6;18.6;15.5;11.6;9.6
"Hoa Binh";16.9;19.0;14.4;12.7;10.5;17.9;20.2;15.0;13.1;7.0
"Northern Central area and Central coastal area";20.6;22.0;18.7;12.3;12.3;21.6;23.0;19.9;12.2;11.7
"Thanh Hoa";18.2;19.4;15.5;10.9;11.7;19.9;20.9;20.0;10.9;10.8
"Nghe An";20.4;21.4;18.5;16.0;12.9;21.2;22.9;19.2;11.8;12.8
"Ha Tinh";22.7;23.4;20.7;14.6;20.0;23.1;23.9;19.9;17.4;15.4
"Quang Binh";21.8;22.6;18.1;13.5;0.0;23.6;24.0;21.1;16.6;13.4
"Quang Tri";17.9;21.0;13.9;6.6;6.5;18.3;21.4;15.3;5.3;5.3
"Thua Thien-Hue";19.5;21.7;17.3;5.7;8.2;23.5;26.3;20.0;16.3;8.2
"Da Nang";27.7;34.5;22.5;13.3;..;26.0;30.5;22.7;11.4;..
"Quang  Nam";19.7;20.6;18.9;15.8;12.4;22.1;24.0;20.0;15.0;13.0
"Quang  Ngai";21.5;22.1;20.4;9.4;7.8;21.6;22.1;21.6;8.0;14.1
"Binh Dinh";24.2;25.8;21.8;18.1;21.7;25.3;26.6;22.9;35.9;13.7
