"Difference between the highest income quintile and the lowest income quintile on monthly average living expenditure per capita at current prices by residence, by sex of household head and by region by Iterms, Year and Difference"

"Iterms";"2010 Monthly average livingexpenditure per capita (Thous. dongs) - The lowest income quintile";"2010 Monthly average average livingexpenditure per capita  (Thous. dongs)The highest income quintile";"2010 The highest income quintile compared with the lowest income quintile (Time)";"2012 Monthly average livingexpenditure per capita (Thous. dongs) - The lowest income quintile";"2012 Monthly average average livingexpenditure per capita  (Thous. dongs)The highest income quintile";"2012 The highest income quintile compared with the lowest income quintile (Time)";"2014 Monthly average livingexpenditure per capita (Thous. dongs) - The lowest income quintile";"2014 Monthly average average livingexpenditure per capita  (Thous. dongs)The highest income quintile";"2014 The highest income quintile compared with the lowest income quintile (Time)";"Pre. 2016 Monthly average livingexpenditure per capita (Thous. dongs) - The lowest income quintile";"Pre. 2016 Monthly average average livingexpenditure per capita  (Thous. dongs)The highest income quintile";"Pre. 2016 The highest income quintile compared with the lowest income quintile (Time)"
"WHOLE COUNTRY";499.0;2311.0;4.6;711.0;2733.0;3.8;828.0;3135.0;3.8;896.0;3534.0;3.9
"Resicence - Urban";769.0;3318.0;4.3;1117.0;3737.0;3.3;1286.0;4066.0;3.2;1375.0;4632.0;3.4
"Resicence - Rural";460.0;1560.0;3.4;632.0;2012.0;3.2;749.0;2350.0;3.1;834.0;2576.0;3.1
"Sex of household head - Male";488.0;2140.0;4.4;692.0;2589.0;3.7;815.0;2962.0;3.6;888.0;3369.0;3.8
"Sex of household head - Female";554.0;2814.0;5.1;765.0;3154.0;4.1;864.0;3669.0;4.2;973.0;4079.0;4.2
"Red River Delta";649.0;2731.0;4.2;945.0;3148.0;3.3;1133.0;3728.0;3.3;1228.0;4040.0;3.3
"Northern midlands and mountain areas";372.0;1624.0;4.4;545.0;2002.0;3.7;662.0;2837.0;4.3;683.0;2828.0;4.1
"North Central area and Central coastal area";460.0;1890.0;4.1;640.0;2380.0;3.7;736.0;2611.0;3.5;829.0;3069.0;3.7
"Central Highlands";403.0;1596.0;4.0;503.0;2428.0;4.8;556.0;2952.0;5.3;596.0;3055.0;5.1
"South East";751.0;3297.0;4.4;1079.0;3410.0;3.2;1253.0;3639.0;2.9;1577.0;4368.0;2.8
"Mekong River Delta";537.0;1754.0;3.3;752.0;2148.0;2.9;896.0;2293.0;2.6;1016.0;2760.0;2.7
