"Disposing solid waste and waste water of industrial zones(*) by Region, Types of indusstrial zones, Year and Number and rate"

"Region";"Types of indusstrial zones";"2015 Total industrial zones (Zone)";"2015 Number of industrial zones disposing in accordance with corresponding defined criteria (Zone)";"2015 Rate of industrial zones disposing in accordance with corresponding defined criteria (%)";"2016 Total industrial zones (Zone)";"2016 Number of industrial zones disposing in accordance with corresponding defined criteria (Zone)";"2016 Rate of industrial zones disposing in accordance with corresponding defined criteria (%)"
"Whole country";"TOTAL";371.0;235.0;..;371.0;238.0;64.2
"Whole country";"Industrial zones";324.0;221.0;68.2;323.0;227.0;70.3
"Whole country";"Export proccessing zone";4.0;4.0;100.0;4.0;4.0;100.0
"Whole country";"Economic zones";39.0;8.0;20.5;40.0;5.0;12.5
"Whole country";"High-tech zones";4.0;2.0;50.0;4.0;2.0;50.0
"Red River Delta";"TOTAL";..;..;..;..;..;..
"Red River Delta";"Industrial zones";71.0;52.0;73.2;74.0;49.0;66.2
"Red River Delta";"Export proccessing zone";5.0;..;..;5.0;..;..
"Red River Delta";"Economic zones";1.0;1.0;100.0;1.0;1.0;100.0
"Red River Delta";"High-tech zones";..;..;..;..;..;..
"Northern midlands and mountain areas";"TOTAL";..;..;..;..;..;..
"Northern midlands and mountain areas";"Industrial zones";33.0;20.0;60.6;34.0;21.0;61.8
"Northern midlands and mountain areas";"Export proccessing zone";8.0;1.0;12.5;8.0;..;..
"Northern midlands and mountain areas";"Economic zones";..;..;..;..;..;..
"Northern midlands and mountain areas";"High-tech zones";..;..;..;..;..;..
"North Central and Central coastal areas";"TOTAL";..;..;..;..;..;..
"North Central and Central coastal areas";"Industrial zones";60.0;35.0;58.3;54.0;28.0;51.9
"North Central and Central coastal areas";"Export proccessing zone";15.0;6.0;40.0;16.0;4.0;25.0
"North Central and Central coastal areas";"Economic zones";1.0;..;..;1.0;..;..
"North Central and Central coastal areas";"High-tech zones";..;..;..;..;..;..
"Central Highlands";"TOTAL";..;..;..;8.0;6.0;75.0
"Central Highlands";"Industrial zones";19.0;5.0;26.3;2.0;..;..
"Central Highlands";"Export proccessing zone";2.0;..;..;..;..;..
"Central Highlands";"Economic zones";..;..;..;..;..;..
"Central Highlands";"High-tech zones";..;..;..;..;..;..
"South East";"TOTAL";..;..;..;..;..;..
"South East";"Industrial zones";92.0;77.0;83.7;98.0;85.0;86.7
"South East";"Export proccessing zone";4.0;4.0;100.0;4.0;4.0;100.0
"South East";"Economic zones";3.0;1.0;33.3;3.0;1.0;33.3
"South East";"High-tech zones";2.0;1.0;50.0;2.0;1.0;50.0
"Mekong River Delta";"TOTAL";..;..;..;..;..;..
"Mekong River Delta";"Industrial zones";49.0;32.0;65.3;55.0;38.0;69.1
"Mekong River Delta";"Export proccessing zone";..;..;..;6.0;..;..
"Mekong River Delta";"Economic zones";6.0;..;..;..;..;..
"Mekong River Delta";"High-tech zones";..;..;..;..;..;..
