"Monthly average income per capita at current prices by income source and by province by Cities, provincies, Year and Income source"

"Cities, provincies";"2010 Total";"2010 Salary & wage";"2010 Agriculture, forestry & fishery";"2010 Non-agriculture, forestry & fishery";"2010 Others";"2012 Total";"2012 Salary & wage";"2012 Agriculture, forestry & fishery";"2012 Non-agriculture, forestry & fishery";"2012 Others";"2014 Total";"2014 Salary & wage";"2014 Agriculture, forestry & fishery";"2014 Non-agriculture, forestry & fishery";"2014 Others";"Pre. 2016 Total";"Pre. 2016 Salary & wage";"Pre. 2016 Agriculture, forestry & fishery";"Pre. 2016 Non-agriculture, forestry & fishery";"Pre. 2016 Others"
" WHOLE COUNTRY";1387.0;622.0;279.0;328.0;158.0;2000.0;923.0;397.0;442.0;238.0;2637.0;1253.0;458.0;591.0;335.0;3049.0;1448.0;513.0;744.0;344.0
"Red River Delta";1580.0;798.0;189.0;392.0;201.0;2351.0;1216.0;275.0;556.0;304.0;3265.0;1733.0;327.0;738.0;467.0;3610.0;1965.0;360.0;847.0;438.0
"Ha Noi";2013.0;1165.0;109.0;467.0;273.0;2945.0;1741.0;169.0;657.0;378.0;4113.0;2537.0;226.0;767.0;583.0;5057.0;3120.0;302.0;1060.0;575.0
"Vinh Phuc";1232.0;519.0;256.0;317.0;140.0;1867.0;784.0;373.0;517.0;193.0;2378.0;1089.0;342.0;645.0;302.0;2847.0;1462.0;338.0;759.0;288.0
"Bac Ninh";1646.0;560.0;190.0;707.0;189.0;2502.0;875.0;256.0;1089.0;281.0;3512.0;1178.0;299.0;1641.0;394.0;4346.0;1697.0;330.0;1883.0;436.0
"Quang Ninh";1787.0;895.0;176.0;533.0;183.0;2557.0;1367.0;224.0;626.0;340.0;3053.0;1580.0;308.0;795.0;370.0;3791.0;1978.0;497.0;904.0;412.0
"Hai Duong";1306.0;600.0;258.0;286.0;163.0;2047.0;996.0;377.0;415.0;259.0;2755.0;1289.0;433.0;651.0;382.0;3153.0;1668.0;454.0;592.0;439.0
"Hai Phong";1694.0;958.0;115.0;418.0;204.0;2526.0;1278.0;197.0;590.0;461.0;3923.0;2002.0;314.0;862.0;745.0;4614.0;2458.0;393.0;1054.0;709.0
"Hung Yen";1199.0;522.0;261.0;275.0;141.0;1803.0;785.0;412.0;445.0;161.0;2192.0;998.0;429.0;492.0;273.0;2881.0;1416.0;499.0;681.0;285.0
"Thai Binh";1129.0;518.0;251.0;216.0;143.0;1729.0;878.0;368.0;299.0;184.0;2469.0;1214.0;384.0;476.0;395.0;2798.0;1384.0;416.0;576.0;422.0
"Ha Nam";1150.0;470.0;264.0;248.0;168.0;1754.0;710.0;374.0;440.0;230.0;2198.0;917.0;389.0;544.0;348.0;2814.0;1305.0;495.0;661.0;353.0
"Nam Dinh";1237.0;477.0;286.0;322.0;153.0;1791.0;769.0;379.0;423.0;220.0;2816.0;1280.0;446.0;718.0;372.0;2998.0;1348.0;462.0;783.0;405.0
"Ninh Binh";1202.0;498.0;264.0;280.0;160.0;1696.0;762.0;355.0;289.0;290.0;2215.0;1092.0;437.0;386.0;300.0;2899.0;1334.0;530.0;658.0;377.0
"Northern midlands and mountain areas";905.0;359.0;314.0;146.0;86.0;1258.0;536.0;406.0;197.0;119.0;1613.0;707.0;471.0;283.0;152.0;2033.0;906.0;558.0;375.0;194.0
"Ha Giang";610.0;193.0;317.0;61.0;38.0;850.0;274.0;440.0;76.0;60.0;1121.0;367.0;507.0;157.0;90.0;1326.0;430.0;598.0;210.0;88.0
"Cao Bang";749.0;312.0;293.0;83.0;61.0;1054.0;453.0;402.0;112.0;87.0;1252.0;590.0;403.0;112.0;147.0;1640.0;880.0;418.0;196.0;146.0
"Bac Kan";776.0;266.0;311.0;135.0;65.0;1142.0;313.0;481.0;290.0;58.0;1216.0;410.0;500.0;220.0;86.0;1404.0;529.0;555.0;222.0;98.0
"Tuyen Quang";887.0;348.0;344.0;125.0;70.0;1162.0;472.0;410.0;194.0;86.0;1571.0;683.0;498.0;243.0;147.0;1757.0;738.0;518.0;328.0;173.0
"Lao Cai";819.0;345.0;324.0;105.0;45.0;1085.0;527.0;311.0;183.0;64.0;1468.0;644.0;411.0;345.0;68.0;1853.0;740.0;458.0;563.0;92.0
"Yen Bai";844.0;373.0;273.0;119.0;79.0;1114.0;520.0;326.0;187.0;81.0;1386.0;590.0;421.0;262.0;113.0;1802.0;773.0;496.0;369.0;164.0
"Thai Nguyen";1149.0;504.0;282.0;253.0;110.0;1747.0;869.0;397.0;350.0;132.0;2238.0;1087.0;473.0;526.0;152.0;3023.0;1623.0;553.0;660.0;187.0
"Lang Son";929.0;367.0;342.0;169.0;52.0;1212.0;475.0;468.0;202.0;68.0;1437.0;635.0;494.0;214.0;94.0;1684.0;809.0;457.0;275.0;143.0
"Bac Giang";1103.0;406.0;344.0;196.0;157.0;1568.0;668.0;473.0;235.0;192.0;2174.0;995.0;550.0;378.0;251.0;2767.0;1242.0;588.0;583.0;354.0
"Phu Tho";1126.0;519.0;228.0;244.0;135.0;1579.0;754.0;311.0;294.0;219.0;1954.0;940.0;389.0;327.0;298.0;2367.0;1219.0;534.0;307.0;307.0
"Dien Bien";611.0;196.0;306.0;61.0;48.0;819.0;364.0;323.0;52.0;80.0;1200.0;450.0;420.0;235.0;95.0;1222.0;446.0;398.0;229.0;149.0
"Lai Chau";567.0;205.0;255.0;59.0;48.0;758.0;237.0;337.0;120.0;64.0;987.0;373.0;390.0;137.0;87.0;1314.0;522.0;423.0;226.0;143.0
"Son La";802.0;224.0;444.0;86.0;48.0;1020.0;257.0;541.0;108.0;113.0;1178.0;400.0;565.0;149.0;64.0;1290.0;398.0;666.0;137.0;89.0
"Hoa Binh";829.0;379.0;286.0;85.0;79.0;1219.0;570.0;404.0;136.0;110.0;1598.0;707.0;459.0;279.0;153.0;1922.0;850.0;534.0;337.0;201.0
"Northern Central area and Central coastal area";1018.0;442.0;231.0;229.0;116.0;1505.0;679.0;320.0;343.0;163.0;1982.0;923.0;379.0;440.0;240.0;2432.0;1138.0;433.0;571.0;290.0
"Thanh Hoa";840.0;364.0;245.0;151.0;81.0;1207.0;545.0;294.0;248.0;120.0;1635.0;831.0;368.0;251.0;185.0;2206.0;1093.0;382.0;466.0;265.0
"Nghe An";920.0;391.0;246.0;136.0;147.0;1367.0;564.0;351.0;240.0;212.0;1583.0;657.0;367.0;307.0;252.0;1818.0;794.0;385.0;379.0;260.0
