"Monthly average living expenditure per capita at current prices by income quintile, by residence, by sex of household head and by region by Iterms, Year and Income quintile"

"Iterms";"2010 General average";"2010 Quintile 1";"2010 Quintile 2";"2010 Quintile 3";"2010 Quintile 4";"2010 Quintile 5";"2012 General average";"2012 Quintile 1";"2012 Quintile 2";"2012 Quintile 3";"2012 Quintile 4";"2012 Quintile 5";"2014 General average";"2014 Quintile 1";"2014 Quintile 2";"2014 Quintile 3";"2014 Quintile 4";"2014 Quintile 5";"Pre. 2016 General average";"Pre. 2016 Quintile 1";"Pre. 2016 Quintile 2";"Pre. 2016 Quintile 3";"Pre. 2016 Quintile 4";"Pre. 2016 Quintile 5"
"WHOLE COUNTRY";1139;499;720;914;1247;2311;1503;711;1030;1328;1713;2733;1763;828;1251;1581;2019;3135;2016;896;1318;1685;2204;3534
"Resicence - Urban";1726;769;1068;1466;2009;3318;2161;1117;1542;1953;2452;3737;2461;1286;1870;2191;2889;4066;2886;1375;1988;2520;3229;4632
"Resicence - Rural";891;460;644;788;1003;1560;1226;632;935;1150;1403;2012;1444;749;1095;1379;1651;2350;1609;834;1154;1491;1782;2576
"Sex of household head - Male";1077;488;697;880;1182;2140;1448;692;1023;1280;1654;2589;1698;815;1242;1547;1922;2962;1949;888;1282;1650;2169;3369
"Sex of household head - Female";1357;554;812;1072;1537;2814;1697;765;1114;1473;1975;3154;1982;864;1319;1739;2324;3669;2257;973;1449;1846;2409;4079
"Red River Delta";1343;649;833;1074;1439;2731;1764;945;1302;1512;1910;3148;2082;1133;1505;1781;2260;3728;2364;1228;1651;2026;2554;4040
"Northern midlands and mountain areas";815;372;483;691;904;1624;1119;545;717;974;1356;2002;1441;662;873;1189;1639;2837;1551;683;1083;1281;1690;2828
"North Central area and Central coastal area";958;460;646;785;1008;1890;1326;640;943;1167;1501;2380;1537;736;1121;1407;1809;2611;1685;829;1266;1544;1954;3069
"Central Highlands";915;403;623;823;1126;1596;1366;503;924;1265;1703;2428;1537;556;959;1414;1799;2952;1620;596;931;1395;2049;3055
"South East";1640;751;1004;1401;1745;3297;2036;1079;1435;1875;2373;3410;2282;1253;1767;2166;2574;3639;2846;1577;1914;2552;3088;4368
"Mekong River Delta";988;537;701;863;1083;1754;1273;752;941;1129;1395;2148;1484;896;1162;1422;1640;2293;1741;1016;1324;1582;1969;2760
