"Number of health establishments (*) by Items, Health establishments and Year"

"Items";"Health establishments";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Number (Unit)";"TOTAL";12972.0;13218.0;13269.0;1330.0;13264.0;13117.0;13172.0;13095.0;13162.0;13149.0;13243.0;13232.0;13438.0;13460.0;13450.0;13467.0;13506.0;13523.0;13562.0;13611.0;13617.0;13591.0
"Number (Unit)";"Hospital";791.0;821.0;825.0;836.0;833.0;835.0;836.0;842.0;842.0;856.0;878.0;903.0;956.0;974.0;1002.0;1030.0;1040.0;1042.0;1069.0;1063.0;1071.0;1077.0
"Number (Unit)";"Sanatorium and rehabilitation hospital";103.0;120.0;121.0;119.0;112.0;92.0;71.0;76.0;77.0;53.0;53.0;51.0;51.0;40.0;43.0;44.0;59.0;59.0;60.0;61.0;61.0;62.0
"Number (Unit)";"Regional polyclinic";1150.0;1131.0;1106.0;1108.0;1024.0;936.0;928.0;912.0;930.0;881.0;880.0;847.0;829.0;781.0;682.0;622.0;620.0;631.0;636.0;635.0;630.0;609.0
"Number (Unit)";"Medical service units in communes, precincts";9670.0;9935.0;10014.0;10078.0;10109.0;10271.0;10385.0;10396.0;10448.0;10516.0;10613.0;10672.0;10851.0;10917.0;10979.0;11028.0;11047.0;11049.0;11055.0;11110.0;11113.0;11102.0
"Number (Unit)";"Medical service units in offices, enterprises";1170.0;1123.0;1123.0;1123.0;1120.0;918.0;891.0;810.0;810.0;789.0;769.0;710.0;710.0;710.0;710.0;710.0;710.0;710.0;710.0;710.0;710.0;710.0
"Number (Unit)";"Others";..;..;..;..;..;65.0;61.0;59.0;55.0;54.0;50.0;49.0;41.0;38.0;34.0;33.0;30.0;32.0;32.0;32.0;32.0;31.0
"Index (Previous year = 100) (%)";"TOTAL";100.2;101.9;100.4;100.5;99.5;98.9;100.4;99.4;100.5;99.9;100.7;99.9;101.6;100.2;99.9;100.1;100.3;100.1;100.3;100.4;100.0;99.8
"Index (Previous year = 100) (%)";"Hospital";101.5;103.8;100.5;101.3;99.6;100.2;100.1;100.7;100.0;101.7;102.6;102.8;105.9;101.9;102.9;102.8;101.0;100.2;102.6;99.4;100.8;100.6
"Index (Previous year = 100) (%)";"Sanatorium and rehabilitation hospital";95.4;116.5;100.8;98.3;94.1;82.1;77.2;107.0;101.3;68.8;100.0;96.2;100.0;78.4;107.5;102.3;134.1;100.0;101.7;101.7;100.0;101.6
"Index (Previous year = 100) (%)";"Regional polyclinic";103.0;98.3;97.8;100.2;92.4;91.4;99.1;98.3;102.0;94.7;99.9;96.3;97.9;94.2;87.3;91.2;99.7;101.8;100.8;99.8;99.2;96.7
"Index (Previous year = 100) (%)";"Medical service units in communes, precincts";100.1;102.7;100.8;100.6;100.3;101.6;101.1;100.1;100.5;100.7;100.9;100.6;101.7;100.6;100.6;100.4;100.2;100.0;100.1;100.5;100.0;99.9
"Index (Previous year = 100) (%)";"Medical service units in offices, enterprises";99.7;96.0;100.0;100.0;99.7;82.0;97.1;90.9;100.0;97.4;97.5;92.3;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Index (Previous year = 100) (%)";"Others";..;..;..;..;..;98.5;93.8;96.7;93.2;98.2;92.6;98.0;83.7;92.7;89.5;97.1;90.9;106.7;100.0;100.0;100.0;96.9
