"Number of health staffs(*) by Iterms, Health staffs and Year"

"Iterms";"Health staffs";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Total - Thous. persons";"Medical staff - Doctor";30.60;31.93;32.89;34.17;37.10;39.20;41.00;44.50;47.20;50.10;51.50;52.80;54.80;57.30;60.80;61.40;62.80;65.10;68.60;71.80;73.80;77.50
"Total - Thous. persons";"Medical staff - Assistant physician";45.00;46.56;47.86;49.30;51.20;50.80;50.90;50.60;48.70;49.20;49.70;48.80;48.80;49.80;51.80;52.20;54.20;54.60;57.10;58.30;58.40;57.20
"Total - Thous. persons";"Medical staff - Nurse";47.60;45.85;46.17;46.54;45.50;46.20;45.90;46.40;47.80;49.20;51.60;55.40;60.30;65.10;71.50;82.30;88.10;92.20;98.30;102.00;102.70;106.70
"Total - Thous. persons";"Medical staff - Midwive";11.70;12.57;12.78;13.14;13.60;14.20;14.50;15.40;16.20;17.50;18.10;19.00;20.80;23.00;25.00;26.80;27.90;28.00;29.00;29.10;29.10;28.80
"Total - Thous. persons";"Medical staff - Doctor per 10000 inhabitant (Pers.)";4.25;4.37;4.43;4.53;4.84;5.00;5.20;5.60;5.80;6.10;6.20;6.30;6.50;6.70;7.10;7.10;7.10;7.30;7.60;7.90;8.00;8.40
"Total - Thous. persons";"Pharmaceutical staff(**) - Pharmacists of high degree";5.70;5.76;5.74;4.00;5.80;6.00;6.00;6.10;5.60;5.60;5.56;5.50;5.70;5.80;5.70;5.60;5.80;10.30;8.40;9.30;9.60;10.20
"Total - Thous. persons";"Pharmaceutical staff(**) - Pharmacists of middle degree";6.40;6.49;6.48;7.00;7.10;7.80;8.50;9.00;9.70;9.10;9.50;10.80;12.40;13.90;15.90;17.90;20.50;30.30;20.30;21.90;21.90;21.50
"Total - Thous. persons";"Pharmaceutical staff(**) - Assistant pharmacists";9.30;9.17;9.20;9.27;9.30;9.30;9.60;9.60;9.40;7.90;8.10;7.90;8.50;8.60;8.10;7.20;6.60;7.50;1.70;1.80;1.80;1.30
"Index (Previous year = 100) - %";"Medical staff - Doctor";..;104.36;102.99;103.91;108.56;105.66;104.59;108.54;106.07;106.14;102.79;102.52;103.79;104.56;106.11;100.99;102.28;103.70;105.40;104.70;102.80;105.10
"Index (Previous year = 100) - %";"Medical staff - Assistant physician";..;103.48;102.78;103.01;103.86;99.22;100.20;99.41;96.25;101.03;101.02;98.19;100.00;102.05;104.02;100.77;103.83;100.70;104.60;102.10;100.20;97.90
"Index (Previous year = 100) - %";"Medical staff - Nurse";..;96.32;100.69;100.81;97.77;101.54;99.35;101.09;103.02;102.93;104.88;107.36;108.84;107.96;109.83;115.10;107.05;104.70;106.60;103.80;100.70;103.80
"Index (Previous year = 100) - %";"Medical staff - Midwive";..;107.41;101.69;102.85;103.48;104.41;102.11;106.21;105.19;108.02;103.43;104.97;109.47;110.58;108.70;107.20;104.10;100.40;103.60;100.30;100.00;98.80
"Index (Previous year = 100) - %";"Medical staff - Doctor per 10000 inhabitant (Pers.)";..;102.70;101.40;102.33;106.95;103.23;104.00;107.69;103.57;105.17;101.64;101.61;103.17;103.08;105.97;100.00;100.00;102.80;104.10;104.10;101.60;104.00
"Index (Previous year = 100) - %";"Pharmaceutical staff(**) - Pharmacists of high degree";..;101.05;99.58;69.72;145.04;103.45;100.00;101.67;91.80;100.00;99.29;98.92;103.64;101.75;98.28;98.25;103.57;177.60;81.60;110.70;104.10;105.80
"Index (Previous year = 100) - %";"Pharmaceutical staff(**) - Pharmacists of middle degree";..;101.47;99.78;108.02;101.43;109.86;108.97;105.88;107.78;93.81;104.40;113.68;114.81;112.10;114.39;112.58;114.53;147.80;67.00;107.90;100.10;98.30
"Index (Previous year = 100) - %";"Pharmaceutical staff(**) - Assistant pharmacists";..;98.57;100.36;100.72;100.37;100.00;103.23;100.00;97.92;84.04;102.53;97.53;107.59;101.18;94.19;88.89;91.67;113.60;22.70;105.90;97.00;73.00
