"Number of patient beds by management level(*) by Items, Health establishments, Year and Management level"

"Items";"Health establishments";"2005 Total";"2005 Under Ministry of Health";"2005 Under provincial departments of health";"2005 Under others";"2006 Total";"2006 Under Ministry of Health";"2006 Under provincial departments of health";"2006 Under others";"2007 Total";"2007 Under Ministry of Health";"2007 Under provincial departments of health";"2007 Under others";"2008 Total";"2008 Under Ministry of Health";"2008 Under provincial departments of health";"2008 Under others";"2009 Total";"2009 Under Ministry of Health";"2009 Under provincial departments of health";"2009 Under others";"2010 Total";"2010 Under Ministry of Health";"2010 Under provincial departments of health";"2010 Under others";"2011 Total";"2011 Under Ministry of Health";"2011 Under provincial departments of health";"2011 Under others";"2012 Total";"2012 Under Ministry of Health";"2012 Under provincial departments of health";"2012 Under others";"2013 Total";"2013 Under Ministry of Health";"2013 Under provincial departments of health";"2013 Under others";"2014 Total";"2014 Under Ministry of Health";"2014 Under provincial departments of health";"2014 Under others";"2015 Total";"2015 Under Ministry of Health";"2015 Under provincial departments of health";"2015 Under others";"2016 Total";"2016 Under Ministry of Health";"2016 Under provincial departments of health";"2016 Under others"
"Number (Bed)";"TOTAL";197259.00;12680.00;170276.00;14303.00;198427.00;12680.00;176792.00;8955.00;210843.00;13820.00;188130.00;8893.00;219784.00;15340.00;195494.00;8950.00;232925.00;17102.00;206323.00;9500.00;246283.00;14700.00;221633.00;9950.00;266699.00;23556.00;229928.00;13215.00;275105.00;24210.00;237190.00;13705.00;280719.00;22490.00;245014.00;13215.00;295778.00;26756.00;255807.00;13215.00;306076.00;26756.00;266395.00;12925.00;305687.00;20371.00;273066.00;12250.00
"Number (Bed)";"Hospital";127016.00;12100.00;111286.00;3630.00;131480.00;12100.00;117355.00;2025.00;142803.00;13250.00;127553.00;2000.00;151813.00;14760.00;134683.00;2370.00;163935.00;16462.00;144843.00;2630.00;176608.00;13950.00;159573.00;3085.00;195490.00;23176.00;167619.00;4695.00;203375.00;23450.00;174230.00;5695.00;208278.00;22270.00;181313.00;4695.00;222025.00;26636.00;190694.00;4695.00;232899.00;26636.00;201228.00;5035.00;232342.00;20251.00;208001.00;4090.00
"Number (Bed)";"Sanatorium and rehabilitation hospital";7723.00;260.00;2748.00;4715.00;4399.00;260.00;2754.00;1385.00;4448.00;250.00;2813.00;1385.00;4348.00;250.00;2998.00;1100.00;4862.00;250.00;3192.00;1420.00;5026.00;260.00;3266.00;1500.00;6322.00;260.00;3192.00;2870.00;7716.00;..;3686.00;4030.00;6280.00;..;3410.00;2870.00;6667.00;..;3797.00;2870.00;6290.00;..;4065.00;2225.00;6870.00;..;4000.00;2870.00
"Number (Bed)";"Regional polyclinic";9312.00;20.00;8717.00;575.00;9334.00;20.00;8739.00;575.00;9231.00;30.00;8663.00;538.00;8715.00;30.00;8175.00;510.00;8124.00;40.00;7604.00;480.00;7690.00;70.00;7225.00;395.00;7734.00;120.00;6934.00;680.00;7801.00;120.00;7081.00;600.00;7787.00;100.00;7007.00;680.00;8493.00;..;7813.00;680.00;7638.00;..;6943.00;695.00;7644.00;..;7324.00;320.00
"Number (Bed)";"Medical service units in communes, precincts";45786.00;..;45786.00;..;46094.00;..;46094.00;..;47305.00;..;47305.00;..;47979.00;..;47979.00;..;49405.00;..;49405.00;..;50294.00;..;50294.00;..;50632.00;..;50632.00;..;50739.00;..;50739.00;..;51815.00;..;51815.00;..;52143.00;..;52143.00;..;52824.00;..;52824.00;..;52241.00;..;52241.00;..
"Number (Bed)";"Medical service units in offices, enterprises";5383.00;..;..;5383.00;4970.00;..;..;4970.00;4970.00;..;..;4970.00;4970.00;..;..;4970.00;4970.00;..;..;4970.00;4970.00;..;..;4970.00;4970.00;..;..;4970.00;3380.00;..;..;3380.00;4970.00;..;..;4970.00;4970.00;..;..;4970.00;4970.00;..;..;4970.00;4970.00;..;..;4970.00
"Number (Bed)";"Others";2039.00;300.00;1739.00;..;2150.00;300.00;1850.00;..;2086.00;290.00;1796.00;..;1959.00;300.00;1659.00;..;1629.00;350.00;1279.00;..;1695.00;420.00;1275.00;..;1551.00;..;1551.00;..;2094.00;640.00;1454.00;..;1589.00;120.00;1469.00;..;1480.00;120.00;1360.00;..;1455.00;120.00;1335.00;..;1620.00;120.00;1500.00;..
"Index (Previous year = 100) - %";"TOTAL";100.50;100.00;102.40;82.30;100.60;100.00;103.80;62.60;106.30;109.00;106.40;99.30;104.20;111.00;103.90;100.60;106.00;111.50;105.50;106.10;105.73;85.95;107.42;104.74;108.30;160.20;103.70;132.80;103.15;102.78;103.16;103.71;102.04;92.90;103.30;96.42;105.40;119.00;104.40;100.00;103.50;100.00;104.10;97.80;99.90;76.10;102.50;94.80
"Index (Previous year = 100) - %";"Hospital";102.20;100.00;102.50;100.00;103.50;100.00;105.50;55.80;108.60;109.50;108.70;98.80;106.30;111.40;105.60;118.50;108.00;111.50;107.50;111.00;107.73;84.74;110.17;117.30;110.70;166.10;105.00;152.20;104.03;101.18;103.94;121.30;102.41;94.97;104.07;82.44;106.60;119.60;105.20;100.00;104.90;100.00;105.50;107.20;99.80;76.00;103.40;81.20
"Index (Previous year = 100) - %";"Sanatorium and rehabilitation hospital";96.40;100.00;104.50;92.10;57.00;100.00;100.20;29.40;101.10;96.20;102.10;100.00;97.80;100.00;106.60;79.40;111.80;100.00;106.50;129.10;103.37;104.00;102.32;105.63;125.80;100.00;97.70;191.30;122.05;..;115.48;140.42;81.39;..;92.51;71.22;106.20;..;111.30;100.00;94.30;..;107.10;77.50;109.20;..;98.40;129.00
"Index (Previous year = 100) - %";"Regional polyclinic";103.20;100.00;102.00;127.80;100.20;100.00;100.30;100.00;98.90;150.00;99.10;93.60;94.40;100.00;94.40;94.80;93.20;133.30;93.00;94.10;94.66;175.00;95.02;82.29;100.60;171.40;96.00;172.20;100.87;100.00;102.12;88.24;99.82;83.33;98.95;113.33;109.10;..;111.50;100.00;89.90;..;88.90;102.20;100.10;..;105.50;46.00
"Index (Previous year = 100) - %";"Medical service units in communes, precincts";102.60;..;102.60;..;100.70;..;100.70;..;102.60;..;102.60;..;101.40;..;101.40;..;103.00;..;103.00;..;101.80;..;101.80;..;100.67;..;100.67;..;100.21;..;100.21;..;102.12;..;102.12;..;100.60;..;100.60;..;101.30;..;101.30;..;98.90;..;98.90;..
"Index (Previous year = 100) - %";"Medical service units in offices, enterprises";65.90;..;..;65.90;92.30;..;..;92.30;100.00;..;..;100.00;100.00;..;..;100.00;100.00;..;100.00;..;100.00;..;..;100.00;100.00;..;..;100.00;68.01;..;..;68.01;147.04;..;..;147.04;100.00;..;..;100.00;100.00;..;..;100.00;100.00;..;..;100.00
"Index (Previous year = 100) - %";"Others";94.70;100.00;93.90;..;105.40;100.00;106.40;..;97.00;96.70;97.10;..;93.90;103.40;92.40;..;83.20;116.70;77.10;..;104.05;120.00;99.69;..;91.50;..;121.65;..;135.01;..;93.75;..;75.88;..;101.03;..;93.10;100.00;92.60;..;98.30;100.00;98.20;..;111.30;100.00;112.40;..
