"Percentage of children under 1 year old immunized fully caccinations by province by Cities, provincies and Year"

"Cities, provincies";"2010";"2013";"2014";"2015";"Pre. 2016"
" WHOLE COUNTRY";94.6;91.4;97.1;97.2;98.0
"Red River Delta";98.6;94.0;98.6;98.8;98.9
"Ha Noi";99.2;94.9;95.0;99.2;99.8
"Vinh Phuc";96.6;92.0;98.5;98.7;98.7
"Bac Ninh";98.3;98.0;99.8;99.0;99.1
"Quang Ninh";93.3;85.1;95.6;97.1;98.1
"Hai Duong";99.2;96.2;99.1;99.4;99.0
"Hai Phong";99.5;98.3;97.9;98.4;97.1
"Hung Yen";97.9;73.5;97.8;98.2;97.1
"Thai Binh";99.6;97.7;99.0;99.3;99.7
"Ha Nam";99.9;96.1;99.5;99.3;99.3
"Nam Dinh";98.8;97.3;97.0;97.6;98.2
"Ninh Binh";99.2;96.6;97.4;98.6;98.8
"Northern midlands and mountain areas";94.5;90.6;96.8;97.8;97.4
"Ha Giang";88.3;76.7;92.7;96.4;96.2
"Cao Bang";97.2;87.4;95.5;97.3;94.6
"Bac Kan";94.2;89.9;97.2;98.7;98.4
"Tuyen Quang";98.0;85.6;97.3;97.3;95.3
"Lao Cai";94.8;87.6;96.6;97.8;98.0
"Yen Bai";94.9;95.4;98.8;98.8;98.3
"Thai Nguyen";87.7;93.6;97.1;97.8;98.2
"Lang Son";98.6;73.2;98.4;96.1;97.8
"Bac Giang";96.6;100.0;99.6;98.6;99.5
"Phu Tho";98.5;93.0;99.5;99.6;99.6
"Dien Bien";93.1;90.2;89.4;96.0;93.7
"Lai Chau";94.0;92.4;93.3;97.0;93.6
"Son La";92.2;90.7;96.2;97.6;96.2
"Hoa Binh";96.0;93.1;97.3;97.0;97.6
"Northern Central area and Central coastal area";97.3;90.9;97.0;98.6;98.5
"Thanh Hoa";96.6;86.5;99.1;97.6;99.5
"Nghe An";95.7;87.6;94.3;98.5;97.0
"Ha Tinh";97.9;97.6;98.3;98.7;99.0
"Quang Binh";95.8;87.2;86.3;99.8;100.0
"Quang Tri";97.9;89.2;95.9;98.1;98.4
"Thua Thien-Hue";97.5;92.1;98.6;98.2;98.8
"Da Nang";100.0;81.5;99.2;100.0;98.9
"Quang  Nam";98.2;98.2;98.0;98.8;97.5
"Quang  Ngai";99.5;89.9;98.9;99.4;99.1
"Binh Dinh";97.8;97.4;99.6;99.2;99.6
"Phu Yen";97.6;94.0;98.1;98.9;98.1
"Khanh  Hoa";96.2;93.9;97.4;98.4;98.4
"Ninh  Thuan";97.7;95.0;97.1;98.1;98.2
"Binh Thuan";97.9;92.3;95.3;98.4;97.6
"Central Highlands";93.8;81.8;95.0;94.7;96.5
"Kon Tum";93.4;83.1;95.9;96.6;97.2
"Gia Lai";89.0;84.2;93.6;94.2;96.5
"Dak Lak";96.2;83.4;93.9;93.6;96.1
"Dak Nong";95.6;86.9;94.2;94.5;95.2
"Lam Dong";96.0;73.4;98.7;95.9;97.7
"South East";94.1;93.0;97.7;93.8;96.8
"Binh Phuoc";94.6;91.2;93.7;93.2;99.0
"Tay Ninh";97.6;90.5;98.0;97.5;98.2
"Binh Duong";96.1;93.0;98.3;90.8;99.5
"Dong Nai";96.9;97.1;99.4;97.6;98.4
"Ba Ria - Vung Tau";97.9;96.2;92.6;97.9;96.5
"Ho Chi Minh city";90.8;91.2;98.3;91.9;94.7
"Mekong River Delta";88.1;91.6;97.6;97.2;98.4
"Long An";96.5;93.6;97.4;97.3;99.0
"Tien Giang";99.4;88.5;98.3;98.3;99.4
"Ben Tre";86.8;88.8;95.5;96.1;97.1
"Tra Vinh";70.8;93.0;98.1;98.9;99.7
"Vinh Long";90.7;92.7;98.3;99.4;96.5
"Dong Thap";92.2;92.5;97.4;95.5;98.1
"An Giang";64.0;93.3;97.2;93.8;97.7
"Kien  Giang";93.6;93.7;97.6;96.2;99.1
"Can Tho";98.3;96.8;99.1;99.1;98.7
"Hau Giang";98.4;99.8;97.3;98.8;98.4
"Soc Trang";92.5;85.9;98.4;98.9;98.1
"Bac Lieu";97.4;88.9;95.1;96.1;97.0
"Ca Mau";90.1;86.1;98.4;99.1;98.9
