"Percentage of households having house by type of house and by province by Cities, provincies, Year and Type of house"

"Cities, provincies";"2014 Total";"2014 Permanent house";"2014 Semi-Permanent house";"2014 Less-temporary house";"2014 Simple permanent house";"Pre. 2016 Total";"Pre. 2016 Permanent house";"Pre. 2016 Semi-Permanent house";"Pre. 2016 Less-temporary house";"Pre. 2016 Simple permanent house"
" WHOLE COUNTRY";100.0;50.5;40.3;5.7;3.5;100.0;49.7;42.5;5.2;2.6
"Red River Delta";100.0;93.0;6.7;0.2;0.1;100.0;92.9;6.9;0.1;0.1
"Ha Noi";100.0;92.7;7.2;0.1;0.0;100.0;91.8;8.1;0.1;..
"Vinh Phuc";100.0;91.9;8.0;0.1;..;100.0;88.7;11.2;0.1;..
"Bac Ninh";100.0;93.2;6.8;..;..;100.0;90.2;9.7;0.1;..
"Quang Ninh";100.0;91.4;5.8;2.4;0.4;100.0;93.1;4.6;1.5;0.8
"Hai Duong";100.0;95.5;4.5;..;..;100.0;95.1;4.9;..;..
"Hai Phong";100.0;80.1;19.6;0.3;..;100.0;84.7;15.3;..;..
"Hung Yen";100.0;92.0;7.9;..;0.1;100.0;95.9;4.1;..;..
"Thai Binh";100.0;98.4;1.5;..;0.1;100.0;96.5;3.4;..;0.1
"Ha Nam";100.0;96.3;3.2;0.3;0.2;100.0;94.7;5.0;0.3;..
"Nam Dinh";100.0;95.8;3.9;..;0.3;100.0;96.5;3.4;0.1;..
"Ninh Binh";100.0;97.2;2.8;..;..;100.0;97.1;2.9;..;..
"Northern midlands and mountain areas";100.0;50.2;30.8;11.8;7.2;100.0;49.0;34.3;10.6;6.1
"Ha Giang";100.0;17.1;34.9;29.7;18.3;100.0;25.6;39.4;20.8;14.2
"Cao Bang";100.0;45.6;41.4;7.4;5.6;100.0;46.3;42.9;7.2;3.6
"Bac Kan";100.0;29.8;42.2;19.4;8.6;100.0;30.9;47.6;16.9;4.6
"Tuyen Quang";100.0;43.6;22.9;15.9;17.6;100.0;39.1;28.2;16.6;16.1
"Lao Cai";100.0;26.1;38.4;29.1;6.4;100.0;27.5;40.5;24.8;7.2
"Yen Bai";100.0;17.9;44.3;22.1;15.7;100.0;16.9;48.5;22.3;12.3
