"Percentage of households having house by type of house, by residence, by region and by income quintile by Iterms, Year and Type of house"

"Iterms";"2014 Total";"2014 Permanent house";"2014 Semi-Permanent house";"2014 Less-temporary house";"2014 Simple permanent house";"Pre. 2016 Total";"Pre. 2016 Permanent house";"Pre. 2016 Semi-Permanent house";"Pre. 2016 Less-temporary house";"Pre. 2016 Simple permanent house"
"WHOLE COUNTRY";100.0;50.5;40.3;5.7;3.5;100.0;49.7;42.5;5.2;2.6
"Urban";100.0;48.1;48.6;2.2;1.1;100.0;47.8;49.9;1.7;0.6
"Rural";100.0;51.7;36.5;7.2;4.6;100.0;50.6;39.0;6.9;3.5
"Red River Delta";100.0;93.0;6.7;0.2;0.1;100.0;92.9;6.9;0.1;0.1
"Northern midlands and mountain areas";100.0;50.2;30.8;11.8;7.2;100.0;49.0;34.3;10.6;6.1
"North Central area and Central coastal area";100.0;67.3;28.3;2.5;1.9;100.0;67.4;28.1;2.8;1.7
"Central Highlands";100.0;17.3;75.6;5.9;1.2;100.0;18.0;76.0;5.3;0.7
"South East";100.0;19.3;77.9;1.6;1.2;100.0;18.0;79.9;1.3;0.8
"Mekong River Delta";100.0;9.4;64.2;16.2;10.2;100.0;9.2;69.3;14.7;6.8
"Income quintile - Quintile 1";100.0;42.3;34.7;13.5;9.5;100.0;40.3;38.1;13.5;8.1
"Income quintile - Quintile 2";100.0;49.8;38.0;7.9;4.3;100.0;47.5;40.9;8.1;3.5
"Income quintile - Quintile 3";100.0;52.1;41.1;4.3;2.5;100.0;50.9;43.2;4.3;1.6
"Income quintile - Quintile 4";100.0;52.2;44.1;2.4;1.3;100.0;51.1;46.0;2.0;0.9
"Income quintile - Quintile 5";100.0;55.2;42.9;1.3;0.6;100.0;55.3;43.1;1.2;0.4
