"Some key social indicators by Social indicators and Year"

"Social indicators";"2006";"2008";"2010";"2012";"2013";"2014";"2015";"Prel. 2016"
"Human Development Index (HDI)";..;..;0.649;0.662;0.667;0.682;0.688;0.695
"Life expectancy at birth (Year)";..;..;..;73.050;73.100;73.230;73.310;73.390
"Mean years of schooling";..;..;..;7.450;7.580;8.300;8.380;8.490
"Expected years of schooling";..;..;..;11.190;11.250;11.310;11.370;11.450
"Gross national income per capital (Mill. dongs)";..;..;..;35.100;38.200;41.300;43.400;46.600
"Monthly average income per capita at current prices (Thous. dongs)";636.000;995.000;1387.000;2000.000;..;2637.000;..;3049.000
"Index of income inequality distribution (GINI index)";0.424;0.434;0.433;0.424;..;0.430;..;0.436
"Monthly average expenditure per capita at current prices (Thous. dongs)";511.000;792.000;1211.000;1603.000;..;1888.000;..;2157.000
"Poverty rate(*) (%)";15.500;13.400;14.200;11.100;9.800;8.400;7.000;5.800
"Patient bed per 10,000 inhabitants (Bed)(**)";..;..;22.000;24.900;25.000;26.300;27.100;26.800
"Doctor  per 10,000 inhabitants (Person)";..;..;7.100;7.300;7.600;7.900;8.000;8.400
"Percentage of household having hygienic water (%)";89.100;92.100;90.500;91.000;..;93.000;..;93.400
"Percentage of household using electricity (%)";96.000;97.600;97.200;97.600;..;98.300;..;98.800
"Percentage of households having durable goods (%)";99.000;99.000;98.400;99.400;..;99.700;..;99.700
"Average dwelling area per capita (m2)";14.700;16.300;17.900;19.400;..;21.400;..;22.200
