"Under-five-malnutrition rate by sex and by residence by Indicators and Year"

"Indicators";"2010";"2013";"2014";"2015";"Pre. 2016"
"Rate of weight-for-age malnutrition - Total";17.5;15.3;14.5;14.1;13.9
"Rate of weight-for-age malnutrition - Male";..;..;15.0;14.5;14.2
"Rate of weight-for-age malnutrition - Female";..;..;14.1;13.8;13.6
"Rate of weight-for-age malnutrition - Urban";..;..;8.7;7.8;7.5
"Rate of weight-for-age malnutrition - Rural";..;..;17.1;17.1;16.9
"Rate of height-for-age malnutrition - Total";29.3;25.9;24.9;24.6;24.5
"Rate of height-for-age malnutrition - Male";..;..;26.7;24.9;24.7
"Rate of height-for-age malnutrition - Female";..;..;23.1;22.6;22.5
"Rate of height-for-age malnutrition - Urban";..;..;15.9;10.8;10.6
"Rate of height-for-age malnutrition - Rural";..;..;28.7;28.1;28.0
"Rate of weight-for-height malnutrition - Total";7.1;6.6;6.8;6.4;6.3
"Rate of weight-for-height malnutrition - Male";..;..;7.5;6.9;6.8
"Rate of weight-for-height malnutrition - Female";..;..;6.2;5.8;5.7
"Rate of weight-for-height malnutrition - Urban";..;..;5.7;5.2;5.1
"Rate of weight-for-height malnutrition - Rural";..;..;8.5;8.4;8.3
