"Indicators";"X2010";"X2013";"X2014";"X2015";"Pre..2016"
"Indicators";"X2010";"X2013";"X2014";"X2015";"Pre..2016"
"rate_of_weight_for_age_malnutrition_total";"17.5";"15.3";"14.5";"14.1";"13.9"
"rate_of_weight_for_age_malnutrition_male";NA;NA;"15";"14.5";"14.2"
"rate_of_weight_for_age_malnutrition_female";NA;NA;"14.1";"13.8";"13.6"
"rate_of_height_for_age_malnutrition_total";"29.3";"25.9";"24.9";"24.6";"24.5"
"rate_of_height_for_age_malnutrition_male";NA;NA;"26.7";"24.9";"24.7"
"rate_of_height_for_age_malnutrition_female";NA;NA;"23.1";"22.6";"22.5"
"rate_of_weight_for_height_malnutrition_total";"7.1";"6.6";"6.8";"6.4";"6.3"
"rate_of_weight_for_height_malnutrition_male";NA;NA;"7.5";"6.9";"6.8"
"rate_of_weight_for_height_malnutrition_female";NA;NA;"6.2";"5.8";"5.7"
