"Main industrial products by types of ownership by Main industrial products, Types of ownership and Year"

"Main industrial products";"Types of ownership";"2005";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"Coal (Thous. Tons)";"Total";34093.0;44078.0;44835.0;46611.0;42083.0;41064.0;41086.0;41664.0;38527.0
"Coal (Thous. Tons)";"State";32944.0;43025.0;43500.0;44984.0;40512.0;39655.0;39763.0;40334.0;37673.0
"Coal (Thous. Tons)";"Non-State";639.0;620.0;577.0;734.0;674.0;751.0;496.0;698.0;510.0
"Coal (Thous. Tons)";"Foreign invested sector";510.0;433.0;758.0;893.0;897.0;658.0;827.0;632.0;344.0
"Crude oil (Thous. Tons)";"Total";18519.0;16360.0;15014.0;15185.0;16739.0;16705.0;17392.0;18746.0;17230.0
"Crude oil (Thous. Tons)";"State";..;83.0;186.0;245.0;652.0;572.0;351.0;372.0;653.0
"Crude oil (Thous. Tons)";"Non-State";..;..;..;..;..;..;..;..;..
"Crude oil (Thous. Tons)";"Foreign invested sector";18519.0;16277.0;14828.0;14940.0;16087.0;16133.0;17041.0;18374.0;16577.0
"Sea salt (Thous. Tons)";"Total";897.7;679.0;975.3;862.0;776.4;718.1;905.6;1061.0;933.2
"Sea salt (Thous. Tons)";"State";229.2;48.7;8.8;6.2;7.1;5.8;6.3;6.8;7.2
"Sea salt (Thous. Tons)";"Non-State";588.5;617.2;929.4;832.1;729.7;675.5;855.1;983.0;868.0
"Sea salt (Thous. Tons)";"Foreign invested sector";80.0;13.1;37.1;23.7;39.6;36.8;44.2;71.2;58.0
"Refined sugar (Thous. Tons)";"Total";1102.3;1103.2;1141.5;1306.8;1634.3;1860.3;1863.4;1842.1;1654.4
"Refined sugar (Thous. Tons)";"State";504.1;404.6;264.7;254.8;122.3;118.5;119.1;85.9;79.9
"Refined sugar (Thous. Tons)";"Non-State";255.0;398.9;609.2;803.9;1220.9;1403.6;1387.6;1463.7;1325.8
"Refined sugar (Thous. Tons)";"Foreign invested sector";343.2;299.7;267.6;248.1;291.1;338.2;356.7;292.5;248.7
"Chemical fertilizer (Thous. Tons)";"Total";2189.5;2359.9;2411.3;2602.0;3205.0;3730.8;3829.4;3729.1;3638.4
"Chemical fertilizer (Thous. Tons)";"State";2176.6;2342.6;2400.1;2513.8;3120.8;3613.9;3724.7;3625.0;3471.0
"Chemical fertilizer (Thous. Tons)";"Non-State";12.9;17.1;11.2;88.2;84.2;116.9;104.7;104.1;167.4
"Chemical fertilizer (Thous. Tons)";"Foreign invested sector";..;0.2;..;..;..;..;..;..;..
"NPK fertilizers (Thous. Tons)";"Total";2083.5;2527.0;2645.4;3118.0;3295.2;3372.3;3387.1;3304.1;3019.0
"NPK fertilizers (Thous. Tons)";"State";1560.6;1670.8;1845.4;2148.9;2121.9;2088.5;2097.2;1924.7;1721.0
"NPK fertilizers (Thous. Tons)";"Non-State";176.2;476.0;412.1;553.9;747.6;756.7;791.5;981.9;897.8
"NPK fertilizers (Thous. Tons)";"Foreign invested sector";346.7;380.2;387.9;415.2;425.7;527.1;498.4;397.5;400.2
"Cement (Thous. Tons)";"Total";30808.0;48810.0;55801.0;58271.0;56353.0;57516.0;60982.0;67645.0;77278.0
"Cement (Thous. Tons)";"State";19724.0;25066.0;27546.0;25245.0;26411.0;27189.0;28101.0;31146.0;34915.0
"Cement (Thous. Tons)";"Non-State";2903.0;8676.0;10644.0;14849.0;14594.0;14563.0;14631.0;18161.0;22998.0
"Cement (Thous. Tons)";"Foreign invested sector";8181.0;15068.0;17611.0;18177.0;15348.0;15764.0;18250.0;18338.0;19365.0
"Steel bars (Thous. Tons)";"Total";473.5;1702.3;2906.4;2930.8;2964.8;3484.3;3954.0;4092.7;4901.0
"Steel bars (Thous. Tons)";"State";23.0;304.6;489.7;524.3;653.3;630.5;529.6;863.9;1154.6
"Steel bars (Thous. Tons)";"Non-State";441.9;1033.8;1899.9;1876.3;1718.6;2203.1;2440.2;1775.3;2042.0
"Steel bars (Thous. Tons)";"Foreign invested sector";8.6;363.9;516.8;530.2;592.9;650.7;984.2;1453.5;1704.4
"Steel (Thous. Tons)";"Total";3403.2;7497.9;8414.5;8084.9;8405.4;9251.9;10739.0;12543.3;15083.3
"Steel (Thous. Tons)";"State";1133.7;1327.1;1860.2;1674.1;1662.1;1526.0;1635.0;1740.1;1888.0
"Steel (Thous. Tons)";"Non-State";1284.4;4415.5;3482.0;3367.4;3517.1;4246.3;5283.2;6256.7;7594.1
"Steel (Thous. Tons)";"Foreign invested sector";985.1;1755.3;3072.3;3043.4;3226.2;3479.6;3820.8;4546.5;5601.2
"Electricity (Mill. Kwh)";"Total";52078.0;80643.0;91722.0;101499.0;115147.0;124454.0;141250.0;157949.0;175745.0
"Electricity (Mill. Kwh)";"State";49250.0;57002.0;67678.0;76818.0;103157.0;111140.0;123291.0;133081.0;146328.0
"Electricity (Mill. Kwh)";"Non-State";9.0;15.0;1721.0;1958.0;3523.0;3914.0;5941.0;7333.0;8235.0
"Electricity (Mill. Kwh)";"Foreign invested sector";2819.0;23626.0;22323.0;22723.0;8467.0;9400.0;12018.0;17535.0;21182.0
