"Direct investment oversea projects licensed by kinds of economic activity (Accumulation of projects having effect as of 31/12/2016) chia theo Kinds of economic activity và Iterms"

"Kinds of economic activity";"Number of projects";"Total registered capital (Mill. USD)(*)"
"TOTAL";943.0;19669.7
"Agriculture, forestry and fishing";104.0;3034.8
"Mining and quarrying";56.0;8061.7
"Manufacturing";113.0;1002.5
"Electricity, gas, stream and air conditioning supply";8.0;1483.7
"Water supply, sewerage, waste management and remediation activities";2.0;0.6
"Construction";51.0;23.7
"Wholesale and retail trade; Repair of motor vehicles and motorcycles";251.0;338.7
"Transporation and storage";26.0;55.0
"Accommodation and food service activities";48.0;152.2
"Information and communication";73.0;2600.8
"Fiancial, banking and insurance activities";21.0;687.7
"Real estate activities";30.0;780.1
"Professional, scientific and technical activities";56.0;235.7
"Administrative and support service activities";36.0;65.4
"Education and trainning";10.0;5.1
"Human health and social work activities";6.0;13.5
"Arts, entertainment and recreation";4.0;1001.4
"Other activities";48.0;127.1
