"Direct investment oversea projects licensed by main counterparts (Accumulation of projects having effect as of 31/12/2016) chia theo Main counterparts và Iterms"

"Main counterparts";"Number of projects";"Total registered capital (Mill. USD)(*)"
"TOTAL";943.0;19669.7
"Of which:";..;..
"Lao PDR";194.0;4768.4
"Fed. Russian";13.0;2831.3
"Cambodia";163.0;2730.4
"Venezuela";2.0;1825.1
"Myanmar";60.0;1424.5
"Algeria";1.0;1261.5
"Peru";4.0;1249.0
"Malaysia";16.0;859.6
"United States";133.0;491.7
"Tanzania";4.0;356.3
"Mozambique";3.0;345.9
"Singapore";72.0;259.9
"Cameroon";3.0;230.7
"Burundi";2.0;170.0
"Australia";27.0;155.3
"British Virgin Islands";7.0;126.9
"Madagascar";1.0;117.4
"F.R Germany";21.0;103.8
" Iran";1.0;82.1
"Haiti";2.0;59.9
"Thailand";10.0;30.5
"Hong Kong SAR (China)";20.0;27.7
"Congo";1.0;27.1
"Indonesia";9.0;17.9
"New Zealand";3.0;15.9
"Timor-Leste";1.0;14.9
"Korea Rep. of";25.0;11.3
