"Foreign direct investment projects licensed by kinds of economic activity  (Accumulation of projects having effect as of 31/12/2016) chia theo Kinds of economic activity và Iterms"

"Kinds of economic activity";"Number of projects";"Total registered capital (Mill. USD) (*)"
"TOTAL";22594.0;293700.4
"Agriculture, forestry and fishing";522.0;3573.8
"Mining and quarrying";104.0;3497.9
"Manufacturing";11716.0;172717.6
"Electricity, gas, stream and air conditioning supply";108.0;12907.6
"Water supply, sewerage, waste management and remediation activities";56.0;1451.1
"Construction";1384.0;10658.7
"Wholesale and retail trade; Repair of motor vehicles and motorcycles";2248.0;5433.2
"Transporation and storage";607.0;4280.9
"Accommodation and food service activities";545.0;11494.7
"Information and communication";1477.0;4718.7
"Fiancial, banking and insurance activities";87.0;1485.3
"Real estate activities";581.0;52203.7
"Professional, scientific and technical activities";2193.0;2643.9
"Administrative and support service activities";236.0;495.1
"Education and trainning";316.0;741.2
"Human health and social work activities";122.0;1602.0
"Arts, entertainment and recreation";135.0;3029.7
"Other service activities";157.0;765.3
