"Foreign direct investment projects licensed by main counterparts (Accumulation of projects having effect as of 31/12/2016) chia theo Main counterparts và Iterms"

"Main counterparts";"Number of projects";"Total registered capital (Mill. USD) (*)"
"TOTAL";22594.0;293700.4
"Of which";..;..
"Korea Rep. of";5773.0;50553.5
"Japan";3292.0;42433.9
"Singapore";1796.0;38255.4
"Taiwan";2516.0;31885.5
"British Virgin Islands";687.0;20482.1
"Hong Kong SAR (China)";1168.0;17003.1
"Malaysia";543.0;11966.5
"China. PR";1562.0;10527.6
"United States";817.0;10141.7
"Thailand";445.0;7799.7
"Netherlands";276.0;7604.5
"Samoa";184.0;6485.0
"Cayman Islands";87.0;5323.3
"Canada";159.0;5128.3
"United Kingdom";293.0;3754.7
"France";487.0;3390.4
"Switzerland";131.0;2933.0
"Luxembourg";46.0;2300.5
"Australia";391.0;1830.7
"Brunei";217.0;1372.5
"F.R Germany";275.0;1366.4
"British West Indies";16.0;1211.7
"Fed. Russian";115.0;1056.6
"Cyprus";14.0;966.6
"Denmark";131.0;814.4
"Turkey";15.0;704.3
"Seychelles";79.0;704.0
"India";132.0;700.0
"Belgium";63.0;592.1
"Indonesia";52.0;432.1
"Italy";77.0;356.6
"Mauritius";48.0;333.7
"Philippines";73.0;311.8
"Bermuda";8.0;307.4
"Slovakia";6.0;235.5
"Cook Islands";2.0;172.0
"Austria";30.0;138.2
"Belize";17.0;137.8
"Poland";14.0;125.5
"Bahamas";3.0;108.7
"New Zealand";29.0;100.1
"Lao PDR";11.0;98.5
"Sweden";52.0;92.7
"Norway";34.0;92.6
"Czech Republic";34.0;89.9
"Spain";54.0;82.7
"Channel Islands";12.0;79.5
"Sri Lanka";15.0;76.8
"Macao SAR (China)";13.0;76.0
"Barbados";2.0;68.1
"Panama";10.0;62.7
"Cambodia";17.0;57.8
"Ecuador";4.0;56.7
"Korea. PDR";6.0;50.9
"Hungary";15.0;50.7
"Marshall Islands";5.0;49.5
"Israel";24.0;46.4
"Swaziland";1.0;45.0
"Saint Kitts and Nevis";2.0;39.7
"Saint Vincent and the Grenadines";4.0;33.6
"Liechtenstein";2.0;35.6
"Isle of Man";1.0;35.0
"Bulgaria";10.0;30.9
"Ukraina";21.0;29.0
"Pakistan";16.0;27.9
"Iraq";4.0;27.2
"United Arad Emirates";13.0;26.0
"Angola";3.0;23.3
"Finland";17.0;20.9
"Ireland";16.0;20.7
"Costa Rica";2.0;16.6
"Belarus";1.0;16.2
"Armenia";2.0;13.0
"Oman";2.0;10.0
"El Salvador";1.0;10.0
"Dominica";2.0;8.4
"Island of Nevis";2.0;7.5
"Cuba";1.0;6.6
