"Foreign direct investment projects licensed in 2016 by kinds of economic activity chia theo Kinds of economic activity và Iterms"

"Kinds of economic activity";"Number of projects";"Total registered capital (Mill. USD)(*)"
"TOTAL";2613.0;26890.5
"Agriculture. forestry and fishing";16.0;133.5
"Mining and quarrying";1.0;71.5
"Manufacturing";1042.0;16936.9
"Electricity. gas. stream and air conditioning supply";3.0;310.4
"Water supply. sewerage. waste management and remediation activities";13.0;491.5
"Construction";127.0;634.1
"Wholesale and retail trade; Repair of motor vehicles and motorcycles";514.0;1972.1
"Transporation and storage";89.0;903.0
"Accommodation and food service activities";100.0;474.7
"Information and communication";200.0;377.5
"Financial. banking and insurance activities";12.0;582.7
"Real estate activities";62.0;2355.0
"Professional. scientific and technical activities";285.0;938.8
"Administrative and support service activities";58.0;188.6
"Education and trainning";72.0;64.6
"Human health and social work activities";10.0;52.5
"Arts. entertainment and recreation";2.0;330.2
"Other service activities";7.0;72.9
