"Foreign direct investment projects licensed in 2016 by main counterparts chia theo Main counterparts và Iterms"

"Main counterparts";"Number of projects";"Total registered capital (Mill. USD)(*)"
"TOTAL";2613.0;26890.5
"Of which:";..;..
"Korea Rep. of";849.0;7965.2
"Japan";351.0;3035.9
"Singapore";213.0;2414.7
"Taiwan";125.0;2194.4
"China. PR";283.0;2136.7
"Hong Kong SAR (China)";168.0;1680.9
"Malaysia";41.0;939.6
"British Virgin Islands";50.0;874.5
"Thailand";35.0;732.0
"Cayman Islands";8.0;645.6
"Samoa";26.0;535.5
"Australia";45.0;466.8
"United States";65.0;430.4
"Brunei";18.0;354.8
"Luxembourg";..;311.8
" Seychelles";38.0;287.8
"Denmark";8.0;238.0
"United Kingdom";48.0;230.5
"France";41.0;205.3
"India";19.0;104.9
"Netherlands";16.0;92.1
"F.R Germany";21.0;80.2
"Canada";16.0;76.4
"Spain";7.0;64.7
"British West Indies";4.0;63.2
"Fed. Russian";15.0;58.2
"Switzerland";8.0;55.6
"Philippines";2.0;54.9
"Bermuda";1.0;50.5
"Macao SAR (China)";2.0;42.7
"Marshall Islands";2.0;41.5
"Italy";11.0;40.8
"Austria";4.0;34.6
"Ukraina";2.0;29.2
"Indonesia";8.0;26.9
"Poland";3.0;26.7
"Belize";2.0;26.5
"Pakistan";1.0;22.0
"Kazakhstan";..;21.2
"New Zealand";1.0;18.6
"Belarus";1.0;16.3
"Cambodia";5.0;15.5
"Mauritius";1.0;15.5
"Lao PDR";1.0;14.3
"Ireland";..;12.5
"Angola";1.0;11.7
"Panama";1.0;11.0
"Anguilla";..;10.1
"El Salvador";1.0;10.0
"Belgium";7.0;9.2
"Sri Lanka";1.0;7.5
"Czech Republic";..;7.2
"Turkey";2.0;5.8
"Portugal";..;4.0
"Hungary";..;3.6
"Norway";1.0;1.2
