"Investment at constant 2010 prices by kinds of economic activity chia theo Kinds of economic activity và Year"

"Kinds of economic activity";"2005";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"TOTAL";447135;762843;830278;770087;812714;872124;957630;1044420;1145009
"Agriculture, forestry and fishing";31320;47401;51062;46821;42180;50897;48456;59323;71105
"Mining and quarrying";36401;65790;62520;57217;55996;54246;51137;41359;40190
"Manufacturing";82026;134214;161904;156304;178087;209069;250331;306642;334801
"Electricity, gas, stream and air conditioning supply";49238;72438;70491;61838;63473;52986;60522;67678;73395
"Water supply, sewerage, waste management and remediation activities";11639;19872;21504;19021;19749;17355;18674;17024;19694
"Construction";16426;27202;37362;36502;37629;47875;75748;60263;65495
"Wholesale and retail trade; Repair of motor vehicles and motorcycles";21708;32019;40684;40430;52908;64712;58511;67678;77174
"Transporation and storage";56565;90093;95814;86635;86229;92969;128321;123659;129157
"Accommodation and food service activities";7777;16348;17436;17558;22675;22937;16854;21724;24732
"Information and communication";16276;27044;30305;26799;25925;25023;18961;14726;15458
"Fiancial, banking and insurance activities";2777;10720;15692;16095;17798;20233;14077;18068;19465
"Real estate activities";5561;34275;39023;37349;43074;61049;44912;54101;62289
"Professional, scientific and technical activities";4006;8101;9299;9318;11703;14640;19631;17860;20038
"Administrative and support service activities";14979;25032;27897;24566;22837;16989;10055;8355;8588
"Activities of Communist Party, socio-politocal organizations; public administration and defence; compulsory security";15855;27171;25157;24821;24604;25308;36868;34884;36755
"Education and trainning";15499;24308;23580;22256;25113;21541;32751;33526;39388
"Human health and social work activities";8414;11090;12039;12244;15523;19613;21451;22977;26908
"Arts, entertainment and recreation";6095;11005;12537;11782;13491;12646;11932;13055;15229
"Other activities";44574;78722;75972;62531;53720;42036;38439;61518;65148
