"Investment at current prices by kinds of economic activity chia theo Kinds of economic activity và Years"

"Kinds of economic activity";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"TOTAL";343135;532093;616735;708826;830278;924495;1010114;1094542;1220704;1366478;1485096
"Agriculture, forestry and fishing";25715;33907;39697;44309;51062;55284;52930;63658;61524;76523;90591
"Mining and quarrying";26780;37794;50214;59754;62520;67950;70405;68299;64698;53976;51978
"Manufacturing";65892;104689;104801;120146;161904;186008;222528;262846;322251;404477;436618
"Electricity, gas, stream and air conditioning supply";34112;49339;58033;67338;70491;75347;79294;66175;76906;88821;95046
"Water supply, sewerage, waste management and remediation activities";8932;13845;16041;18465;21504;23297;23940;21672;23682;22137;25544
"Construction";12292;19725;23370;26227;37362;43914;47273;59975;95216;78572;84650
"Wholesale and retail trade; Repair of motor vehicles and motorcycles";18257;23036;28216;31188;40684;49461;64849;80887;74464;88821;100244
"Transporation and storage";40159;69946;76439;85343;95814;104653;106365;117116;164798;161244;167073
"Accommodation and food service activities";6628;10899;12305;14923;17436;20802;27576;28677;21363;28286;31930
"Information and communication";12490;19262;22264;25872;30305;31617;32627;31303;24048;19131;20049
"Fiancial, banking and insurance activities";2205;6324;7587;9888;15692;18952;22425;25503;17945;23503;25247
"Real estate activities";4426;23444;32198;33315;39023;45763;52728;76837;57008;71057;80938
"Professional, scientific and technical activities";2863;5402;6327;8010;9299;11556;14041;18264;24903;23230;25989
"Administrative and support service activities";11495;17921;20741;23817;27897;29121;28788;21212;12818;10932;11138
"Activities of Communist Party, socio-politocal organizations; public administration and defence; compulsory security";10767;14606;17940;21406;25157;28844;30606;31731;46387;45777;47523
"Education and trainning";10829;15637;17837;20202;23580;27273;31415;27145;41871;43727;51236
"Human health and social work activities";5699;7399;8795;10278;12039;15255;18990;24505;27222;30063;34900
"Arts, entertainment and recreation";4203;6188;8617;10632;12537;14607;17071;15871;15137;17081;19752
"Other activities";39391;52730;65313;77713;75972;74791;66263;52866;48463;79120;84650
