"State investment at constant 2010 prices by kinds of economic activity chia theo Kinds of economic activity và Year"

"Kinds of economic activity";"2005";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"TOTAL";233948;318498;316285;287242;325918;351005;379694;397324;430254
"Agriculture, forestry and fishing";16710;19238;18534;16402;17697;23658;23998;25349;26332
"Mining and quarrying";19720;21206;20590;17493;19848;21341;20125;17005;19275
"Manufacturing";21596;28574;30110;28207;39598;37136;26960;27813;32269
"Electricity, gas, stream and air conditioning supply";33709;51135;47462;41248;44037;45034;50046;55529;61865
"Water supply, sewerage, waste management and remediation activities";9078;12358;12209;10542;10494;12249;16100;16092;19964
"Construction";9835;14234;16257;15166;18838;28642;24074;24833;25815
"Wholesale and retail trade; Repair of motor vehicles and motorcycles";2252;6743;7559;7037;10537;9021;5392;8542;10111
"Transporation and storage";49163;56781;57216;50382;50256;56301;77732;87650;91773
"Accommodation and food service activities";989;4063;3859;3849;5117;5230;2658;3179;3227
"Information and communication";13030;17740;17712;15367;17515;14286;11619;10251;10541
"Fiancial, banking and insurance activities";1040;4588;4713;4912;6095;5441;6873;7549;7745
"Real estate activities";2338;6435;6863;7210;9102;10916;6113;8980;8820
"Professional, scientific and technical activities";3079;5950;6009;5946;6594;5897;13404;12039;11832
"Administrative and support service activities";3814;5191;5472;4510;4661;4107;1936;1788;2151
"Activities of Communist Party, socio-politocal organizations; public administration and defence; compulsory security";15855;27171;25157;24821;24604;25308;36868;34884;36755
"Education and trainning";12721;11558;12493;11748;17241;19727;27278;26819;27967
"Human health and social work activities";7884;8797;8540;8241;9084;11934;15264;15853;18630
"Arts, entertainment and recreation";4937;7937;7654;7497;6873;6143;9227;7986;9466
"Other activities";6198;8798;7876;6664;7727;8635;4027;5183;5716
