"Key indicators on National Accounts by Items and Year"

"Items";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel.2016"
"Gross domestic product at current prices (Bill. Dongs)";1809149.00;2157828.00;2779880.00;3245419.00;3584262.00;3937856.00;4192862.00;4502733.00
"Per capita gross domestic product at current prices in Vietnam currency (Thous. Dongs)";19278.00;24818.00;31640.00;36544.00;39932.00;43402.00;45719.00;48576.00
"Per capita gross domestic product at current prices in foreign currency (at average exchange rate) (USD)";1064.00;1273.00;1517.00;1748.00;1907.00;2052.00;2109.00;2215.00
"Gross capital formation at current prices (Bill. dongs)";632326.00;770211.00;827032.00;884160.00;956124.00;1056632.00;1160447.00;1196739.00
"Final consumption at current prices (Bill. dongs)";1206819.00;1565602.00;2008700.00;2285623.00;2566803.00;2838048.00;3115085.00;3379404.00
"Export of goods and services at current prices (Bill. Dongs)";1132688.00;1553687.00;2206971.00;2597264.00;2997380.00;3402495.00;3764320.00;4215636.00
"Import of goods and services at current prices (Bill. Dongs)";1304350.00;1730902.00;2321858.00;2483567.00;2920030.00;3273530.00;3731151.00;4100294.00
"Gross national income at current prices- Bill. dongs";1580461.00;2075578.00;2660076.00;3115227.00;3430668.00;3750823.00;3977609.00;4319321.00
"Gross domestic product at constant 2010 prices (Bill. Dongs)";2027591.00;2157828.00;2292483.00;2412778.00;2543596.00;2695796.00;2875856.00;3054470.00
"Growth rate of GDP at constant 2010 prices(Previous year = 100) (%)";5.40;6.42;6.24;5.25;5.42;5.98;6.68;6.21
"Gross capital formation compared with GDP (At current prices) (%)";38.13;35.69;29.75;27.24;26.68;26.83;27.68;26.58
"Gross fixed capital compared with GDP (At current prices) (%)";34.52;32.64;26.82;24.20;23.65;23.83;24.66;23.68
"Final consumption compared with GDP (At current prices) (%)";72.77;72.55;72.26;70.43;71.61;72.07;74.29;80.60
"Export of goods and services compared with GDP (At current prices) (%)";68.30;72.00;79.39;80.03;83.63;86.40;89.78;93.62
"Import of goods and services compared with GDP (At current prices) (%)";78.65;80.21;83.52;76.53;81.47;83.13;88.99;91.06
"Gross national income compared with GDP (At current prices) (%)";95.30;96.19;95.69;95.99;95.71;95.25;94.87;95.93
