"Social insurance, health insurance and unemployment insurance by Indicators and Year"

"Indicators";"2010";"2012";"2013";"2014";"2015"
"Number of insured persons (Thous. persons) - Social insurance";9682.6;10565.4;11057.4;11645.8;12290.5
"Number of insured persons (Thous. persons) - Health insurance";52407.1;58977.2;61764.3;64644.8;68466.1
"Number of insured persons (Thous. persons) - Unemployment insurance";7206.1;8269.6;8691.4;9219.8;10310.2
"Number of monthly social insurance  beneficiaries (Thous. persons)";2401.5;2588.1;2665.0;2720.6;2837.6
"Number of social insurance recipients (Thous. persons)";806.0;395.9;7135.6;7419.3;8263.8
"Number of health insurance recipients (Thous. persons)";72671.1;121960.1;129651.7;136325.7;130174.9
"Number of monthly unemployment insurance beneficiaries (Person)";36996.0;611543.0;582067.0;517569.0;545000.0
" Number of unemployment insurance recipients, vocational, job seeking (Person)";7377.0;23156.0;43688.0;45681.0;59654.0
"Total revenue (Bill. dongs)";118268.0;154991.0;184877.0;197708.0;217755.0
"Total revenue (Bill. dongs) - Social insurance";86742.0;103105.0;121910.0;131733.0;148375.0
"Total revenue (Bill. dongs) - Health insurance";25786.0;41429.0;50233.0;53979.0;59670.0
"Total revenue (Bill. dongs) - Unemployment insurance";5740.0;10457.0;12734.0;11996.0;9710.0
"Total expenditure (Bill. dongs)";84237.0;133833.0;160256.0;179684.0;201533.0
"Total expenditure (Bill. dongs) - Social insurance";64068.0;98714.0;117890.0;131863.0;147615.0
"Total expenditure (Bill. dongs) - Health insurance";19630.0;32474.0;38455.0;43001.0;49035.0
"Total expenditure (Bill. dongs) - Unemployment insurance";539.0;2645.0;3911.0;4820.0;4883.0
"End-year surplus (Bill. dongs)";141023.0;238871.0;303734.0;386873.0;471813.0
"End-year surplus (Bill. dongs) - Social insurance";129082.0;200463.0;246682.0;308075.0;373350.0
"End-year surplus (Bill. dongs) - Health insurance";3071.0;15172.0;25182.0;37344.0;49282.0
"End-year surplus (Bill. dongs) - Unemployment insurance";8870.0;23236.0;31870.0;41454.0;49181.0
