"Annual employed population and annual employed population at 15 years of age and above by kinds of economic activity by Economic activity, Items and Year"

"Economic activity";"Total (Thous. pers.) 2005";"Total (Thous. pers.) 2007";"Total (Thous. pers.) 2008";"Total (Thous. pers.) 2009";"Total (Thous. pers.) 2010";"Total (Thous. pers.) 2011";"Total (Thous. pers.) 2012";"Total (Thous. pers.) 2013";"Total (Thous. pers.) 2014";"Total (Thous. pers.) 2015";"Total (Thous. pers.) Prel. 2016";"Structure (%) 2005";"Structure (%) 2007";"Structure (%) 2008";"Structure (%) 2009";"Structure (%) 2010";"Structure (%) 2011";"Structure (%) 2012";"Structure (%) 2013";"Structure (%) 2014";"Structure (%) 2015";"Structure (%) Prel. 2016"
"TOTAL";42774.90;45208.00;46460.80;47743.60;49048.50;50352.00;51422.40;52207.80;52744.50;52840.00;53302.80;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
"Agriculture, forestry and fishing";23563.20;23931.50;24303.40;24606.00;24279.00;24362.90;24357.20;24399.30;24408.70;23259.10;22315.20;55.10;52.90;52.30;51.50;49.50;48.40;47.40;46.70;46.30;44.00;41.90
"Mining and quarrying";256.50;298.80;291.40;291.50;275.60;279.10;285.50;267.60;253.20;237.60;236.10;0.60;0.70;0.60;0.60;0.60;0.60;0.60;0.50;0.50;0.50;0.40
"Manufacturing";5031.20;5665.00;5998.80;6449.00;6645.80;6972.60;7102.20;7267.30;7414.70;8082.80;8866.60;11.80;12.50;12.90;13.50;13.50;13.80;13.80;13.90;14.10;15.30;16.60
"Electricity, gas, stream and air conditioning supply";135.40;121.30;132.70;131.60;130.20;139.70;129.50;133.70;138.60;146.00;158.70;0.30;0.30;0.30;0.30;0.30;0.30;0.30;0.30;0.30;0.30;0.30
"Water supply, sewerage, waste management and remediation activities";121.00;108.20;94.20;95.40;117.40;106.30;107.80;108.70;109.10;119.80;137.50;0.30;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.30
"Construction";1979.90;2371.90;2468.40;2594.10;3108.00;3221.10;3271.50;3308.70;3313.40;3431.80;3800.10;4.60;5.20;5.30;5.40;6.30;6.40;6.40;6.30;6.30;6.50;7.10
"Wholesale and retail trade; repair of motor vehicles and motorcycles";4593.10;4929.50;5100.40;5150.70;5549.70;5827.60;6313.90;6562.50;6651.60;6709.80;6735.80;10.70;10.90;11.00;10.80;11.30;11.60;12.30;12.60;12.60;12.70;12.60
"Transportation and storage";1290.40;1341.60;1433.30;1426.10;1416.70;1414.40;1498.30;1531.80;1535.40;1592.30;1614.30;3.00;3.00;3.10;3.00;2.90;2.80;2.90;2.90;2.90;3.00;3.00
"Accommodation and food service activities";824.50;1096.40;1307.40;1573.70;1711.00;1995.30;2137.40;2216.60;2301.10;2441.30;2482.30;1.90;2.40;2.80;3.30;3.50;4.00;4.20;4.20;4.40;4.60;4.70
"Information and communication";151.40;180.50;204.80;228.00;257.40;269.00;283.60;297.70;317.90;338.00;342.70;0.40;0.40;0.40;0.50;0.50;0.50;0.60;0.60;0.60;0.60;0.60
"Financial, banking and insurance activities";185.90;191.60;204.30;230.30;254.50;301.10;312.50;335.10;352.10;364.70;376.30;0.40;0.40;0.40;0.50;0.50;0.60;0.60;0.60;0.70;0.70;0.70
"Real estate activities";19.00;53.90;51.50;65.20;101.30;119.00;148.10;150.00;158.10;165.70;179.50;0.00;0.10;0.10;0.10;0.20;0.20;0.30;0.30;0.30;0.30;0.30
"Professional, scientific and technical activities";157.50;158.30;183.10;218.50;217.50;220.20;248.80;249.20;250.60;251.80;252.30;0.40;0.40;0.40;0.50;0.40;0.40;0.50;0.50;0.50;0.50;0.50
"Administrative and support service activities";119.50;147.70;158.10;171.80;185.50;197.90;229.30;245.60;262.10;279.60;283.70;0.30;0.30;0.30;0.40;0.40;0.40;0.40;0.50;0.50;0.50;0.50
"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security";1679.90;1665.90;1650.60;1596.90;1569.60;1542.20;1582.70;1631.00;1697.20;1706.80;1701.50;3.90;3.70;3.60;3.30;3.20;3.10;3.10;3.10;3.20;3.20;3.20
"Education and training";1258.00;1513.50;1492.70;1583.90;1673.40;1731.80;1767.10;1813.30;1860.40;1896.20;1901.70;2.90;3.30;3.20;3.30;3.40;3.40;3.40;3.50;3.50;3.60;3.60
"Human health and social work activities";349.90;384.60;365.60;364.70;437.00;480.80;482.40;490.80;492.80;539.70;568.60;0.80;0.90;0.80;0.80;0.90;1.00;0.90;0.90;0.90;1.00;1.10
"Arts, entertainment and recreation";82.20;129.70;180.40;210.80;232.40;250.10;256.00;271.60;285.70;295.20;305.10;0.20;0.30;0.40;0.40;0.50;0.50;0.50;0.50;0.50;0.60;0.60
"Other service activities";781.80;737.90;673.80;569.00;687.30;734.90;731.90;749.50;764.40;799.80;848.20;1.80;1.60;1.50;1.20;1.40;1.50;1.40;1.40;1.40;1.50;1.60
"Activities of households as employers; undifferentiated goods and services producing activities of households for own use";189.90;175.60;163.40;183.30;196.70;183.10;173.90;174.90;175.00;179.20;194.10;0.40;0.40;0.40;0.40;0.40;0.40;0.30;0.30;0.30;0.30;0.40
"Activities of extraterritorial organizations and bodies";4.70;4.50;2.50;3.20;2.50;2.80;2.80;2.90;2.40;2.80;2.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00
