"Average age of first marriage by province by Cities, provinces and Year"

"Cities, provinces";"2010";"2013";"2014";"2015";"Prel. 2016"
"WHOLE COUNTRY";24.5;24.5;24.9;24.9;25.1
"Red River Delta";24.3;24.5;24.7;24.7;24.9
"Ha Noi";24.9;24.9;25.1;25.2;25.3
"Vinh Phuc";23.8;23.7;23.6;23.6;23.7
"Bac Ninh";22.7;22.8;23.5;23.4;23.6
"Quang Ninh";24.8;24.4;25.1;25.0;25.3
"Hai Duong";24.3;23.9;24.9;25.2;25.1
"Hai Phong";24.5;24.5;24.9;25.1;25.2
"Hung Yen";23.5;24.2;23.9;23.6;24.0
"Thai Binh";24.1;25.1;25.3;24.7;25.5
"Ha Nam";23.9;25.4;25.4;25.0;25.7
"Nam Dinh";23.4;24.7;23.8;23.9;24.2
"Ninh Binh";24.5;24.0;24.5;24.3;24.2
"Northern midlands and mountain areas";22.7;22.3;22.7;22.6;22.6
"Ha Giang";21.4;20.6;21.5;21.3;21.5
"Cao Bang";22.4;22.4;22.6;22.3;22.2
"Bac Kan";23.2;22.5;23.3;23.4;23.4
"Tuyen Quang";23.2;22.3;22.8;22.6;22.6
"Lao Cai";21.8;21.7;22.1;22.2;22.5
"Yen Bai";22.2;21.6;22.1;22.4;22.3
"Thai  Nguyen";23.8;23.5;23.9;24.3;24.2
"Lang Son";23.6;23.7;23.7;23.9;24.1
"Bac Giang";23.4;23.4;23.7;23.3;23.6
"Phu Tho";23.7;23.5;24.0;23.6;23.6
"Dien Bien";21.7;21.4;21.6;21.4;21.5
"Lai Chau";21.1;20.7;20.4;20.3;20.6
"Son La";21.3;20.5;21.2;20.8;20.7
"Hoa Binh";23.5;23.3;23.4;23.0;22.9
"Northern Central area and Central coastal area";24.7;24.5;25.4;25.4;25.5
"Thanh Hoa";23.6;22.8;24.5;23.7;24.1
"Nghe An";23.9;24.3;25.2;24.9;24.7
"Ha Tinh";25.0;24.7;25.2;25.1;25.2
"Quang Binh";25.9;25.5;25.7;25.8;24.9
"Quang Tri";24.9;24.7;25.0;24.9;24.9
"Thua Thien-Hue";26.2;25.6;26.6;26.5;27.3
"Da Nang";26.5;25.9;26.1;26.2;26.6
"Quang  Nam";24.6;24.9;25.2;25.5;25.7
"Quang  Ngai";24.0;23.8;25.4;25.6;25.9
"Binh Dinh";24.2;24.7;25.0;25.9;25.8
"Phu Yen";24.6;24.7;25.4;25.2;25.4
"Khanh  Hoa";25.8;25.7;26.6;27.0;27.2
"Ninh  Thuan";24.2;24.6;25.2;26.0;26.2
"Binh Thuan";25.0;25.1;26.2;26.2;26.7
"Central Highlands";23.7;23.8;24.3;24.5;24.6
"Kon Tum";23.3;23.1;23.5;24.0;24.3
"Gia Lai";23.0;23.4;23.6;23.3;23.7
"Dak Lak";23.9;24.1;24.7;23.3;25.1
"Dak Nong";23.1;24.0;24.0;24.1;24.9
"Lam Dong";24.6;24.0;24.9;25.3;25.1
"South East";25.9;26.1;26.0;26.1;26.7
"Binh Phuoc";24.0;24.2;24.2;23.3;25.2
"Tay Ninh";24.4;24.2;25.0;25.2;25.6
"Binh  Duong";24.8;24.4;24.2;24.4;25.2
"Dong Nai";25.9;26.4;26.4;26.4;26.9
"Ba Ria - Vung Tau";26.0;26.0;26.0;26.8;27.0
"Ho Chi Minh city";26.6;27.2;26.8;26.7;27.3
"Mekong River Delta";24.5;24.5;24.9;25.0;25.2
"Long An";24.3;23.9;24.7;25.1;25.5
"Tien Giang";24.0;24.3;24.4;24.7;24.9
"Ben Tre";24.3;24.5;25.0;25.3;25.0
"Tra Vinh";24.3;23.8;24.5;24.5;24.5
"Vinh Long";25.2;24.5;25.5;25.3;25.5
"Dong Thap";24.3;25.5;25.2;25.3;25.6
"An Giang";24.0;23.9;24.3;24.6;24.7
"Kien  Giang";24.1;24.2;24.5;24.4;24.9
"Can Tho";25.3;25.5;25.7;25.1;26.3
"Hau Giang";24.4;25.0;25.9;25.7;26.3
"Soc Trang";24.7;24.5;25.0;25.7;25.6
"Bac Lieu";25.7;25.2;26.0;25.4;25.4
"Ca Mau";24.8;24.6;24.5;24.6;24.4
