"Child.mortality.rate";"Year";"Urban";"Rural"
"Child.mortality.rate";"Year";"Urban";"Rural"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2001";"20.4";"32.5"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2002";"17";"28.8"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2003";"13";"21"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2004";"11.1";"20.5"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2005";"9.7";"20.4"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2006";"10";"18"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2007";"9.8";"18.8"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2008";"10";"15"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2009";"9.4";"18.7"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2010";"9.2";"18.2"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2011";"8.5";"18.1"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2012";"8.9";"18.3"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2013";"8.9";"18.3"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2014";"8.7";"17.8"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2015";"8.6";"17.6"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"Prel. 2016";"8.5";"17.5"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2001";"30.9";"50.1"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2002";"25.6";"44.1"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2003";"19.5";"31.8"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2004";"16.6";"31"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2005";"14.5";"30.9"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2006";"14.9";"27.1"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2007";"14.6";"28.3"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2008";"14.9";"22.5"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2009";"14";"28.2"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2010";"13.7";"27.4"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2011";"12.8";"27.2"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2012";"13.4";"27.6"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2013";"13.3";"27.5"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2014";"13.1";"26.9"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2015";"12.9";"26.5"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"Prel. 2016";"12.9";"26.4"
