"Child.mortality.rate";"Year";"Male";"Female"
"Child.mortality.rate";"Year";"Male";"Female"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2001";"32.9";"26"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2002";"29";"22.8"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2003";"23.6";"18.3"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2004";"20.4";"15.7"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2005";"20.1";"15.4"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2006";"18.1";"13.8"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2007";"18.1";"13.8"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2008";"17";"12.9"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2009";"18.1";"13.8"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2010";"17.9";"13.6"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2011";"17.5";"13.4"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2012";"17.5";"13.3"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2013";"17.4";"13.2"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2014";"16.9";"12.9"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"2015";"16.7";"12.7"
"infant_mortality_rate_infant_deaths_per_1000_live_births_";"Prel. 2016";"16.4";"12.5"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2001";"56.5";"33.4"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2002";"49.8";"28.8"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2003";"40.4";"22.6"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2004";"35";"19"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2005";"34.5";"18.7"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2006";"31.1";"16.6"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2007";"31.1";"16.6"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2008";"29.2";"15.4"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2009";"31.1";"16.6"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2010";"30.7";"16.3"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2011";"30.2";"16"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2012";"30.1";"15.9"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2013";"29.9";"15.8"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2014";"29.1";"15.4"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"2015";"28.7";"15.1"
"under_five_mortality_rate_under_five_deaths_per_1000_live_births_";"Prel. 2016";"28.3";"14.9"
