"Indicators";"Year";"Urban";"Rural"
"Indicators";"Year";"Urban";"Rural"
"total_thous_persons";"2000";"8910.3";"29635.1"
"total_thous_persons";"2001";"9475.9";"30139.9"
"total_thous_persons";"2002";"9848.5";"30867.5"
"total_thous_persons";"2003";"10104.2";"31742.5"
"total_thous_persons";"2004";"10703";"32305.9"
"total_thous_persons";"2005";"11461.4";"33443.1"
"total_thous_persons";"2006";"12266.3";"33972.4"
"total_thous_persons";"2007";"12409.1";"34751.2"
"total_thous_persons";"2008";"13175.3";"35034.3"
"total_thous_persons";"2009";"13271.8";"36050.2"
"total_thous_persons";"2010";"14106.6";"36286.3"
"total_thous_persons";"2011";"15251.9";"36146.5"
"total_thous_persons";"2012";"15885.7";"36462.3"
"total_thous_persons";"2013";"16042.5";"37203.1"
"total_thous_persons";"2014";"16525.5";"37222.5"
"total_thous_persons";"2015";"16910.9";"37073.3"
"total_thous_persons";"Prel. 2016";"17449.9";"36995.4"
"structure_";"2000";"23.1";"76.9"
"structure_";"2001";"23.9";"76.1"
"structure_";"2002";"24.2";"75.8"
"structure_";"2003";"24.1";"75.9"
"structure_";"2004";"24.9";"75.1"
"structure_";"2005";"25.5";"74.5"
"structure_";"2006";"26.5";"73.5"
"structure_";"2007";"26.3";"73.7"
"structure_";"2008";"27.3";"72.7"
"structure_";"2009";"26.9";"73.1"
"structure_";"2010";"28";"72"
"structure_";"2011";"29.7";"70.3"
"structure_";"2012";"30.3";"69.7"
"structure_";"2013";"30.1";"69.9"
"structure_";"2014";"30.7";"69.3"
"structure_";"2015";"31.3";"68.7"
"structure_";"Prel. 2016";"32.1";"67.9"
