"Indicators";"Year";"Male";"Female"
"Indicators";"Year";"Male";"Female"
"total_thous_persons";"2000";"19548.7";"18996.7"
"total_thous_persons";"2001";"20207.9";"19407.9"
"total_thous_persons";"2002";"20718.9";"19997.1"
"total_thous_persons";"2003";"21449.7";"20397"
"total_thous_persons";"2004";"21948.3";"21060.6"
"total_thous_persons";"2005";"23493.1";"21411.4"
"total_thous_persons";"2006";"24613.9";"21624.8"
"total_thous_persons";"2007";"23945.7";"23214.6"
"total_thous_persons";"2008";"24709";"23500.6"
"total_thous_persons";"2009";"25655.6";"23666.4"
"total_thous_persons";"2010";"25897";"24495.9"
"total_thous_persons";"2011";"26468.2";"24930.2"
"total_thous_persons";"2012";"26918.5";"25429.5"
"total_thous_persons";"2013";"27370.6";"25875"
"total_thous_persons";"2014";"27560.6";"26187.4"
"total_thous_persons";"2015";"27843.6";"26140.6"
"total_thous_persons";"Prel. 2016";"28072.8";"26372.5"
"structure_";"2000";"50.7";"49.3"
"structure_";"2001";"51";"49"
"structure_";"2002";"50.9";"49.1"
"structure_";"2003";"51.3";"48.7"
"structure_";"2004";"51";"49"
"structure_";"2005";"52.3";"47.7"
"structure_";"2006";"53.2";"46.8"
"structure_";"2007";"50.8";"49.2"
"structure_";"2008";"51.3";"48.7"
"structure_";"2009";"52";"48"
"structure_";"2010";"51.4";"48.6"
"structure_";"2011";"51.5";"48.5"
"structure_";"2012";"51.4";"48.6"
"structure_";"2013";"51.4";"48.6"
"structure_";"2014";"51.3";"48.7"
"structure_";"2015";"51.6";"48.4"
"structure_";"Prel. 2016";"51.6";"48.4"
