"Number of divorce cases cleared up by province and by level by Cities, provinces, Year and Level"

"Cities, provinces";"2013 Total";"2013 Provincial level";"2013 District level";"2014 Total";"2014 Provincial level";"2014 District level";"2015 Total";"2015 Provincial level";"2015 District level";"Prel. 2016 Total";"Prel. 2016 Provincial level";"Prel. 2016 District level"
"WHOLE COUNTRY";18308;1499;16809;19960;1552;18408;24101;1440;22661;24308;1665;22643
"Red River Delta";3475;372;3103;3707;395;3312;3686;287;3399;4058;311;3747
"Ha Noi";953;86;867;1018;85;933;875;45;830;884;41;843
"Vinh Phuc";295;6;289;274;7;267;253;4;249;274;2;272
"Bac Ninh";110;8;102;147;..;147;133;1;132;151;5;146
"Quang Ninh";164;19;145;192;20;172;284;15;269;333;27;306
"Hai Duong";262;42;220;333;60;273;338;66;272;378;72;306
"Hai Phong";558;163;395;670;178;492;606;80;526;774;105;669
"Hung Yen";230;11;219;194;2;192;194;11;183;213;5;208
"Thai Binh";443;33;410;371;37;334;463;46;417;469;44;425
"Ha Nam";91;1;90;109;5;104;76;3;73;87;2;85
"Nam Dinh";314;3;311;312;1;311;357;14;343;373;6;367
"Ninh Binh";55;..;55;87;..;87;107;2;105;122;2;120
"Northern midlands and mountain areas";1656;47;1609;1761;52;1709;2057;49;2008;2127;72;2055
"Ha Giang";55;..;55;71;..;71;76;0;76;76;0;76
"Cao Bang";50;..;50;65;..;65;74;0;74;47;0;47
"Bac Kan";54;1;53;31;1;30;48;1;47;27;0;27
"Tuyen Quang";83;2;81;89;3;86;128;1;127;125;0;125
"Lao Cai";69;..;69;76;..;76;108;0;108;94;0;94
"Yen Bai";173;1;172;154;1;153;198;4;194;206;1;205
"Thai  Nguyen";220;14;206;271;10;261;239;16;223;314;22;292
"Lang Son";84;1;83;100;..;100;90;1;89;86;0;86
"Bac Giang";306;19;287;336;23;313;429;16;413;432;24;408
"Phu Tho";310;5;305;329;12;317;351;9;342;440;22;418
"Dien Bien";46;..;46;56;..;56;83;0;83;61;0;61
"Lai Chau";27;..;27;11;..;11;18;0;18;24;0;24
"Son La";106;..;106;91;1;90;104;0;104;83;0;83
"Hoa Binh";73;4;69;81;1;80;111;1;110;112;3;109
"Northern Central area and Central coastal area";3032;237;2795;3250;246;3004;3595;229;3366;4117;244;3873
"Thanh Hoa";460;..;460;423;..;423;437;2;435;584;2;582
"Nghe An";283;45;238;323;49;274;360;44;316;451;65;386
"Ha Tinh";73;4;69;107;13;94;126;13;113;133;21;112
"Quang Binh";137;8;129;126;10;116;158;11;147;168;10;158
"Quang Tri";56;..;56;43;1;42;62;3;59;61;0;61
"Thua Thien-Hue";160;44;116;154;62;92;177;43;134;210;46;164
"Da Nang";279;66;213;269;36;233;300;38;262;349;19;330
"Quang  Nam";175;8;167;212;2;210;233;1;232;272;2;270
"Quang  Ngai";187;..;187;157;..;157;203;0;203;206;0;206
"Binh Dinh";239;9;230;271;17;254;243;8;235;255;7;248
"Phu Yen";213;13;200;229;16;213;259;14;245;233;18;215
"Khanh  Hoa";408;27;381;511;30;481;497;34;463;573;39;534
"Ninh  Thuan";104;1;103;100;..;100;145;5;140;178;4;174
"Binh Thuan";258;12;246;325;10;315;395;13;382;444;11;433
"Central Highlands";802;15;787;908;19;889;1129;28;1101;1081;10;1071
"Kon Tum";43;..;43;41;1;40;63;0;63;57;0;57
"Gia Lai";134;1;133;200;..;200;240;0;240;183;0;183
"Dak Lak";266;4;262;258;2;256;316;5;311;332;4;328
"Dak Nong";49;..;49;57;..;57;77;0;77;79;0;79
"Lam Dong";310;10;300;352;16;336;433;23;410;430;6;424
"South East";3614;480;3134;4304;490;3814;5286;456;4830;5132;549;4583
"Binh Phuoc";261;4;257;326;4;322;363;4;359;365;4;361
"Tay Ninh";494;31;463;509;15;494;721;19;702;648;53;595
"Binh  Duong";363;16;347;390;20;370;480;11;469;459;16;443
"Dong Nai";666;34;632;770;63;707;1037;75;962;1124;130;994
"Ba Ria - Vung Tau";236;27;209;345;49;296;440;40;400;411;20;391
"Ho Chi Minh city";1594;368;1226;1964;339;1625;2245;307;1938;2125;326;1799
"Mekong River Delta";5729;348;5381;6030;350;5680;8348;391;7957;7793;479;7314
"Long An";634;18;616;650;24;626;907;11;896;871;16;855
"Tien Giang";828;16;812;864;12;852;1146;7;1139;1140;13;1127
"Ben Tre";553;4;549;606;15;591;743;21;722;760;19;741
"Tra Vinh";220;27;193;299;48;251;322;39;283;345;33;312
"Vinh Long";508;81;427;478;56;422;529;54;475;694;76;618
"Dong Thap";296;3;293;341;1;340;494;3;491;412;1;411
"An Giang";435;12;423;468;10;458;753;25;728;570;29;541
"Kien  Giang";394;25;369;380;27;353;574;35;539;494;26;468
"Can Tho";398;36;362;459;37;422;575;38;537;583;78;505
"Hau Giang";327;84;243;291;58;233;502;65;437;422;127;295
"Soc Trang";260;26;234;298;39;259;385;41;344;348;38;310
"Bac Lieu";197;12;185;234;11;223;342;27;315;282;14;268
"Ca Mau";679;4;675;662;12;650;1076;25;1051;872;9;863
