"Percentage.of.trained.employed.workers";"Year";"Male";"Female"
"Percentage.of.trained.employed.workers";"Year";"Male";"Female"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2000";"11.8";"8.6"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2001";"12.3";"9"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2002";"12.9";"9.5"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2003";"13.2";"9.7"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2004";"13.8";"10.2"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2005";"14.3";"10.6"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2006";"14.9";"11.2"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2007";"15.6";"11.6"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2008";"16.3";"12.2"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2009";"16.7";"12.8"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2010";"16.2";"12.8"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2011";"17.2";"13.5"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2012";"18.6";"14.5"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2013";"20.3";"15.4"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2014";"20.4";"15.8"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"2015";"22.4";"17.3"
"percentage_of_trained_employed_workers_at_15_years_of_age_and_above";"Prel. 2016";"23";"18"
"percentage_of_trained_employed_workers_at_working_age";"2000";NA;NA
"percentage_of_trained_employed_workers_at_working_age";"2001";NA;NA
"percentage_of_trained_employed_workers_at_working_age";"2002";NA;NA
"percentage_of_trained_employed_workers_at_working_age";"2003";NA;NA
"percentage_of_trained_employed_workers_at_working_age";"2004";NA;NA
"percentage_of_trained_employed_workers_at_working_age";"2005";NA;NA
"percentage_of_trained_employed_workers_at_working_age";"2006";NA;NA
"percentage_of_trained_employed_workers_at_working_age";"2007";"15.8";"12.3"
"percentage_of_trained_employed_workers_at_working_age";"2008";"16.6";"13"
"percentage_of_trained_employed_workers_at_working_age";"2009";"17.1";"13.7"
"percentage_of_trained_employed_workers_at_working_age";"2010";"16.6";"13.9"
"percentage_of_trained_employed_workers_at_working_age";"2011";"17.6";"14.7"
"percentage_of_trained_employed_workers_at_working_age";"2012";"19.1";"15.9"
"percentage_of_trained_employed_workers_at_working_age";"2013";"20.8";"17"
"percentage_of_trained_employed_workers_at_working_age";"2014";"21.2";"17.7"
"percentage_of_trained_employed_workers_at_working_age";"2015";"23.2";"19.3"
"percentage_of_trained_employed_workers_at_working_age";"Prel. 2016";"24";"20.2"
