"Unemployment and underemployment rate of labour force at working age by region and by aged groups by Year, Region, Rate and Age groups"

"Year";"Region";"Unemployment rate General";"Unemployment rate 15-24";"Unemployment rate 25-49";"Unemployment rate 50+";"Underemployment rate General";"Underemployment rate 15-24";"Underemployment rate 25-49";"Underemployment rate 50+"
"Prel. 2016";"Whole country";2.30;7.43;1.46;0.84;1.66;2.57;1.58;1.21
"Prel. 2016";"Red River Delta";2.24;9.69;1.32;0.65;1.05;1.83;0.89;1.13
"Prel. 2016";"Northern midlands and mountain areas";1.17;3.64;0.67;0.26;1.53;2.92;1.33;0.70
"Prel. 2016";"North Central area and Central coastal area";2.78;8.91;1.68;0.71;2.04;3.34;1.90;1.33
"Prel. 2016";"Central Highlands";1.24;2.69;0.91;0.49;2.00;3.81;1.67;0.75
"Prel. 2016";"South  East";2.46;7.68;1.64;1.07;0.45;0.58;0.43;0.44
"Prel. 2016";"Mekong River Delta";2.89;9.27;1.93;1.53;3.05;3.15;3.23;2.22
"2015";"Whole country";2.33;7.03;1.49;0.86;1.89;3.05;1.72;1.46
"2015";"Red River Delta";2.42;9.62;1.45;0.77;1.60;3.08;1.44;1.21
"2015";"Northern midlands and mountain areas";1.10;2.95;0.70;0.29;1.53;2.94;1.28;0.73
"2015";"North Central area and Central coastal area";2.71;8.26;1.67;0.66;2.60;4.12;2.38;1.90
"2015";"Central Highlands";1.03;2.47;0.66;0.47;1.72;3.40;1.39;0.57
"2015";"South  East";2.74;8.02;1.70;1.67;0.50;0.92;0.42;0.42
"2015";"Mekong River Delta";2.77;8.19;1.96;1.15;3.05;3.68;2.98;2.82
"2014";"Whole country";2.10;6.26;1.18;3.52;2.35;3.18;2.22;1.76
"2014";"Red River Delta";2.82;9.30;1.38;8.37;2.44;3.44;2.25;2.89
"2014";"Northern midlands and mountain areas";0.76;1.88;0.44;1.34;1.45;2.69;1.16;0.62
"2014";"North Central area and Central coastal area";2.23;7.24;1.19;1.35;2.58;3.89;2.37;1.35
"2014";"Central Highlands";1.22;3.51;0.58;1.61;2.49;3.58;2.27;0.99
"2014";"South  East";2.47;7.11;1.62;2.46;0.61;0.90;0.59;0.00
"2014";"Mekong River Delta";2.06;6.77;1.23;1.01;4.20;4.35;4.24;2.82
