"Region";"Year";"Unemployment.rate.General";"Unemployment.rate.Urban";"Unemployment.rate.Rural";"Underemployment.rate.General";"Underemployment.rate.Urban";"Underemployment.rate.Rural"
"Region";"Year";"Unemployment.rate.General";"Unemployment.rate.Urban";"Unemployment.rate.Rural";"Underemployment.rate.General";"Underemployment.rate.Urban";"Underemployment.rate.Rural"
"whole_country";"prel_2016";"2.3";"3.23";"1.84";"1.66";"0.73";"2.12"
"red_river_delta";"prel_2016";"2.24";"3.23";"1.73";"1.05";"0.57";"1.29"
"northern_midlands_and_mountain_areas";"prel_2016";"1.17";"3.2";"0.77";"1.53";"0.79";"1.67"
"north_central_area_and_central_coastal_area";"prel_2016";"2.78";"4.3";"2.17";"2.04";"1.19";"2.37"
"central_highlands";"prel_2016";"1.24";"2.19";"0.88";"2";"0.58";"2.53"
"south_east";"prel_2016";"2.46";"2.61";"2.19";"0.45";"0.36";"0.62"
"mekong_river_delta";"prel_2016";"2.89";"3.73";"2.62";"3.05";"1.33";"3.6"
"whole_country";"2015";"2.33";"3.37";"1.82";"1.89";"0.84";"2.39"
"red_river_delta";"2015";"2.42";"3.42";"1.94";"1.6";"0.76";"1.99"
"northern_midlands_and_mountain_areas";"2015";"1.1";"3.11";"0.72";"1.53";"0.96";"1.64"
"north_central_area_and_central_coastal_area";"2015";"2.71";"4.51";"2.05";"2.6";"1.36";"3.05"
"central_highlands";"2015";"1.03";"2.27";"0.57";"1.72";"0.91";"2.02"
"south_east";"2015";"2.74";"3.05";"2.17";"0.5";"0.32";"0.82"
"mekong_river_delta";"2015";"2.77";"3.22";"2.63";"3.05";"1.56";"3.52"
"whole_country";"2014";"2.1";"3.4";"1.49";"2.35";"1.2";"2.9"
"red_river_delta";"2014";"2.82";"4.86";"1.87";"2.44";"0.99";"3.12"
"northern_midlands_and_mountain_areas";"2014";"0.76";"2.35";"0.46";"1.45";"1.03";"1.52"
"north_central_area_and_central_coastal_area";"2014";"2.23";"3.71";"1.7";"2.58";"1.86";"2.84"
"central_highlands";"2014";"1.22";"1.94";"0.93";"2.49";"1.89";"2.73"
"south_east";"2014";"2.47";"3";"1.6";"0.61";"0.3";"1.11"
"mekong_river_delta";"2014";"2.06";"2.79";"1.83";"4.2";"2.32";"4.8"
"whole_country";"2013";"2.18";"3.59";"1.54";"2.75";"1.48";"3.31"
"red_river_delta";"2013";"2.65";"5.13";"1.6";"2.66";"1.33";"3.2"
"northern_midlands_and_mountain_areas";"2013";"0.81";"2.26";"0.54";"1.67";"1.23";"1.75"
"north_central_area_and_central_coastal_area";"2013";"2.15";"3.81";"1.58";"2.9";"2.39";"3.07"
"central_highlands";"2013";"1.51";"2.07";"1.3";"2.42";"2.09";"2.54"
"south_east";"2013";"2.7";"3.34";"1.69";"0.92";"0.43";"1.68"
"mekong_river_delta";"2013";"2.42";"2.96";"2.24";"5.2";"2.8";"6"
