"Commodity term of trade (*) (Year 2010 = 100) by Commodity group and Year"

"Commodity group";"2011";"2012";"2013";"2014";"2015";"2016"
"Commodity term of trade";99.54;99.32;99.27;101.43;103.61;107.60
"Fishery products";99.40;100.17;93.68;98.06;102.29;101.18
"Vegetables and fruit";108.58;108.78;105.04;106.31;104.01;101.21
"Wood and articles of wood";95.81;97.06;96.81;92.76;99.06;104.25
"Confectionery and cereal preparations";84.11;85.94;81.52;81.04;84.92;88.41
"Petroleum oil, refined";98.03;102.04;104.84;102.68;86.37;85.53
"Iron, Steel";95.83;101.88;112.54;105.86;115.89;110.38
"Iron and steel producs";92.07;93.59;89.98;88.57;94.62;91.50
"Plastic materials";95.69;100.57;88.39;78.56;70.98;75.06
"Articles of plastics";85.57;86.93;80.83;80.18;84.32;84.77
"Chemicals";91.64;90.85;91.67;101.74;115.09;115.50
"Chemical products";88.44;86.87;90.31;96.30;104.16;100.94
"Precious stones, precious metals and their products(**)";91.05;91.40;95.73;95.52;99.46;93.02
"Machinery, apparatus, accessory (***)";93.50;96.23;92.46;91.69;90.19;97.07
"Electrical wire and cable";85.91;88.48;88.18;95.32;93.71;95.98
