"Exports of goods by kinds of economic sectors and by commodity group by Items, Kinds of economic sectors and commodity group and Year"

"Items";"Kinds of economic sectors and commodity group";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016 (***)"
"Value (Mill.USD)";"TOTAL";5448.9;7255.9;9185.0;9360.3;11541.4;14482.7;15029.2;16706.1;20149.3;26485.0;32447.1;39826.2;48561.4;62685.1;57096.3;72236.7;96905.7;114529.2;132032.9;150217.1;162016.7;176580.8
"Value (Mill.USD)";"By economic sector";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Value (Mill.USD)";"Domestic economic sector";3975.8;5100.9;5972.0;6145.3;6859.4;7672.4;8230.9;8834.3;9988.1;11997.3;13893.4;16764.9;20786.8;28162.3;26724.0;33084.3;41781.4;42277.2;43882.7;49037.3;47636.3;50345.3
"Value (Mill.USD)";"Foreign invested sector(*)";1473.1;2155.0;3213.0;3215.0;4682.0;6810.3;6798.3;7871.8;10161.2;14487.7;18553.7;23061.3;27774.6;34522.8;30372.3;39152.4;55124.3;72252.0;88150.2;101179.8;114380.4;126235.5
"Value (Mill.USD)";"By commodity group";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Value (Mill.USD)";"Heavy industrial products and minerals";1377.7;2085.0;2574.0;2609.0;3609.5;5382.1;5247.3;5304.3;6485.1;9641.9;11701.4;14428.6;16646.7;23209.4;17621.8;22402.9;34722.6;48228.2;59364.2;66159.1;73519.7;80089.7
"Value (Mill.USD)";"Minerals";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8323.0;11659.0;12212.2;10865.9;10574.0;6078.0;..
"Value (Mill.USD)";"Light industrial and handicraft goods";1549.8;2101.0;3372.4;3427.6;4243.2;4903.1;5368.3;6785.7;8597.3;10870.8;13288.0;16382.4;20693.6;24896.4;25580.3;33336.9;40339.6;43298.7;49939.7;59057.7;64816.4;71281.1
"Value (Mill.USD)";"Agricultural products";1745.8;2159.6;2231.4;2274.3;2545.9;2563.3;2421.3;2396.6;2672.0;3383.6;4467.4;5352.4;7032.8;9239.6;8352.8;10639.5;14447.5;15463.4;14053.3;15213.0;14810.7;18162.3
"Value (Mill.USD)";"Forest products";153.9;212.2;225.2;191.4;169.2;155.7;176.0;197.8;195.3;180.6;252.5;297.6;408.4;468.7;463.4;803.9;1220.7;1363.7;1906.2;1952.6;2296.6;..
"Value (Mill.USD)";"Aquatic products";621.4;696.5;782.0;858.0;973.6;1478.5;1816.4;2021.7;2199.6;2408.1;2732.5;3358.0;3763.4;4510.1;4255.3;5016.9;6112.4;6088.5;6692.6;7825.3;6568.8;7047.7
"Value (Mill.USD)";"Non-monetary gold (**)";..;..;..;..;..;..;..;..;..;..;5.3;7.2;16.5;360.9;822.6;36.6;62.8;86.7;76.9;9.4;4.5;..
"Structure (%)";"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Structure (%)";"By economic sector";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Structure (%)";"Domestic economic sector";73.0;70.3;65.0;65.7;59.4;53.0;54.8;52.9;49.6;45.3;42.8;42.1;42.8;44.9;46.8;45.8;43.1;36.9;33.2;32.6;29.4;28.5
"Structure (%)";"Foreign invested sector(*)";27.0;29.7;35.0;34.3;40.6;47.0;45.2;47.1;50.4;54.7;57.2;57.9;57.2;55.1;53.2;54.2;56.9;63.1;66.8;67.4;70.6;71.5
"Structure (%)";"By commodity group";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Structure (%)";"Heavy industrial products and minerals";25.3;28.7;28.0;27.9;31.3;37.2;34.9;31.8;32.2;36.4;36.1;36.2;34.4;37.0;30.9;31.0;35.8;42.1;45.0;44.0;45.4;45.3
"Structure (%)";"Minerals";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;11.5;12.0;10.7;8.2;7.0;3.8;..
"Structure (%)";"Light industrial and handicraft goods";28.4;29.0;36.7;36.6;36.7;33.9;35.7;40.6;42.7;41.0;41.0;41.2;42.6;39.8;44.8;46.1;41.6;37.8;37.8;39.4;40.0;..
"Structure (%)";"Agricultural products";32.0;29.8;24.3;24.3;22.1;17.7;16.1;14.3;13.3;12.8;13.7;13.4;14.5;14.7;14.6;14.7;14.9;13.5;10.6;10.1;9.1;10.3
"Structure (%)";"Forest products";2.8;2.9;2.5;2.0;1.5;1.1;1.2;1.2;1.0;0.7;0.8;0.8;0.8;0.7;0.8;1.1;1.3;1.2;1.4;1.3;1.4;..
"Structure (%)";"Aquatic products";11.4;9.6;8.5;9.2;8.4;10.1;12.1;12.1;10.8;9.1;8.4;8.4;7.7;7.2;7.5;7.0;6.3;5.3;5.1;5.2;4.1;4.0
"Structure (%)";"Non-monetary gold (**)";..;..;..;..;..;..;..;..;..;..;0.0;0.0;0.0;0.6;1.4;0.1;0.1;0.1;0.1;0.0;0.0;..
