"Imports by Standard International Trade Classification (SITC) by SITC and Year"

"SITC";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"TOTAL";8155.4;11143.6;11592.3;11499.6;11742.1;15636.5;16217.9;19745.6;25255.8;31968.8;36761.1;44891.1;62764.7;80713.8;69948.8;84838.6;106749.8;113780.4;132032.6;147849.1;165775.9
"Primary products";1914.5;2145.6;2136.5;1982.8;2264.5;3527.6;3686.1;4200.6;5282.7;7317.5;9308.2;11481.3;15420.8;21766.1;16340.8;19962.6;27620.0;26898.8;27712.0;30648.2;29367.6
"Food, foodstuff and live animal";379.9;408.5;430.3;461.7;505.9;626.5;834.2;939.2;1262.2;1495.2;1955.2;2299.3;3279.6;4525.0;4631.2;6225.1;7379.8;7669.1;9077.1;10666.9;12042.6
"Beverages and tobacco";80.9;43.1;83.2;122.1;85.7;102.8;108.4;149.3;152.7;162.6;175.8;145.0;183.3;269.4;341.6;292.9;318.5;321.1;377.7;383.2;408.6
"Crude materials, inedible, except fuels";456.9;407.3;369.7;381.8;452.8;590.8;690.1;816.1;1001.0;1454.3;1623.2;2084.3;2740.8;4005.8;3388.5;4622.3;6497.5;6739.1;7469.2;8505.7;8409.0
"Mineral fuels, lubricants and related materials";901.6;1238.0;1194.5;964.4;1120.3;2121.0;1970.3;2165.4;2714.4;3981.8;5365.7;6699.0;8744.2;12329.7;7497.4;8140.3;12531.1;11452.1;10118.8;10355.7;7845.0
"Animal and vegetable oils, fats and wax";95.0;48.6;58.8;52.9;99.8;86.5;83.1;130.6;152.4;223.6;188.3;253.7;472.9;636.2;482.1;682.0;893.1;717.4;669.2;736.7;662.4
"Manufactured products";6240.9;8973.1;9428.6;9512.0;9470.5;12101.2;12531.8;15531.8;19791.9;24084.3;26633.1;31531.0;46027.8;56219.4;53225.4;63910.6;77056.1;86780.5;104202.8;117072.1;136281.3
"Chemical and related products, n.e.s";1285.2;1814.6;1948.5;2153.8;2040.4;2401.7;2490.0;2932.6;3622.9;4693.5;5309.9;6317.4;8368.7;10297.8;10225.4;12491.3;15550.4;16161.4;18197.5;19714.5;20145.7
"Manufactured goods classified chiefly by materials";1511.8;2389.2;2676.2;2379.9;2736.0;3402.1;3729.4;5414.8;6672.1;8859.1;10172.2;12164.0;17062.3;20112.8;17777.4;22449.6;25594.8;26221.4;30058.5;34763.9;37117.9
"Machinery and transport equipment";2343.3;3400.3;3432.6;3487.3;3452.7;4711.0;4865.1;5757.6;7921.5;8736.6;9252.3;10805.7;17859.8;22425.3;21908.0;24713.5;31092.1;38885.3;49419.9;55018.1;70263.1
"Miscellaneous manufactured articles";1100.6;1369.1;1371.3;1491.1;1241.3;1586.4;1447.3;1426.8;1575.4;1795.1;1898.7;2243.9;2737.0;3383.5;3314.6;4256.2;4818.8;5512.4;6526.9;7575.6;8754.6
"Commodities not clasified elsewhere in SITC";0.0;24.9;27.3;4.8;7.0;7.7;..;13.2;181.2;567.0;819.8;1878.8;1316.1;2728.3;382.6;965.4;2073.7;101.1;117.8;128.8;127.0
