"Imports of good by kinds of economic sector and by commodity group by Items, Economic sector and commodity group and Year"

"Items";"Economic sector and commodity group";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"Value (Mill.USD)";"TOTAL";8155.4;11143.6;11592.3;11499.6;11742.1;15636.5;16218.0;19745.6;25255.8;31968.8;36761.1;44891.1;62764.7;80713.8;69948.8;84838.6;106749.8;113780.4;132032.6;147849.1;165775.9;174803.8
"Value (Mill.USD)";"Domestic economic sector";6687.3;9100.9;8396.1;8831.6;8359.9;11284.5;11233.0;13042.0;16440.8;20882.2;23121.0;28401.7;41052.3;52831.7;43882.1;47870.7;58362.8;53839.2;57597.6;63638.2;68549.4;72367.8
"Value (Mill.USD)";"Foreign invested sector";1468.1;2042.7;3196.2;2668.0;3382.2;4352.0;4985.0;6703.6;8815.0;11086.6;13640.1;16489.4;21712.4;27882.1;26066.7;36967.9;48387.0;59941.2;74435.0;84210.9;97226.5;102436.0
"Value (Mill.USD)";"Mean of production";6917.6;9759.9;10421.2;10524.1;10750.4;14668.2;14930.5;18192.4;23288.0;29833.4;32949.2;39504.1;56788.6;71715.9;63093.2;75496.0;94551.5;103430.2;119933.1;134674.5;151004.3;159266.8
"Value (Mill.USD)";"Machinery, instrument, accessory";2096.9;3075.0;3511.5;3513.3;3503.6;4781.5;4949.0;5879.9;7983.7;9207.5;9285.3;11040.8;17966.2;22566.7;22081.5;25152.4;31592.9;39911.6;50520.2;56306.6;71647.4;72439.0
"Value (Mill.USD)";"Fuels, raw material";4820.7;6684.9;6909.7;7010.8;7246.8;9886.7;9981.5;12312.5;15304.3;20625.9;23663.9;28463.3;38822.4;49149.1;41011.7;50343.6;62958.6;63518.6;69412.9;78367.9;79356.9;86827.8
"Value (Mill.USD)";"Consumer goods";1237.8;1383.7;1171.1;975.5;991.7;968.3;1287.4;1553.2;1967.8;2135.4;2992.5;3508.4;4660.1;6269.9;6473.3;8378.0;10125.3;10249.8;11982.4;13046.4;14645.1;15537.0
"Value (Mill.USD)";"      Food";..;..;..;..;..;0.3;0.0;0.4;0.7;1.3;3.8;7.2;2.5;3.8;41.2;7.9;3.5;8.4;6.5;5.5;8.7;..
"Value (Mill.USD)";"Foodstuffs";289.1;319.2;245.3;276.1;297.9;301.8;479.7;486.2;597.4;776.4;1100.2;1238.9;1555.2;2190.2;2085.5;2838.4;3711.0;3761.6;4564.8;5456.3;6295.4;..
"Value (Mill.USD)";"Pharmaceutical and medicinal products";69.4;216.5;357.5;325.0;270.5;333.8;328.4;361.4;413.3;439.6;527.1;598.8;763.8;890.2;1158.6;1312.0;1589.8;1868.6;1956.9;2115.7;2378.5;2562.8
"Value (Mill.USD)";"Others";879.3;848.0;568.3;374.4;423.3;332.4;479.3;705.2;956.4;918.1;1361.4;1663.5;2338.6;3185.7;3188.0;4219.7;4821.0;4611.2;5454.2;5468.9;5962.5;..
"Value (Mill.USD)";"Non-monetary gold";..;..;..;..;..;..;..;..;..;..;819.4;1878.6;1316.0;2728.0;382.3;964.6;2073.0;100.4;117.1;128.2;126.5;..
"Structure (%)";"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Structure (%)";"Domestic economic sector";82.0;81.7;72.4;76.8;71.2;72.2;69.3;66.1;65.1;65.3;62.9;63.3;65.4;65.5;62.7;56.4;54.7;47.3;43.6;43.0;41.4;41.4
"Structure (%)";"Foreign invested sector";18.0;18.3;27.6;23.2;28.8;27.8;30.7;33.9;34.9;34.7;37.1;36.7;34.6;34.5;37.3;43.6;45.3;52.7;56.4;57.0;58.6;58.6
"Structure (%)";"Mean of production";84.8;87.6;89.9;91.5;91.6;93.8;92.1;92.1;92.2;93.3;89.6;88.0;90.5;88.8;90.2;89.0;88.6;90.9;90.8;91.1;91.1;91.1
"Structure (%)";"Machinery, instrument, accessory";25.7;27.6;30.3;30.6;29.9;30.6;30.5;29.8;31.6;28.8;25.3;24.6;28.6;28.0;31.6;29.6;29.6;35.1;38.2;38.1;43.2;41.4
"Structure (%)";"Fuels, raw material";59.1;60.0;59.6;61.0;61.7;63.2;61.6;62.3;60.6;64.5;64.4;63.4;61.9;60.8;58.6;59.4;59.0;55.8;52.6;53.0;47.9;49.7
"Structure (%)";"Consumer goods";15.2;12.4;10.1;8.5;8.4;6.2;7.9;7.9;7.8;6.7;8.2;7.8;7.4;7.8;9.3;9.9;9.5;9.0;9.1;8.8;8.8;8.9
"Structure (%)";"      Food";..;..;..;..;..;0.0;..;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;..
"Structure (%)";"Foodstuffs";3.5;2.9;2.1;2.4;2.5;1.9;3.0;2.5;2.4;2.4;3.0;2.8;2.5;2.8;3.0;3.3;3.5;3.3;3.5;3.7;3.8;..
"Structure (%)";"Pharmaceutical and medicinal products";0.9;1.9;3.1;2.8;2.3;2.2;2.0;1.8;1.6;1.4;1.4;1.3;1.2;1.1;1.7;1.6;1.5;1.6;1.5;1.4;1.4;1.5
"Structure (%)";"Others";10.8;7.6;5.0;3.2;3.6;2.1;3.0;3.6;3.8;2.9;3.7;3.7;3.7;3.9;4.5;5.0;4.5;4.1;4.1;3.7;3.6;..
"Structure (%)";"Non-monetary gold";..;..;..;..;..;..;..;..;..;..;2.2;4.2;2.1;3.4;0.5;1.1;1.9;0.1;0.1;0.1;0.1;..
