"Monthly consumer price index, gold and USD price index as compared to base preriod 2009 by Year, Commondity group and Month"

"Year";"Commondity group";"Jan.";"Feb.";"Mar.";"Apr.";"May";"Jun.";"Jul.";"Aug.";"Sep.";"Oct.";"Nov.";"Dec."
"2016";" Consumer price index";100.17;100.59;101.16;101.50;102.05;102.52;102.65;102.76;103.31;104.17;104.67;104.91
"2016";"Food and foodstuffs";102.25;104.27;103.76;103.76;104.13;104.35;104.29;104.15;104.25;104.43;104.95;104.92
"2016";"     Food";99.89;100.54;100.78;101.90;102.59;102.34;101.68;101.33;101.49;101.52;101.74;101.97
"2016";"     Foodstuffs";102.02;104.53;103.83;103.55;103.94;104.32;104.31;104.11;104.22;104.49;105.24;105.11
"2016";"Beverage  and  cigarette";102.69;103.87;103.31;103.48;103.60;103.73;103.82;103.88;103.92;103.98;104.03;104.25
"2016";"Garment, footwear, hat";102.30;102.77;102.59;102.64;102.66;102.72;102.76;102.90;103.04;103.09;103.34;103.60
"2016";"Housing & material construction";99.40;98.99;98.98;99.69;100.57;101.12;101.26;101.24;101.34;101.65;102.15;102.34
"2016";"Housing and construction materials";103.28;103.48;103.47;103.57;103.66;103.72;103.78;103.84;103.95;103.98;104.08;104.17
"2016";"Medicine and health care services";102.57;102.63;127.61;128.19;128.26;128.32;128.35;136.28;136.30;150.02;151.37;159.39
"2016";"Transport";83.08;79.79;76.88;78.21;80.08;82.48;83.46;81.82;82.26;83.93;85.29;84.54
"2016";"Post and Communication";99.01;98.85;98.75;98.76;98.78;98.73;98.63;98.60;98.53;98.41;98.39;98.36
"2016";"Education";107.10;107.38;108.09;108.49;108.50;108.57;108.57;109.08;116.92;117.63;117.64;117.64
"2016";"Culture, entertainments and tourism";101.46;102.18;102.08;102.08;102.43;102.61;102.62;102.49;102.68;102.66;102.68;102.66
"2016";"Other consumer goods & services";104.52;105.36;105.12;105.22;105.81;105.84;106.02;106.14;106.19;106.37;106.51;106.61
"2016";" Gold price index";91.68;94.44;99.05;99.35;100.79;100.78;106.18;108.00;107.62;105.79;104.61;101.98
"2016";" USD price index";105.43;104.75;104.36;104.41;104.30;104.39;104.17;104.12;104.19;104.27;104.49;106.08
