"Producer price index for services (Year 2010 = 100) by Items and Year"

"Items";"2012";"2013";"2014";"2015";"2016"
"GENERAL INDEX";112.44;115.87;119.32;120.85;123.72
"Transportation and storage (including postal and courier activities)";127.95;136.74;142.24;138.11;136.92
"Accommodation and food service activities";124.36;132.46;139.17;143.30;147.77
"Information and communication";99.43;101.72;102.42;102.84;103.07
"Professional, scientific and technical activities";114.70;119.65;120.74;122.79;123.40
"Administrative and support service activities";117.36;124.50;127.21;129.18;131.79
"Education and training";116.74;123.25;131.75;139.45;147.18
"Human health and social work activities";127.54;136.38;143.59;146.35;183.49
"Arts, entertainment and recreation";113.50;117.73;119.00;120.09;121.52
"Other service activities";119.00;130.44;139.25;144.49;151.55
"Activities of households as employers";128.75;142.37;153.92;161.79;169.60
