"Some main goods for exportation by Main goods and Year"

"Main goods";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"Chromium (Mill.USD)";..;..;..;..;..;4.5;3.4;2.9;8.1;9.0;1.9;2.7;..;..;..;..;..;..;..;..;..;..
"Crude oil (Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5023.5;..;8211.9;7226.4;7224.2;3823.8;2361.1
"Coal (Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1614.6;..;1239.8;914.1;554.5;185.1;138.7
"Tin (Mill.USD)";..;..;..;..;..;16.8;..;..;..;14.0;13.3;20.5;28.6;41.5;9.1;27.5;59.1;35.1;45.3;49.4;28.5;..
"Electronic parts (Including TV parts), computer and their parts (Mill.USD)";..;..;..;..;..;788.6;709.5;605.4;854.7;1062.4;1427.4;1807.8;2165.2;2640.3;2763.0;3590.1;4662.2;7848.8;10636.0;11434.4;15607.6;18956.9
"Phones all of kinds and their parts (Mill.USD)";..;..;..;..;..;..;..;..;..;..;10.4;..;..;..;593.3;2307.3;6396.7;12746.6;21253.3;23572.7;30239.6;34315.6
"Articles of plastic (Mill.USD)";..;..;..;..;..;95.5;119.6;143.4;170.2;239.2;357.7;452.3;709.5;933.7;867.4;1130.2;1373.7;1595.5;1817.8;2041.3;2060.3;2212.4
"Electrical wire and cable (Mill.USD)";..;..;..;..;..;129.5;181.0;187.7;291.7;389.7;518.2;705.7;882.3;1009.0;891.8;1316.0;443.6;618.8;678.5;756.7;896.6;1070.7
"Bicycles and parts of bicycle (Mill.USD)";..;..;..;..;..;66.6;129.4;122.7;155.4;235.2;158.4;110.6;81.2;89.1;85.8;93.6;44.6;18.0;18.1;29.2;28.0;..
"Rucksacks, bag, pockets, wallets, hats and umbrellas (Mill.USD)";..;..;..;..;..;..;183.3;237.2;243.3;382.1;470.9;502.1;627.1;773.1;824.1;985.5;1285.4;1522.5;1933.1;2533.5;2874.7;3169.9
"Footwear (Mill.USD)";296.4;530.0;978.4;1031.0;1387.1;1471.7;1587.4;1875.2;2260.5;2691.1;3038.8;3595.9;3999.5;4769.9;4071.3;5123.3;6549.4;7263.9;8400.6;10317.8;12012.6;12998.1
"Textile, sewing products (Mill.USD)";765.5;993.1;1502.6;1450.0;1746.2;1891.9;1975.4;2732.0;3609.1;4429.8;4772.4;5854.8;7732.0;9120.5;9065.6;11209.8;13211.7;14416.2;17933.4;20101.2;22808.7;23824.9
"Rattan, bamboo and rush products (Mill.USD)";30.8;61.7;48.4;36.8;62.2;92.5;103.1;113.2;141.2;171.7;157.3;214.1;246.7;199.6;22.1;189.9;202.8;211.1;229.7;242.1;247.1;262.8
"Pottery and glassware (Mill.USD)";22.0;30.9;54.4;55.1;83.1;108.4;117.1;123.5;135.9;154.6;255.3;274.4;334.9;344.3;267.2;317.1;359.2;440.5;472.3;514.3;477.0;430.6
"Fibres of all kinds";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1377.6;..;1843.7;2150.2;2548.7;2549.8;2929.5
"Cassava and the product of cassava";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;567.2;..;1351.4;1101.8;1138.5;1320.3;999.6
"Fine art products (Mill.USD)";18.7;20.7;43.1;12.9;22.5;36.2;34.0;51.0;59.6;90.5;89.9;119.5;217.8;385.5;1296.2;14.2;..;..;..;..;..;..
"Embroidery products (Mill.USD)";20.4;11.0;13.8;35.3;32.6;50.5;54.7;52.7;60.6;91.6;78.4;98.1;111.8;110.6;129.3;154.0;..;..;..;..;..;..
"Fresh and processed vegetables & fruit (Mill.USD)";56.1;90.2;71.2;52.6;106.6;213.1;344.3;221.2;151.5;177.7;235.5;259.1;305.6;406.5;438.9;460.3;622.6;827.0;1073.2;1489.0;1839.3;2457.2
"Pepper (Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;421.5;..;793.7;889.8;1201.9;1259.9;1428.6
"Coffee (Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1851.4;..;3674.4;2717.3;3557.4;2671.0;3334.2
"Rubber(Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2386.2;..;2860.2;2486.9;1780.8;1531.5;1669.6
"Rice (Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3249.5;..;3673.7;2922.7;2935.2;2796.3;2159.0
"Shelled cashew nut (Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1136.9;..;1470.1;1646.1;1993.6;2397.6;2841.5
"Shelled ground nut (Mill.USD)";..;..;..;..;..;41.0;..;..;..;27.3;33.0;10.5;31.3;13.7;21.5;22.5;7.1;5.6;11.0;11.9;11.0;..
"Meat and meat preparations (Mill.USD)";12.1;10.2;28.8;12.0;11.6;25.6;41.7;27.3;21.1;39.9;35.6;26.3;48.4;58.9;45.1;40.1;58.9;68.1;52.9;66.2;89.3;..
"Foodstuff processed from starch and cereals (Mill.USD)";..;..;..;..;..;59.7;98.4;91.4;82.5;100.9;129.6;151.2;194.1;258.6;276.2;385.2;377.5;410.8;446.5;454.0;657.9;533.2
"Dairy products (Mill.USD)";..;..;..;..;..;80.4;191.5;85.9;67.2;34.3;85.3;90.1;16.3;29.6;23.7;33.7;66.6;122.8;115.5;92.8;95.3;..
"Sugars (Mill.USD)";..;..;..;..;..;28.9;32.4;9.4;10.7;0.5;0.3;2.3;4.7;5.0;1.5;0.8;173.8;47.1;251.7;118.4;58.0;..
"Tea (Mill.USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;200.5;224.8;229.4;228.1;217.2;217.2
"Vegetable oils and fats (Mill.USD)";..;..;..;..;..;..;30.1;23.5;22.1;36.1;13.7;15.4;49.3;99.6;77.4;98.0;209.6;314.5;251.5;257.6;280.5;..
