"Some main goods for importation by Main goods and Year"

"Main goods";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016 (*)"
"Motor vehicles, assembled (Mill. USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;594.8;752.2;1568.3;2990.2;2381.2
"Machinery, apparatus and parts for textile, garment (Mill. USD)";..;..;..;..;..;296.4;242.6;325.1;402.3;378.2;447.2;481.8;641.7;847.9;459.8;578.3;707.1;610.6;817.0;1231.9;1365.7;..
"Machinery, apparatus and parts for leather, footwear (Mill. USD)";..;..;..;..;..;..;23.0;37.1;58.0;54.8;87.4;57.9;69.3;62.6;27.9;70.3;75.7;59.7;93.7;127.5;172.0;..
"Machinery, apparatus and parts for paper or paperboard industry (Mill. USD)";..;..;..;..;..;..;32.1;31.4;74.9;57.1;64.0;52.3;112.5;250.4;241.5;150.3;161.8;121.2;112.7;131.5;217.0;..
"Machinery, apparatus and parts for plastic industry (Mill. USD)";..;..;..;..;..;..;56.8;114.9;128.1;131.9;164.8;216.1;318.1;357.8;309.2;348.4;387.5;421.1;545.0;602.6;715.0;..
"Machinery, apparatus and parts for construction (Mill. USD)";..;..;..;..;..;118.7;197.8;294.2;280.2;254.9;255.8;290.8;392.6;606.8;818.2;868.8;639.1;433.0;483.3;602.7;793.7;..
"Machinery, apparatus and parts for cement production (Mill. USD)";..;..;..;..;..;22.6;67.9;86.5;61.4;52.8;63.3;112.5;273.1;328.2;171.4;211.7;161.2;108.4;150.7;111.4;318.5;..
"Machinery, apparatus and parts for aircraft and airfield (Mill. USD)";..;..;..;..;..;13.0;31.9;33.8;568.5;658.2;65.9;7.8;515.0;261.5;235.5;341.5;668.1;1320.7;1195.5;381.2;1662.6;..
"Machinery, apparatus and parts for telecommunication (Mill. USD)";..;..;..;..;..;141.4;206.4;211.2;302.6;378.1;598.2;945.7;1631.7;2017.0;2586.1;2480.6;2682.3;5030.4;8048.0;8700.7;10968.0;..
"Machinery, apparatus and parts for manufacture of food or drink (Mill. USD)";..;..;..;..;..;61.7;73.9;86.7;98.9;106.2;130.9;198.3;247.7;335.1;306.4;249.3;327.0;411.2;322.2;363.0;362.3;..
"Electronic goods, computers and their parts (Mill. USD)";..;..;..;..;..;892.8;710.1;701.2;1014.1;1349.5;1638.6;1869.7;2958.4;3714.1;3220.6;5208.3;7873.8;13166.4;17784.3;18823.5;23211.4;27892.4
"Petroleum oil, refined (Mill. USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8960.2;6951.9;7467.2;5522.7;5086.3
