"Spatial cost of living index among regions by commodity group (Red River Delta  = 100) by Year, Commondity group and Region"

"Year";"Commondity group";"Red River Delta";"Northern midlands and mountain areas";"North Central and Central coastal areas";"Central  Highlands";"South East";"Mekong River Delta"
"2016";"General index";100.00;101.34;100.33;101.12;101.73;98.29
"2016";"Food and foodstuff";100.00;101.23;99.84;100.60;101.39;97.82
"2016";"Beverage and cigarette";100.00;100.90;100.69;101.77;102.33;100.03
"2016";"Garment, hat, footwear";100.00;101.00;100.31;100.56;101.72;97.48
"2016";"Housing and construction materials";100.00;100.30;100.87;101.52;103.93;99.25
"2016";"Household equipment and goods";100.00;101.17;99.97;101.40;100.91;98.35
"2016";"Medicine and health care services";100.00;106.91;104.60;105.63;103.31;98.00
"2016";"Transport";100.00;101.78;100.35;100.86;102.17;99.85
"2016";"Post and Communication";100.00;104.09;108.06;100.67;107.57;106.18
"2016";"Education";100.00;96.77;99.30;100.59;100.37;96.54
"2016";"Culture, entertainments and tourism";100.00;100.41;99.61;101.41;101.20;97.98
"2016";"Other consumer goods and services";100.00;102.38;100.82;101.00;101.81;99.36
"2015";"General index";100.00;104.77;101.90;103.85;104.31;96.29
"2015";"Food and foodstuff";100.00;105.87;99.22;105.41;103.50;94.83
"2015";"Beverage and cigarette";100.00;104.14;103.02;107.37;100.19;102.10
"2015";"Garment, hat, footwear";100.00;108.73;100.37;104.75;102.50;98.69
"2015";"Housing and construction materials";100.00;105.17;104.93;100.61;106.19;99.36
"2015";"Household equipment and goods";100.00;106.43;104.57;103.35;106.82;102.09
"2015";"Medicine and health care services";100.00;107.40;120.18;109.75;112.74;105.47
"2015";"Transport";100.00;103.73;106.07;108.13;100.63;88.78
"2015";"Post and Communication";100.00;103.67;92.88;93.57;91.41;98.58
"2015";"Education";100.00;91.10;93.01;89.67;106.66;91.53
"2015";"Culture, entertainments and tourism";100.00;105.56;103.71;103.03;105.93;96.55
"2015";"Other consumer goods and services";100.00;99.53;96.39;99.20;103.66;93.41
