"Turnover of travelling at current prices by province by Cities, provincies and Year"

"Cities, provincies";"2010";"2012";"2013";"2014";"2015"
" WHOLE COUNTRY";15539.3;18852.9;24820.6;27799.4;30444.1
"Red River Delta";4226.0;3479.2;7347.1;8140.8;8543.0
"Ha Noi";4005.6;3006.6;6764.0;7482.8;7831.9
"Vinh Phuc";6.6;10.6;40.6;68.0;71.5
"Bac Ninh";2.2;3.0;4.9;5.4;12.3
"Quang Ninh";103.8;311.0;358.6;391.7;434.8
"Hai Duong";8.7;11.4;12.7;10.5;10.7
"Hai Phong";79.2;104.8;120.3;127.4;132.2
"Hung Yen";1.1;1.7;2.2;3.0;3.8
"Thai Binh";1.5;0.9;4.0;5.8;8.3
"Ha Nam";7.5;10.3;12.2;13.8;15.1
"Nam Dinh";5.5;13.4;13.7;13.6;13.9
"Ninh Binh";4.3;5.5;13.9;18.8;8.5
"Northern midlands and mountain areas";141.7;170.5;187.0;205.0;253.6
"Ha Giang";16.1;25.2;28.5;30.2;35.5
"Cao Bang";2.0;0.8;2.2;4.5;1.8
"Bac Kan";..;..;0.1;0.1;0.2
"Tuyen Quang";2.0;1.4;2.5;2.7;3.6
"Lao Cai";84.0;93.7;105.6;110.9;129.9
"Yen Bai";0.3;0.4;0.7;0.5;..
"Thai  Nguyen";7.9;13.2;14.5;15.8;18.6
"Lang Son";14.7;18.3;13.9;8.5;7.7
"Bac Giang";6.4;9.3;10.0;11.0;25.7
"Phu Tho";4.0;7.0;7.7;8.3;12.4
"Dien Bien";..;0.9;0.1;..;..
"Lai Chau";..;..;..;1.4;1.6
"Son La";..;0.1;1.2;11.1;15.1
"Hoa Binh";4.3;0.2;..;..;1.5
"Northern Central area and Central coastal area";810.8;1254.6;1406.3;1818.5;2228.8
"Thanh Hoa";21.5;43.3;50.1;60.0;73.1
"Nghe An";38.1;51.8;48.0;48.8;53.1
"Ha Tinh";2.8;5.2;7.8;10.8;16.4
"Quang Binh";15.8;54.3;59.2;94.6;179.9
"Quang Tri";15.5;34.4;34.0;27.0;29.2
"Thua Thien-Hue";81.4;110.8;129.1;141.4;134.9
"Da Nang";379.9;621.4;686.7;987.1;1166.4
"Quang  Nam";64.4;106.7;140.8;201.1;289.6
"Quang  Ngai";2.5;4.4;5.0;5.2;6.1
"Binh Dinh";14.9;24.8;26.1;30.4;32.4
"Phu Yen";1.5;1.5;1.3;1.6;2.0
"Khanh  Hoa";124.4;136.9;154.7;164.5;197.4
"Ninh  Thuan";2.2;2.9;1.7;2.2;1.9
"Binh Thuan";45.9;56.2;61.8;43.8;46.4
"Central Highlands";83.9;61.5;84.4;88.2;109.2
"Kon Tum";1.4;2.2;2.0;2.8;3.0
"Gia Lai";11.2;20.3;22.3;25.3;26.2
"Dak Lak";8.5;2.5;23.1;27.1;31.8
"Dak Nong";0.5;0.3;0.3;0.2;1.0
"Lam Dong";62.3;36.2;36.7;32.8;47.2
"South East";10012.1;13505.8;15358.8;17092.9;18797.1
"Binh Phuoc";2.3;0.9;3.0;4.1;5.5
"Tay Ninh";16.8;9.2;15.4;22.5;17.9
"Binh  Duong";152.7;205.6;198.7;30.9;26.7
"Dong Nai";27.4;69.7;62.4;68.3;73.1
"Ba Ria - Vung Tau";305.8;170.9;228.7;195.2;217.6
"Ho Chi Minh city";9507.1;13049.5;14850.6;16771.9;18456.3
"Mekong River Delta";264.8;381.3;437.0;454.0;512.4
"Long An";5.4;9.9;12.0;14.0;14.0
"Tien Giang";28.6;49.8;48.1;54.4;61.4
"Ben Tre";22.8;35.1;42.3;46.6;50.5
"Tra Vinh";5.5;8.6;6.1;8.8;18.4
"Vinh Long";15.0;18.3;19.9;28.8;29.1
"Dong Thap";10.1;13.5;17.0;20.6;27.6
"An Giang";37.9;27.3;35.6;19.8;26.3
"Kien  Giang";27.2;32.8;79.4;95.5;137.7
"Can Tho";102.6;174.1;160.8;150.2;131.3
"Hau Giang";..;..;4.0;2.6;1.6
"Soc Trang";1.3;1.3;0.5;0.7;0.8
"Ca Mau";8.4;10.6;11.3;12.0;13.7
