"Number of passengers carried by province (*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
" WHOLE COUNTRY";739.3;794.4;849.5;1042.1;1164.9;1297.6;1443.2;1585.3;1737.3;1960.4;2262.3;2442.1;2642.5;2804.9;3004.4;3259.7
"Red River Delta";77.7;80.6;105.2;269.8;342.5;415.3;469.3;520.8;589.8;648.5;762.1;787.7;863.4;928.1;1026.3;1099.3
"Ha Noi";33.4;34.4;55.6;213.6;277.7;335.3;375.5;413.4;496.3;549.3;648.1;652.7;721.1;776.8;867.4;930.2
"Ha Tay";12.2;11.5;12.4;13.2;14.4;20.6;27.7;28.5;..;..;..;..;..;..;..;..
"Vinh Phuc";0.9;0.9;1.3;1.7;2.6;3.9;4.2;6.0;7.0;7.9;9.9;10.9;11.8;12.8;14.2;15.1
"Bac Ninh";2.4;2.6;2.6;3.0;3.2;3.5;4.3;6.0;7.0;7.8;9.4;10.8;11.3;11.6;12.8;11.2
"Quang Ninh";5.7;6.3;6.6;7.4;7.8;8.5;8.9;11.1;12.2;12.9;13.9;17.1;18.1;20.2;22.4;24.9
"Hai Duong";1.3;1.4;1.8;2.8;4.0;4.4;5.5;5.7;8.2;9.6;12.0;14.3;15.1;17.0;19.2;20.8
"Hai Phong";11.0;11.8;12.3;13.9;15.7;17.7;21.2;23.6;29.0;28.0;30.8;34.2;34.5;34.9;39.4;42.9
"Hung Yen";1.3;1.7;1.8;2.1;2.3;2.8;3.2;4.3;4.6;4.9;5.7;6.5;6.9;7.6;8.3;9.0
"Thai Binh";2.0;2.1;2.2;2.5;3.5;4.1;4.3;6.0;7.0;8.4;9.5;14.1;15.0;16.2;12.7;13.1
"Ha Nam";0.9;0.9;1.0;1.1;1.6;2.5;2.2;2.6;3.0;3.2;3.9;4.2;4.9;5.2;5.3;5.7
"Nam Dinh";4.7;5.0;5.3;5.8;6.0;6.1;6.2;6.6;7.7;8.0;9.1;10.0;11.1;11.2;11.3;11.7
"Ninh Binh";1.9;2.0;2.2;2.7;3.7;5.9;6.1;7.0;7.8;8.5;9.8;12.9;13.6;14.6;13.3;14.7
"Northern midlands and mountain areas";19.9;21.6;23.3;25.8;29.6;33.3;38.1;42.0;49.2;56.6;63.5;67.7;72.3;74.7;80.0;85.2
"Ha Giang";0.4;0.5;0.5;0.5;0.5;0.5;0.6;0.7;0.8;1.0;1.1;1.6;1.8;1.9;2.0;2.1
"Cao Bang";1.0;1.1;1.1;1.2;1.3;1.1;0.9;1.0;1.2;1.2;1.2;1.2;1.3;1.4;1.6;1.8
"Bac Kan";0.7;0.7;0.8;1.2;1.2;1.3;1.4;1.5;1.6;2.1;2.2;3.0;3.0;2.9;3.0;3.1
"Tuyen Quang";1.5;1.6;1.9;2.1;2.5;3.4;4.2;3.6;5.3;5.7;5.8;5.8;6.0;6.0;6.6;7.3
"Lao Cai";1.6;1.7;1.8;1.9;2.2;2.5;3.0;3.4;4.0;4.1;4.2;4.6;4.6;4.5;4.7;5.4
"Yen Bai";2.4;2.8;2.8;3.3;3.9;4.5;4.8;5.0;5.2;5.5;5.9;5.9;6.4;6.9;6.9;7.2
"Thai Nguyen";1.4;1.5;1.5;1.9;2.4;2.5;3.2;4.0;4.8;5.9;6.3;7.2;8.2;8.6;9.6;10.2
"Lang Son";1.7;1.9;2.1;2.0;2.3;3.4;3.6;4.0;5.1;6.5;7.5;8.2;8.6;8.9;9.6;10.2
"Bac Giang";3.3;3.4;3.4;3.7;4.1;4.7;5.7;7.5;9.5;11.7;14.8;16.2;17.4;18.5;20.2;20.9
"Phu Tho";1.8;1.9;2.6;2.4;2.5;2.9;3.4;4.0;4.5;4.8;5.7;5.1;5.5;5.5;6.1;6.4
"Dien Bien";1.0;1.0;1.0;0.5;0.6;0.6;0.7;0.7;0.8;0.9;1.0;1.1;1.1;1.0;1.0;1.1
"Lai Chau";..;..;..;0.4;0.4;0.4;0.5;0.7;0.7;0.8;1.0;0.9;1.0;1.1;1.1;1.2
"Son La";1.4;1.5;1.5;2.0;2.1;2.2;2.2;2.3;2.4;2.4;2.7;2.7;2.9;3.0;3.0;3.2
"Hoa Binh";1.7;2.0;2.3;2.7;3.6;3.3;3.9;3.6;3.3;4.0;4.1;4.2;4.5;4.5;4.6;5.1
"Northern Central area and Central coastal area";93.8;93.1;94.8;102.9;112.5;120.1;134.9;148.6;161.8;178.2;199.9;210.9;228.3;238.7;253.3;273.1
"Thanh Hoa";2.7;3.2;3.4;3.6;3.8;5.0;5.7;6.6;8.4;10.6;12.4;13.2;13.8;14.9;16.1;17.9
"Nghe An";9.4;9.8;11.1;12.7;16.0;16.5;19.3;22.8;24.2;28.8;30.7;36.9;41.1;44.8;48.5;55.2
"Ha Tinh";2.2;2.3;2.7;2.8;3.4;3.6;4.2;5.2;6.3;7.7;9.8;11.3;12.4;13.3;14.6;16.8
"Quang Binh";5.8;6.0;6.7;7.0;7.4;7.7;5.1;6.8;9.4;9.8;12.4;9.8;10.6;11.0;11.6;12.8
"Quang Tri";4.2;3.8;3.2;3.2;3.2;3.0;3.5;3.8;4.6;6.0;6.6;5.4;5.5;5.8;6.2;6.3
"Thua Thien-Hue";9.7;10.0;9.8;12.1;9.1;7.2;12.7;13.6;13.6;12.1;12.6;13.0;14.9;16.0;17.5;18.6
"Da Nang";15.4;12.9;12.3;13.2;14.9;12.0;13.3;15.3;17.4;18.8;23.8;25.7;27.8;26.2;29.9;25.5
"Quang  Nam";6.3;6.4;6.9;6.9;6.9;7.1;8.6;8.8;8.7;8.7;9.4;9.8;11.0;12.4;10.0;12.2
"Quang  Ngai";1.1;1.1;0.9;0.9;0.9;1.1;1.3;1.4;1.6;1.9;2.4;2.3;2.6;2.9;3.1;3.5
"Binh Dinh";13.3;13.7;13.8;14.9;15.1;18.4;19.9;21.1;22.4;22.8;23.4;24.4;26.1;26.7;28.0;29.8
"Phu Yen";5.8;6.0;6.3;6.6;7.0;7.3;7.5;7.8;8.4;9.2;10.0;10.4;11.3;12.0;12.7;13.2
"Khanh  Hoa";7.5;7.2;8.0;9.0;13.6;19.4;21.2;22.4;22.4;26.2;28.8;30.2;32.0;32.7;33.8;37.8
"Ninh  Thuan";1.6;1.8;2.1;2.2;2.2;2.4;2.5;2.4;3.2;3.8;4.6;4.9;5.0;4.9;5.1;5.7
"Binh Thuan";8.8;8.9;7.6;7.8;9.0;9.5;10.2;10.6;11.2;11.8;13.0;13.6;14.2;15.1;16.2;17.8
"Central Highlands";14.5;15.7;16.8;18.6;19.3;22.6;25.1;27.2;34.5;43.9;51.1;58.2;61.4;64.7;67.0;74.0
"Kon Tum";0.9;1.0;1.0;1.1;1.1;1.2;1.4;1.5;1.6;2.6;3.1;4.4;4.6;4.9;5.3;5.9
"Gia Lai";2.1;2.3;2.3;2.4;2.6;3.2;3.4;3.8;4.8;5.8;5.8;8.9;9.6;10.2;10.9;12.5
"Dak Lak";6.4;6.5;6.4;6.5;6.6;7.9;8.2;8.7;8.7;12.6;14.9;14.7;15.3;15.5;16.9;17.4
"Dak Nong";..;..;..;0.8;0.8;1.2;1.4;1.4;1.7;1.7;2.0;2.1;2.4;2.5;2.6;2.9
"Lam Dong";5.1;5.9;7.1;7.8;8.2;9.1;10.7;11.8;17.7;21.2;25.3;28.1;29.5;31.6;31.3;35.3
"South East";219.0;252.1;260.2;272.0;281.8;297.2;324.1;367.3;388.9;502.3;624.6;745.9;822.7;889.1;953.3;1079.0
"Binh Phuoc";2.6;2.6;2.7;2.7;4.0;4.3;4.9;5.3;5.5;6.2;6.7;7.7;8.0;8.5;8.7;9.2
"Tay Ninh";5.5;5.7;6.0;7.2;8.3;6.0;8.8;10.9;11.7;12.5;13.0;13.5;13.8;14.5;14.7;15.7
"Binh Duong";3.3;3.6;3.8;4.6;5.4;7.5;10.4;13.7;15.7;20.6;24.6;26.2;27.1;29.1;30.4;33.6
"Dong Nai";18.0;24.3;26.5;30.3;34.4;38.0;43.4;45.7;48.2;54.0;58.7;64.2;73.0;75.8;78.8;83.9
"Ba Ria - Vung Tau";11.6;13.8;12.8;15.9;18.2;21.2;24.7;26.8;26.6;28.2;30.5;30.8;35.8;37.9;36.4;39.5
"Ho Chi Minh city";178.0;202.1;208.4;211.3;211.5;220.2;231.9;264.9;281.2;380.8;491.1;603.5;665.0;723.3;784.3;897.1
"Mekong River Delta";314.4;331.3;349.2;353.0;379.2;409.1;451.7;479.4;513.1;530.9;561.1;571.7;594.4;609.6;624.5;649.1
"Long An";31.2;32.3;31.8;32.1;32.4;34.4;30.1;32.6;38.5;40.6;41.5;42.1;44.9;46.3;48.5;51.4
"Tien Giang";29.3;30.7;31.1;31.2;27.1;22.7;26.5;27.6;25.3;26.5;27.9;28.8;30.7;32.0;25.3;34.6
"Ben Tre";16.1;17.5;17.8;20.1;21.9;24.5;26.0;29.2;30.1;32.2;38.6;38.3;39.2;36.1;38.1;40.7
"Tra Vinh";10.3;9.0;10.1;9.8;9.7;9.3;11.3;11.4;7.2;10.9;10.9;7.2;7.6;8.4;8.9;9.6
"Vinh Long";22.3;23.3;24.3;25.7;27.8;28.5;31.3;33.3;34.0;36.0;38.5;37.5;38.8;39.2;39.9;39.4
"Dong Thap";17.2;17.4;17.6;18.1;19.7;22.8;21.4;23.5;25.5;24.1;25.8;25.0;25.7;26.3;25.0;27.6
"An Giang";18.7;21.7;25.7;37.9;41.4;40.1;51.3;55.6;63.7;66.9;70.5;73.5;73.1;70.4;78.4;80.6
"Kien  Giang";14.1;14.6;15.4;17.2;20.6;28.7;27.6;29.4;29.8;29.4;31.9;33.8;35.2;37.6;40.2;43.7
"Can Tho";97.2;103.2;109.5;57.6;68.2;82.7;91.8;93.4;94.4;96.3;97.2;105.4;110.8;118.1;122.6;106.1
"Hau Giang";..;..;..;34.7;36.9;34.0;46.7;50.5;54.4;62.2;66.9;72.2;76.2;80.5;82.9;88.2
"Soc Trang";16.6;17.1;18.9;18.0;18.9;20.6;22.4;23.2;27.9;32.5;36.5;33.1;34.6;36.3;34.0;36.7
"Bac Lieu";15.6;16.8;17.4;20.0;22.2;26.0;28.2;31.3;37.3;40.9;41.0;42.9;44.1;45.1;46.3;54.0
"Ca Mau";25.8;27.7;29.6;30.6;32.4;34.8;37.1;38.4;45.0;32.4;33.9;31.9;33.5;33.3;34.4;36.5
