"Volume of freight carried by the waterway by province  (*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
" WHOLE COUNTRY";51371.67;57470.96;65791.10;86325.70;98352.70;116558.40;126054.00;140331.60;147095.60;164758.30;178426.00;188315.00;204676.20;213381.10;226494.10;242294.10
"Red River Delta";20644.86;23949.49;26208.30;35074.80;42103.40;48433.90;50935.30;60077.00;59009.50;67801.00;73999.70;77530.50;84106.70;93040.50;99322.90;108100.10
"Ha Noi";2846.00;2944.00;3238.40;4030.00;4807.00;6147.00;7035.00;7551.00;1349.20;1642.20;1791.60;1914.80;2081.40;1875.30;2080.00;2244.30
"Ha Tay";1308.00;1654.00;1682.00;1994.00;2150.00;2712.00;3552.00;3323.00;..;..;..;..;..;..;..;..
"Vinh Phuc";700.00;754.00;919.00;1038.00;1171.00;1446.00;1552.00;2903.00;2428.00;2677.00;3032.90;3072.30;3036.30;3309.60;3501.90;3925.30
"Bac Ninh";3177.60;3279.40;3607.30;7924.80;9803.20;10037.60;7651.20;6857.00;8125.00;8117.30;8114.90;8113.90;7425.40;7932.90;8130.90;7985.40
"Quang Ninh";1051.00;1376.00;1476.00;1769.00;2021.00;2223.00;2425.00;4181.60;1234.00;1274.50;1316.30;1421.70;1428.80;1551.70;1677.40;1849.30
"Hai Duong";2415.00;2590.00;2829.00;4644.00;5927.00;7314.00;8463.00;7843.00;12488.00;13548.00;14780.90;14973.00;17534.20;19992.80;22501.70;24454.20
"Hai Phong";2855.00;5948.00;6213.00;6471.00;5829.00;6351.00;6241.00;8432.80;12611.30;13395.00;14788.10;16193.20;14323.90;18143.50;18560.80;22235.80
"Hung Yen";518.00;482.00;519.00;552.00;630.00;671.00;1596.00;2467.00;1625.00;1705.00;1935.50;2172.10;2354.40;2314.40;2516.40;2503.00
"Thai Binh";718.26;790.09;908.60;1230.00;1725.20;2304.30;2463.10;3045.30;3202.00;4421.00;4920.00;5007.40;7097.30;7701.90;8156.30;9302.00
"Ha Nam";336.00;342.00;365.00;360.00;690.00;710.00;800.00;922.30;400.00;502.00;566.30;587.10;618.80;555.80;562.00;699.70
"Nam Dinh";2613.00;2858.00;3451.00;3973.00;4368.00;4852.00;5263.00;5804.00;6972.00;8781.00;10489.20;10989.30;12868.20;14377.50;15142.90;14594.10
"Ninh Binh";2107.00;932.00;1000.00;1089.00;2982.00;3666.00;3894.00;6747.00;8575.00;11738.00;12264.00;13085.70;15338.00;15285.10;16492.60;18307.00
"Northern midlands and mountain areas";2127.11;2448.65;2678.80;3030.50;3131.90;3523.70;4588.40;6948.20;5605.60;6802.40;6827.70;8034.00;8047.60;11215.80;12753.60;13154.80
"Bac Kan";..;9.00;10.00;24.30;25.00;26.00;26.00;..;..;..;..;..;..;..;..;..
"Tuyen Quang";134.00;130.00;153.00;223.00;131.00;91.00;48.00;0.20;98.00;103.00;10.00;9.80;8.90;5.20;0.01;6.00
"Lao Cai";71.00;44.90;57.90;34.80;13.90;10.80;26.70;6.00;3.00;1.00;1.60;1.80;1.80;2.60;2.70;2.90
"Yen Bai";440.00;511.00;461.00;483.00;515.00;209.00;284.00;248.00;259.00;251.00;306.50;305.60;305.90;445.50;448.20;475.90
"Thai  Nguyen";81.00;37.00;31.00;23.00;21.00;12.00;6.00;..;20.00;18.40;16.90;..;..;..;..;..
"Bac Giang";587.00;686.00;743.00;557.00;704.00;749.00;791.60;825.00;991.00;1059.00;655.50;730.40;686.90;646.10;751.40;883.60
"Phu Tho";705.11;930.75;1116.90;1625.40;1632.00;2290.90;3275.10;5662.00;4005.60;5114.00;5565.20;6727.10;6811.20;9888.60;11309.20;11540.40
"Son La";29.00;20.00;21.00;23.00;30.00;60.00;46.00;39.00;35.00;36.00;51.80;58.10;49.40;53.50;63.10;53.60
"Hoa Binh";80.00;80.00;85.00;37.00;60.00;75.00;85.00;168.00;194.00;220.00;220.20;201.20;183.50;174.30;179.00;192.40
"Northern Central area and Central coastal area";6305.27;7230.00;6993.00;7390.40;7713.90;7201.50;7832.10;8479.40;8845.00;9254.60;10000.30;10520.60;11548.60;11857.20;12666.60;12431.10
"Thanh Hoa";2864.00;2979.00;3069.00;3148.00;3337.00;3650.00;3898.00;4296.00;4879.00;5401.00;5898.30;6320.50;7358.10;7740.60;8282.40;8192.10
"Nghe An";446.00;467.00;718.00;750.00;383.00;438.00;491.00;683.70;853.00;946.00;1070.90;1097.60;1209.60;1270.10;1374.20;1706.10
"Ha Tinh";967.00;1406.00;690.00;777.00;993.00;419.00;531.80;426.00;528.00;541.00;517.20;331.90;351.60;296.70;317.20;240.70
"Quang Binh";630.00;821.00;621.00;679.00;778.00;696.00;498.00;464.00;430.00;381.00;389.20;401.60;385.40;318.20;336.50;417.50
"Quang Tri";125.00;155.00;153.00;138.00;98.00;141.50;56.00;102.00;59.00;80.20;90.70;98.40;75.10;71.50;75.50;52.40
"Thua Thien-Hue";201.00;260.00;372.00;284.00;244.00;135.00;226.00;227.40;220.00;215.00;154.60;220.90;261.60;213.10;211.00;190.30
"Da Nang";386.27;348.00;460.00;571.40;737.90;666.00;804.30;787.00;792.00;656.00;751.80;796.90;777.00;762.20;815.00;488.00
"Quang  Nam";415.00;529.00;622.00;689.00;715.00;392.00;563.00;496.00;548.00;621.00;714.20;851.10;742.10;743.20;795.30;534.40
"Quang  Ngai";39.00;44.00;38.00;47.00;36.00;56.00;57.00;46.00;30.00;34.00;38.50;42.20;42.40;63.70;63.90;107.40
"Binh Dinh";50.00;51.00;68.00;76.00;140.00;274.00;372.00;311.00;184.00;152.00;140.50;108.70;110.50;109.80;109.90;98.80
